autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
105182,predacious,Aglaophamus malmgreni,species,Nereis zonata,species,"Arctic Shelf Area, Arctic",walking,walking
105184,predacious,Aglaophamus malmgreni,species,Nephtys ciliata,species,"Arctic Shelf Area, Arctic",walking,walking
105185,predacious,Aglaophamus malmgreni,species,Nereimyra punctata,species,"Arctic Shelf Area, Arctic",walking,walking
105186,predacious,Aglaophamus malmgreni,species,Priapulus caudatus,species,"Arctic Shelf Area, Arctic",walking,walking
105187,predacious,Aglaophamus malmgreni,species,Phyllodoce,species,"Arctic Shelf Area, Arctic",walking,walking
105188,predacious,Aglaophamus malmgreni,species,Leitoscoloplos mammosus,species,"Arctic Shelf Area, Arctic",walking,walking
105189,predacious,Aglaophamus malmgreni,species,Heteromastus filiformis,species,"Arctic Shelf Area, Arctic",walking,walking
105190,predacious,Aglaophamus malmgreni,species,Levinsenia gracilis,species,"Arctic Shelf Area, Arctic",walking,walking
105191,predacious,Aglaophamus malmgreni,species,Aglaophamus malmgreni,species,"Arctic Shelf Area, Arctic",walking,walking
105192,predacious,Aglaophamus malmgreni,species,Lysippe labiata,species,"Arctic Shelf Area, Arctic",walking,walking
105193,predacious,Aglaophamus malmgreni,species,Pholoe assimilis,species,"Arctic Shelf Area, Arctic",walking,walking
105195,predacious,Aglaophamus malmgreni,species,Ampharete finmarchica,species,"Arctic Shelf Area, Arctic",walking,walking
105198,predacious,Alle alle,species,Boreogadus saida,species,"Arctic Shelf Area, Arctic",swimming,swimming
105199,predacious,Alle alle,species,Thysanoessa inermis,species,"Arctic Shelf Area, Arctic",swimming,swimming
105200,predacious,Alle alle,species,Meganyctiphanes norvegica,species,"Arctic Shelf Area, Arctic",swimming,swimming
105201,predacious,Alle alle,species,Thysanoessa raschii,species,"Arctic Shelf Area, Arctic",swimming,swimming
105202,predacious,Alle alle,species,Thysanoessa longicaudata,species,"Arctic Shelf Area, Arctic",swimming,swimming
105205,predacious,Anarhichas lupus,species,Gadus morhua,species,"Arctic Shelf Area, Arctic",swimming,swimming
105206,predacious,Anarhichas lupus,species,Reinhardtius hippoglossoides,species,"Arctic Shelf Area, Arctic",swimming,swimming
105207,predacious,Anarhichas lupus,species,Hipoglossoides platessoides,species,"Arctic Shelf Area, Arctic",swimming,swimming
105209,predacious,Anarhichas lupus,species,Sebastes mentella,species,"Arctic Shelf Area, Arctic",swimming,swimming
105210,predacious,Anarhichas lupus,species,Boreogadus saida,species,"Arctic Shelf Area, Arctic",swimming,swimming
105211,predacious,Anarhichas lupus,species,Lumpenus lampretaeformis,species,"Arctic Shelf Area, Arctic",swimming,swimming
105212,predacious,Anarhichas lupus,species,Liparis liparis,species,"Arctic Shelf Area, Arctic",swimming,swimming
