autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
205500,herbivorous,Eulithidium affine,species,Bryopsis plumosa,species,Brasil (CE),walking,sessile
205501,herbivorous,Tegula viridula,species,Bryopsis plumosa,species,Brasil (CE),walking,sessile
205502,herbivorous,Eriphia gonagra,species,Bryopsis plumosa,species,Brasil (CE),walking,sessile
205505,herbivorous,Pomacanthus paru,species,Bryopsis plumosa,species,Brasil (CE),swimming,sessile
205506,herbivorous,Abudefduf saxatilis,species,Bryopsis plumosa,species,Brasil (CE),swimming,sessile
205507,herbivorous,Pachygrapsus transversus,species,Bryopsis plumosa,species,Brasil (CE),walking,sessile
205512,herbivorous,Ischnochiton striolatus,species,Bryopsis plumosa,species,Brasil (CE),walking,sessile
205513,herbivorous,Menippe nodifrons,species,Bryopsis plumosa,species,Brasil (CE),walking,sessile
205514,herbivorous,Engina turbinella,species,Bryopsis plumosa,species,Brasil (CE),walking,sessile
205515,herbivorous,Clibanarius antillensis,species,Bryopsis plumosa,species,Brasil (CE),walking,sessile
205517,herbivorous,Eulithidium affine,species,Caulerpa racemosa,species,Brasil (CE),walking,sessile
205518,herbivorous,Tegula viridula,species,Caulerpa racemosa,species,Brasil (CE),walking,sessile
205519,herbivorous,Eriphia gonagra,species,Caulerpa racemosa,species,Brasil (CE),walking,sessile
205522,herbivorous,Pomacanthus paru,species,Caulerpa racemosa,species,Brasil (CE),swimming,sessile
205523,herbivorous,Abudefduf saxatilis,species,Caulerpa racemosa,species,Brasil (CE),swimming,sessile
205524,herbivorous,Pachygrapsus transversus,species,Caulerpa racemosa,species,Brasil (CE),walking,sessile
205529,herbivorous,Ischnochiton striolatus,species,Caulerpa racemosa,species,Brasil (CE),walking,sessile
205530,herbivorous,Menippe nodifrons,species,Caulerpa racemosa,species,Brasil (CE),walking,sessile
205531,herbivorous,Engina turbinella,species,Caulerpa racemosa,species,Brasil (CE),walking,sessile
205532,herbivorous,Clibanarius antillensis,species,Caulerpa racemosa,species,Brasil (CE),walking,sessile
205534,herbivorous,Eulithidium affine,species,Caulerpa prolifera,species,Brasil (CE),walking,sessile
205535,herbivorous,Tegula viridula,species,Caulerpa prolifera,species,Brasil (CE),walking,sessile
205536,herbivorous,Eriphia gonagra,species,Caulerpa prolifera,species,Brasil (CE),walking,sessile
205539,herbivorous,Pomacanthus paru,species,Caulerpa prolifera,species,Brasil (CE),swimming,sessile
205540,herbivorous,Abudefduf saxatilis,species,Caulerpa prolifera,species,Brasil (CE),swimming,sessile
205541,herbivorous,Pachygrapsus transversus,species,Caulerpa prolifera,species,Brasil (CE),walking,sessile
205546,herbivorous,Ischnochiton striolatus,species,Caulerpa prolifera,species,Brasil (CE),walking,sessile
205547,herbivorous,Menippe nodifrons,species,Caulerpa prolifera,species,Brasil (CE),walking,sessile
205548,herbivorous,Engina turbinella,species,Caulerpa prolifera,species,Brasil (CE),walking,sessile
205549,herbivorous,Clibanarius antillensis,species,Caulerpa prolifera,species,Brasil (CE),walking,sessile
205551,herbivorous,Eulithidium affine,species,Caulerpa scalpelliformis,species,Brasil (CE),walking,sessile
205552,herbivorous,Tegula viridula,species,Caulerpa scalpelliformis,species,Brasil (CE),walking,sessile
205553,herbivorous,Eriphia gonagra,species,Caulerpa scalpelliformis,species,Brasil (CE),walking,sessile
205556,herbivorous,Pomacanthus paru,species,Caulerpa scalpelliformis,species,Brasil (CE),swimming,sessile
205557,herbivorous,Abudefduf saxatilis,species,Caulerpa scalpelliformis,species,Brasil (CE),swimming,sessile
205558,herbivorous,Pachygrapsus transversus,species,Caulerpa scalpelliformis,species,Brasil (CE),walking,sessile
