autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
200198,herbivorous,Lottia subrugosa,species,Ulva lactuca,species,Brasil (SP),walking,sessile
200201,herbivorous,Nodilittorina lineolata,species,Ulva lactuca,species,Brasil (SP),walking,sessile
200202,predacious,Stramonita haemastoma,species,Tetraclita stalactifera,species,Brasil (SP),walking,sessile
200216,predacious,Eriphia gonagra,species,Stramonita haemastoma,species,Brasil (SP),walking,walking
200217,predacious,Eriphia gonagra,species,Nodilittorina lineolata,species,Brasil (SP),walking,walking
200226,predacious,Stramonita haemastoma,species,Mytilaster solisianus,species,Brasil (SP),walking,sessile
200227,predacious,Morula nodulosa,species,Mytilaster solisianus,species,Brasil (SP),walking,sessile
200228,predacious,Eriphia gonagra,species,Mytilaster solisianus,species,Brasil (SP),walking,sessile
200229,predacious,Pachygrapsus transversus,species,Pachygrapsus transversus,species,Brasil (SP),walking,walking
200233,herbivorous,Clibanarius vittatus,species,Ulva lactuca,species,Brasil (SP),walking,sessile
200234,herbivorous,Pachygrapsus transversus,species,Ulva lactuca,species,Brasil (SP),walking,sessile
200235,herbivorous,Nodilittorina lineolata,species,Ulva lactuca,species,Brasil (SP),walking,sessile
200240,herbivorous,Eriphia gonagra,species,Ulva lactuca,species,Brasil (SP),walking,sessile
200245,predacious,Bunodosoma caissarum,species,Clibanarius vittatus,species,Brasil (SP),sessile,walking
200257,herbivorous,Clibanarius vittatus,species,Ulva lactuca,species,Brasil (SP),walking,sessile
200258,herbivorous,Pachygrapsus transversus,species,Ulva lactuca,species,Brasil (SP),walking,sessile
200259,herbivorous,Scartella cristata,species,Ulva lactuca,species,Brasil (SP),swimming,sessile
200263,herbivorous,Alpheus formosus,species,Ulva lactuca,species,Brasil (SP),walking,sessile
200264,herbivorous,Palaemon northropi,species,Ulva lactuca,species,Brasil (SP),swimming,sessile
200265,herbivorous,Eriphia gonagra,species,Ulva lactuca,species,Brasil (SP),walking,sessile
200267,predacious,Clibanarius vittatus,species,Odontesthes argentinensis,species,Brasil (SP),walking,swimming
200268,predacious,Bunodosoma caissarum,species,Odontesthes argentinensis,species,Brasil (SP),sessile,swimming
200269,predacious,Pachygrapsus transversus,species,Odontesthes argentinensis,species,Brasil (SP),walking,swimming
200270,predacious,Bunodosoma caissarum,species,Pachygrapsus transversus,species,Brasil (SP),sessile,walking
200271,predacious,Pachygrapsus transversus,species,Pachygrapsus transversus,species,Brasil (SP),walking,walking
200272,predacious,Bunodosoma caissarum,species,Scartella cristata,species,Brasil (SP),sessile,swimming
200273,predacious,Pachygrapsus transversus,species,Scartella cristata,species,Brasil (SP),walking,swimming
200294,predacious,Bunodosoma caissarum,species,Alpheus formosus,species,Brasil (SP),sessile,walking
200295,predacious,Bunodosoma caissarum,species,Palaemon northropi,species,Brasil (SP),sessile,swimming
200296,predacious,Bunodosoma caissarum,species,Eriphia gonagra,species,Brasil (SP),sessile,walking
200306,herbivorous,Pachygrapsus transversus,species,Ulva lactuca,species,Brasil (SP),walking,sessile
200308,herbivorous,Bathygobius soporator,species,Ulva lactuca,species,Brasil (SP),swimming,sessile
200309,predacious,Pachygrapsus transversus,species,Pachygrapsus transversus,species,Brasil (SP),walking,walking
200310,predacious,Bathygobius soporator,species,Pachygrapsus transversus,species,Brasil (SP),swimming,walking
200311,predacious,Pachygrapsus transversus,species,Bathygobius soporator,species,Brasil (SP),walking,swimming
200312,predacious,Bathygobius soporator,species,Callinectes sapidus,species,Brasil (SP),swimming,walking
200334,herbivorous,Ischnochiton striolatus,species,Ulva lactuca,species,Brasil (SP),walking,sessile
200335,herbivorous,Lottia subrugosa,species,Ulva lactuca,species,Brasil (SP),walking,sessile
200336,herbivorous,Tegula viridula,species,Ulva lactuca,species,Brasil (SP),walking,sessile
200338,herbivorous,Nodilittorina lineolata,species,Ulva lactuca,species,Brasil (SP),walking,sessile
200339,herbivorous,Bathygobius soporator,species,Ulva lactuca,species,Brasil (SP),swimming,sessile
200341,herbivorous,Microphrys bicornutus,species,Ulva lactuca,species,Brasil (SP),walking,sessile
200342,herbivorous,Ischnochiton striolatus,species,Sargassum cymosum,species,Brasil (SP),walking,sessile
200343,herbivorous,Lottia subrugosa,species,Sargassum cymosum,species,Brasil (SP),walking,sessile
200344,herbivorous,Tegula viridula,species,Sargassum cymosum,species,Brasil (SP),walking,sessile
200346,herbivorous,Nodilittorina lineolata,species,Sargassum cymosum,species,Brasil (SP),walking,sessile
200347,herbivorous,Bathygobius soporator,species,Sargassum cymosum,species,Brasil (SP),swimming,sessile
200349,herbivorous,Microphrys bicornutus,species,Sargassum cymosum,species,Brasil (SP),walking,sessile
200382,herbivorous,Ischnochiton striolatus,species,Hypnea musciformis,species,Brasil (SP),walking,sessile
200383,herbivorous,Lottia subrugosa,species,Hypnea musciformis,species,Brasil (SP),walking,sessile
200384,herbivorous,Tegula viridula,species,Hypnea musciformis,species,Brasil (SP),walking,sessile
200386,herbivorous,Nodilittorina lineolata,species,Hypnea musciformis,species,Brasil (SP),walking,sessile
200387,herbivorous,Bathygobius soporator,species,Hypnea musciformis,species,Brasil (SP),swimming,sessile
200389,herbivorous,Microphrys bicornutus,species,Hypnea musciformis,species,Brasil (SP),walking,sessile
200398,predacious,Microphrys bicornutus,species,Hymeniacidon heliophila,species,Brasil (SP),walking,sessile
200405,predacious,Bunodosoma caissarum,species,Nodilittorina lineolata,species,Brasil (SP),sessile,walking
200406,predacious,Bunodosoma caissarum,species,Mytilaster solisianus,species,Brasil (SP),sessile,sessile
200407,predacious,Stramonita haemastoma,species,Mytilaster solisianus,species,Brasil (SP),walking,sessile
200423,herbivorous,Pachygrapsus transversus,species,Ulva lactuca,species,Brasil (SP),walking,sessile
