autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
216499,herbivorous,Littorina littorea,species,Ulvaria obscura,species,Canada,walking,sessile
216500,herbivorous,Littorina obtusata,species,Ulvaria obscura,species,Canada,walking,sessile
216501,herbivorous,Littorina saxatilis,species,Ulvaria obscura,species,Canada,walking,sessile
216502,herbivorous,Testudinalia testudinalis,species,Ulvaria obscura,species,Canada,walking,sessile
216503,herbivorous,Gammarus oceanicus,species,Ulvaria obscura,species,Canada,swimming,sessile
216504,herbivorous,Cancer irroratus,species,Ulvaria obscura,species,Canada,walking,sessile
216505,herbivorous,Strongylocentrotus droebachiensis,species,Ulvaria obscura,species,Canada,walking,sessile
216507,herbivorous,Littorina littorea,species,Dictyosiphon foeniculaceus,species,Canada,walking,sessile
216508,herbivorous,Littorina obtusata,species,Dictyosiphon foeniculaceus,species,Canada,walking,sessile
216509,herbivorous,Littorina saxatilis,species,Dictyosiphon foeniculaceus,species,Canada,walking,sessile
216510,herbivorous,Testudinalia testudinalis,species,Dictyosiphon foeniculaceus,species,Canada,walking,sessile
216511,herbivorous,Gammarus oceanicus,species,Dictyosiphon foeniculaceus,species,Canada,swimming,sessile
216512,herbivorous,Cancer irroratus,species,Dictyosiphon foeniculaceus,species,Canada,walking,sessile
216513,herbivorous,Strongylocentrotus droebachiensis,species,Dictyosiphon foeniculaceus,species,Canada,walking,sessile
216523,herbivorous,Littorina littorea,species,Alaria esculenta,species,Canada,walking,sessile
216524,herbivorous,Littorina obtusata,species,Alaria esculenta,species,Canada,walking,sessile
216525,herbivorous,Littorina saxatilis,species,Alaria esculenta,species,Canada,walking,sessile
216526,herbivorous,Testudinalia testudinalis,species,Alaria esculenta,species,Canada,walking,sessile
216527,herbivorous,Gammarus oceanicus,species,Alaria esculenta,species,Canada,swimming,sessile
216528,herbivorous,Cancer irroratus,species,Alaria esculenta,species,Canada,walking,sessile
216529,herbivorous,Strongylocentrotus droebachiensis,species,Alaria esculenta,species,Canada,walking,sessile
216531,herbivorous,Littorina littorea,species,Ralfsia verrucosa,species,Canada,walking,sessile
216532,herbivorous,Littorina obtusata,species,Ralfsia verrucosa,species,Canada,walking,sessile
216533,herbivorous,Littorina saxatilis,species,Ralfsia verrucosa,species,Canada,walking,sessile
