autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
115268,predacious,Bodo saltans,species,Amphidinium hadai,species,"Eastern Weddell Sea Shelf, Antarctica",sessile,swimming
115269,predacious,Bodo saltans,species,Gyrodinium lachryama,species,"Eastern Weddell Sea Shelf, Antarctica",sessile,swimming
115270,predacious,Amphidinium hadai,species,Amphidinium hadai,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,swimming
115271,predacious,Amphidinium hadai,species,Gyrodinium lachryama,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,swimming
115272,predacious,Gyrodinium lachryama,species,Amphidinium hadai,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,swimming
115273,predacious,Gyrodinium lachryama,species,Gyrodinium lachryama,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,swimming
115274,herbivorous,Parvicorbucula socialis,species,Actinocyclus actinochilus,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115275,herbivorous,Parvicorbucula socialis,species,Actinocyclus spiritus,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115276,herbivorous,Parvicorbucula socialis,species,Actinocyclus utricularis,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115277,herbivorous,Parvicorbucula socialis,species,Azpeitia tabularis,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115278,herbivorous,Parvicorbucula socialis,species,Banquisia belgicae,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115279,herbivorous,Parvicorbucula socialis,species,Chaetoceros bulbosum ,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115280,herbivorous,Parvicorbucula socialis,species,Chaetoceros concavicornis,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115281,herbivorous,Parvicorbucula socialis,species,Chaetoceros criophilum,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115282,herbivorous,Parvicorbucula socialis,species,Chaetoceros dichaeta,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115283,herbivorous,Parvicorbucula socialis,species,Chaetoceros flexuosum,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115284,herbivorous,Parvicorbucula socialis,species,Chaetoceros neglectum,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115285,herbivorous,Parvicorbucula socialis,species,Chaetoceros pelagicus,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
