autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
214496,herbivorous,Procerodes littoralis,species,Colpomenia peregrina,species,England,walking,sessile
214499,herbivorous,Tonicella rubra,species,Colpomenia peregrina,species,England,walking,sessile
214500,herbivorous,Littorina saxatilis,species,Colpomenia peregrina,species,England,walking,sessile
214501,herbivorous,Littorina littorea,species,Colpomenia peregrina,species,England,walking,sessile
214502,herbivorous,Patella vulgata,species,Colpomenia peregrina,species,England,other,sessile
214503,herbivorous,Patella depressa,species,Colpomenia peregrina,species,England,walking,sessile
214504,herbivorous,Patella ulyssiponensis,species,Colpomenia peregrina,species,England,walking,sessile
214505,herbivorous,Gibbula umbilicalis,species,Colpomenia peregrina,species,England,walking,sessile
214506,herbivorous,Gibbula cineraria,species,Colpomenia peregrina,species,England,walking,sessile
214507,herbivorous,Phorcus lineatus,species,Colpomenia peregrina,species,England,walking,sessile
214512,herbivorous,Palaemon serratus,species,Colpomenia peregrina,species,England,swimming,sessile
214513,herbivorous,Pagurus bernhardus,species,Colpomenia peregrina,species,England,walking,sessile
214514,herbivorous,Carcinus maenas,species,Colpomenia peregrina,species,England,walking,sessile
214518,herbivorous,Membranipora membranaceae,species,Colpomenia peregrina,species,England,sessile,sessile
214519,herbivorous,Oshurkovia littoralis,species,Colpomenia peregrina,species,England,sessile,sessile
214520,herbivorous,Procerodes littoralis,species,Fucus serratus,species,England,walking,sessile
214523,herbivorous,Tonicella rubra,species,Fucus serratus,species,England,walking,sessile
214524,herbivorous,Littorina saxatilis,species,Fucus serratus,species,England,walking,sessile
214525,herbivorous,Littorina littorea,species,Fucus serratus,species,England,walking,sessile
214526,herbivorous,Patella vulgata,species,Fucus serratus,species,England,other,sessile
214527,herbivorous,Patella depressa,species,Fucus serratus,species,England,walking,sessile
214528,herbivorous,Patella ulyssiponensis,species,Fucus serratus,species,England,walking,sessile
214529,herbivorous,Gibbula umbilicalis,species,Fucus serratus,species,England,walking,sessile
214530,herbivorous,Gibbula cineraria,species,Fucus serratus,species,England,walking,sessile
214531,herbivorous,Phorcus lineatus,species,Fucus serratus,species,England,walking,sessile
214536,herbivorous,Palaemon serratus,species,Fucus serratus,species,England,swimming,sessile
214537,herbivorous,Pagurus bernhardus,species,Fucus serratus,species,England,walking,sessile
214538,herbivorous,Carcinus maenas,species,Fucus serratus,species,England,walking,sessile
214542,herbivorous,Membranipora membranaceae,species,Fucus serratus,species,England,sessile,sessile
214543,herbivorous,Oshurkovia littoralis,species,Fucus serratus,species,England,sessile,sessile
214544,herbivorous,Procerodes littoralis,species,Fucus vesiculosus,species,England,walking,sessile
214547,herbivorous,Tonicella rubra,species,Fucus vesiculosus,species,England,walking,sessile
214548,herbivorous,Littorina saxatilis,species,Fucus vesiculosus,species,England,walking,sessile
214549,herbivorous,Littorina littorea,species,Fucus vesiculosus,species,England,walking,sessile
214550,herbivorous,Patella vulgata,species,Fucus vesiculosus,species,England,other,sessile
214551,herbivorous,Patella depressa,species,Fucus vesiculosus,species,England,walking,sessile
214552,herbivorous,Patella ulyssiponensis,species,Fucus vesiculosus,species,England,walking,sessile
214553,herbivorous,Gibbula umbilicalis,species,Fucus vesiculosus,species,England,walking,sessile
214554,herbivorous,Gibbula cineraria,species,Fucus vesiculosus,species,England,walking,sessile
214555,herbivorous,Phorcus lineatus,species,Fucus vesiculosus,species,England,walking,sessile
