autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
181093,predacious,Agelaius phoeniceus,species,Ornitnonyssus bursa,species,"Florida Key islands, Florida Bay, USA",flying,walking
181095,predacious,Carthasis decoratus,species,Ornitnonyssus bursa,species,"Florida Key islands, Florida Bay, USA",walking,walking
181096,predacious,Metatropiphorus belfragei,species,Ornitnonyssus bursa,species,"Florida Key islands, Florida Bay, USA",walking,walking
181098,predacious,Agelaius phoeniceus,species,Cheyletia wellsi,species,"Florida Key islands, Florida Bay, USA",flying,walking
181102,predacious,Agelaius phoeniceus,species,Carpoglyphus lactis,species,"Florida Key islands, Florida Bay, USA",flying,walking
181103,predacious,Agelaius phoeniceus,species,Tyrophagus putrescentiae,species,"Florida Key islands, Florida Bay, USA",flying,walking
181106,predacious,Carthasis decoratus,species,Cheyletia wellsi,species,"Florida Key islands, Florida Bay, USA",walking,walking
181107,predacious,Metatropiphorus belfragei,species,Cheyletia wellsi,species,"Florida Key islands, Florida Bay, USA",walking,walking
181118,predacious,Agelaius phoeniceus,species,Rhizoglyphus callae,species,"Florida Key islands, Florida Bay, USA",flying,walking
181120,predacious,Carthasis decoratus,species,Carpoglyphus lactis,species,"Florida Key islands, Florida Bay, USA",walking,walking
181121,predacious,Metatropiphorus belfragei,species,Carpoglyphus lactis,species,"Florida Key islands, Florida Bay, USA",walking,walking
181122,predacious,Carthasis decoratus,species,Tyrophagus putrescentiae,species,"Florida Key islands, Florida Bay, USA",walking,walking
181123,predacious,Metatropiphorus belfragei,species,Tyrophagus putrescentiae,species,"Florida Key islands, Florida Bay, USA",walking,walking
181145,predacious,Carthasis decoratus,species,Rhizoglyphus callae,species,"Florida Key islands, Florida Bay, USA",walking,walking
181146,predacious,Metatropiphorus belfragei,species,Rhizoglyphus callae,species,"Florida Key islands, Florida Bay, USA",walking,walking
181178,predacious,Agelaius phoeniceus,species,Ooencyrtus submetallicus,species,"Florida Key islands, Florida Bay, USA",flying,flying
181179,predacious,Agelaius phoeniceus,species,Tapinoma littorale,species,"Florida Key islands, Florida Bay, USA",flying,walking
181186,predacious,Agelaius phoeniceus,species,Monomorium floricola,species,"Florida Key islands, Florida Bay, USA",flying,walking
181194,predacious,Agelaius phoeniceus,species,Anurida maritima,species,"Florida Key islands, Florida Bay, USA",flying,walking
181196,predacious,Nephila clavipes,species,Ooencyrtus submetallicus,species,"Florida Key islands, Florida Bay, USA",walking,flying
181197,predacious,Nephila clavipes,species,Tapinoma littorale,species,"Florida Key islands, Florida Bay, USA",walking,walking
181201,predacious,Agelaius phoeniceus,species,Melittobia chalybii,species,"Florida Key islands, Florida Bay, USA",flying,flying
181202,predacious,Agelaius phoeniceus,species,Axelsonia littoralis,species,"Florida Key islands, Florida Bay, USA",flying,walking
181203,predacious,Agelaius phoeniceus,species,Cryptorhynchus minutissimus,species,"Florida Key islands, Florida Bay, USA",flying,walking
181204,predacious,Agelaius phoeniceus,species,Xenomyrmex floridanus,species,"Florida Key islands, Florida Bay, USA",flying,walking
181205,predacious,Nephila clavipes,species,Monomorium floricola,species,"Florida Key islands, Florida Bay, USA",walking,walking
181206,predacious,Butorides virescens,species,Dufouriellus afer,species,"Florida Key islands, Florida Bay, USA",flying,walking
181209,predacious,Agelaius phoeniceus,species,Actinopteryx fucicola,species,"Florida Key islands, Florida Bay, USA",flying,walking
181215,predacious,Agelaius phoeniceus,species,Hypoponera opacior,species,"Florida Key islands, Florida Bay, USA",flying,walking
181216,predacious,Agelaius phoeniceus,species,Paratrechina bourbonica,species,"Florida Key islands, Florida Bay, USA",flying,walking
181221,predacious,Nephila clavipes,species,Melittobia chalybii,species,"Florida Key islands, Florida Bay, USA",walking,flying
181223,predacious,Nephila clavipes,species,Cryptorhynchus minutissimus,species,"Florida Key islands, Florida Bay, USA",walking,walking
181224,predacious,Nephila clavipes,species,Xenomyrmex floridanus,species,"Florida Key islands, Florida Bay, USA",walking,walking
181227,predacious,Nephila clavipes,species,Actinopteryx fucicola,species,"Florida Key islands, Florida Bay, USA",walking,walking
181229,predacious,Agelaius phoeniceus,species,Crematogaster ashmeadi,species,"Florida Key islands, Florida Bay, USA",flying,walking
181232,predacious,Agelaius phoeniceus,species,Apanteles hemileucae,species,"Florida Key islands, Florida Bay, USA",flying,flying
181234,predacious,Agelaius phoeniceus,species,Callihormius bifasciatus,species,"Florida Key islands, Florida Bay, USA",flying,flying
181237,predacious,Agelaius phoeniceus,species,Iphiaulax epicus,species,"Florida Key islands, Florida Bay, USA",flying,flying
181245,predacious,Metepeira labyrinthea,species,Ooencyrtus submetallicus,species,"Florida Key islands, Florida Bay, USA",walking,flying
181246,predacious,Metepeira labyrinthea,species,Tapinoma littorale,species,"Florida Key islands, Florida Bay, USA",walking,walking
181250,predacious,Agelaius phoeniceus,species,Neurothrips magnafemoraus,species,"Florida Key islands, Florida Bay, USA",flying,walking
181251,predacious,Agelaius phoeniceus,species,Pseudothrips inequalis,species,"Florida Key islands, Florida Bay, USA",flying,walking
181254,predacious,Nephila clavipes,species,Hypoponera opacior,species,"Florida Key islands, Florida Bay, USA",walking,walking
181255,predacious,Nephila clavipes,species,Paratrechina bourbonica,species,"Florida Key islands, Florida Bay, USA",walking,walking
181256,predacious,Metepeira labyrinthea,species,Monomorium floricola,species,"Florida Key islands, Florida Bay, USA",walking,walking
181258,predacious,Agelaius phoeniceus,species,Cephalonomia waterstoni,species,"Florida Key islands, Florida Bay, USA",flying,flying
181259,predacious,Agelaius phoeniceus,species,Metapelma schwarzi,species,"Florida Key islands, Florida Bay, USA",flying,flying
181261,predacious,Agelaius phoeniceus,species,Nesepyris floridanus,species,"Florida Key islands, Florida Bay, USA",flying,flying
181262,predacious,Agelaius phoeniceus,species,Scleroderma macrogaster,species,"Florida Key islands, Florida Bay, USA",flying,flying
181264,predacious,Stoidis aurata,species,Tapinoma littorale,species,"Florida Key islands, Florida Bay, USA",walking,walking
181270,predacious,Agelaius phoeniceus,species,Trischidias atoma,species,"Florida Key islands, Florida Bay, USA",flying,walking
181273,predacious,Agelaius phoeniceus,species,Haplothrips flavipes,species,"Florida Key islands, Florida Bay, USA",flying,walking
181275,predacious,Agelaius phoeniceus,species,Argas radiatus,species,"Florida Key islands, Florida Bay, USA",flying,walking
181276,predacious,Nephila clavipes,species,Crematogaster ashmeadi,species,"Florida Key islands, Florida Bay, USA",walking,walking
181281,predacious,Stoidis aurata,species,Monomorium floricola,species,"Florida Key islands, Florida Bay, USA",walking,walking
181284,predacious,Nephila clavipes,species,Apanteles hemileucae,species,"Florida Key islands, Florida Bay, USA",walking,flying
181286,predacious,Nephila clavipes,species,Callihormius bifasciatus,species,"Florida Key islands, Florida Bay, USA",walking,flying
181289,predacious,Nephila clavipes,species,Iphiaulax epicus,species,"Florida Key islands, Florida Bay, USA",walking,flying
181292,predacious,Agelaius phoeniceus,species,Archipsocus panama,species,"Florida Key islands, Florida Bay, USA",flying,walking
181293,predacious,Agelaius phoeniceus,species,Belaphotroctes okalensis,species,"Florida Key islands, Florida Bay, USA",flying,walking
181295,predacious,Agelaius phoeniceus,species,Echmepteryx hageni,species,"Florida Key islands, Florida Bay, USA",flying,walking
181296,predacious,Agelaius phoeniceus,species,Ectopsocopsis cryptomeriae,species,"Florida Key islands, Florida Bay, USA",flying,walking
181298,predacious,Agelaius phoeniceus,species,Embidopsocus laticeps,species,"Florida Key islands, Florida Bay, USA",flying,walking
181301,predacious,Agelaius phoeniceus,species,Liposcelis bostrychophilus,species,"Florida Key islands, Florida Bay, USA",flying,walking
181303,predacious,Agelaius phoeniceus,species,Psocidus texanus,species,"Florida Key islands, Florida Bay, USA",flying,walking
181307,predacious,Metepeira labyrinthea,species,Melittobia chalybii,species,"Florida Key islands, Florida Bay, USA",walking,flying
181308,predacious,Metepeira labyrinthea,species,Cryptorhynchus minutissimus,species,"Florida Key islands, Florida Bay, USA",walking,walking
181309,predacious,Metepeira labyrinthea,species,Xenomyrmex floridanus,species,"Florida Key islands, Florida Bay, USA",walking,walking
181310,predacious,Agelaius phoeniceus,species,Aedes taeniorhynchus,species,"Florida Key islands, Florida Bay, USA",flying,flying
181311,predacious,Agelaius phoeniceus,species,Dufouriellus afer,species,"Florida Key islands, Florida Bay, USA",flying,walking
181312,predacious,Agelaius phoeniceus,species,Lophoproctinus bartachi,species,"Florida Key islands, Florida Bay, USA",flying,walking
181314,predacious,Agelaius phoeniceus,species,Tachys occulator,species,"Florida Key islands, Florida Bay, USA",flying,walking
181318,predacious,Agelaius phoeniceus,species,Camponotus planatus,species,"Florida Key islands, Florida Bay, USA",flying,walking
181321,predacious,Agelaius phoeniceus,species,Urolepis rufipes,species,"Florida Key islands, Florida Bay, USA",flying,flying
181323,predacious,Nephila clavipes,species,Cephalonomia waterstoni,species,"Florida Key islands, Florida Bay, USA",walking,flying
181324,predacious,Nephila clavipes,species,Metapelma schwarzi,species,"Florida Key islands, Florida Bay, USA",walking,flying
181326,predacious,Nephila clavipes,species,Nesepyris floridanus,species,"Florida Key islands, Florida Bay, USA",walking,flying
181327,predacious,Nephila clavipes,species,Scleroderma macrogaster,species,"Florida Key islands, Florida Bay, USA",walking,flying
181328,predacious,Metepeira labyrinthea,species,Actinopteryx fucicola,species,"Florida Key islands, Florida Bay, USA",walking,walking
181335,predacious,Nephila clavipes,species,Trischidias atoma,species,"Florida Key islands, Florida Bay, USA",walking,walking
