autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
11916,predacious,Geophilus ribauti,species,Achipteria coleoptrata,species,Germany,walking,walking
11917,predacious,Lithobius aeruginosus {m},species,Achipteria coleoptrata,species,Germany,walking,walking
11919,predacious,Geophilus ribauti,species,Adoristes ovatus,species,Germany,walking,walking
11920,predacious,Schendyla nemorensis,species,Adoristes ovatus,species,Germany,walking,walking
11921,predacious,Lithobius aeruginosus {m},species,Adoristes ovatus,species,Germany,walking,walking
11937,predacious,Atheta fungi,species,Allacma fusca,species,Germany,walking,walking
11941,predacious,Lysigamasus lapponicus,species,Allacma fusca,species,Germany,walking,walking
11942,predacious,Uroseius cylindricus,species,Allacma fusca,species,Germany,walking,walking
11943,predacious,Uroseius cylindricus,species,Allacma fusca,species,Germany,walking,walking
11944,predacious,Veigaia nemorensis,species,Allacma fusca,species,Germany,walking,walking
11945,predacious,Veigaia nemorensis,species,Allacma fusca,species,Germany,walking,walking
11947,predacious,Lysigamasus jugincola,species,Allacma fusca,species,Germany,walking,walking
11950,predacious,Robertus lividus (juv) {m},species,Allacma fusca,species,Germany,walking,walking
11951,predacious,Rhodacarus agrestis,species,Allacma fusca,species,Germany,walking,walking
11952,predacious,Lithobius aeruginosus {m},species,Allacma fusca,species,Germany,walking,walking
11955,predacious,Geophilus ribauti,species,Allaiulus nitidus {xxl},species,Germany,walking,walking
11956,predacious,Schendyla nemorensis,species,Allaiulus nitidus {xxl},species,Germany,walking,walking
12005,predacious,Geophilus ribauti,species,Asthenargus paganus,species,Germany,walking,walking
12006,predacious,Schendyla nemorensis,species,Asthenargus paganus,species,Germany,walking,walking
12008,predacious,Pterostichus strenuus,species,Asthenargus paganus,species,Germany,walking,walking
12014,predacious,Micrargus herbigradus,species,Asthenargus paganus,species,Germany,walking,walking
12015,predacious,Microneta viaria,species,Asthenargus paganus,species,Germany,walking,walking
12018,predacious,Robertus lividus,species,Asthenargus paganus,species,Germany,walking,walking
12019,predacious,Erigonella hiemalis,species,Asthenargus paganus,species,Germany,walking,walking
12020,predacious,Robertus scoticus,species,Asthenargus paganus,species,Germany,walking,walking
12021,predacious,Monocephalus fuscipes,species,Asthenargus paganus,species,Germany,walking,walking
12022,predacious,Athous subfuscus (juv) {l},species,Asthenargus paganus,species,Germany,walking,walking
12023,predacious,Lithobius aeruginosus {m},species,Asthenargus paganus,species,Germany,walking,walking
12025,predacious,Ceratinella brevis,species,Asthenargus paganus,species,Germany,walking,walking
12026,predacious,Tenuiphantes tenuis,species,Asthenargus paganus,species,Germany,walking,walking
12028,predacious,Geophilus ribauti,species,Atheta fungi,species,Germany,walking,walking
12029,predacious,Schendyla nemorensis,species,Atheta fungi,species,Germany,walking,walking
12031,predacious,Pterostichus strenuus,species,Atheta fungi,species,Germany,walking,walking
12032,predacious,Atheta fungi,species,Atheta fungi,species,Germany,walking,walking
12039,predacious,Micrargus herbigradus,species,Atheta fungi,species,Germany,walking,walking
12040,predacious,Microneta viaria,species,Atheta fungi,species,Germany,walking,walking
12043,predacious,Robertus lividus,species,Atheta fungi,species,Germany,walking,walking
12045,predacious,Erigonella hiemalis,species,Atheta fungi,species,Germany,walking,walking
12046,predacious,Robertus scoticus,species,Atheta fungi,species,Germany,walking,walking
12047,predacious,Monocephalus fuscipes,species,Atheta fungi,species,Germany,walking,walking
12048,predacious,Athous subfuscus (juv) {l},species,Atheta fungi,species,Germany,walking,walking
12049,predacious,Lithobius aeruginosus {m},species,Atheta fungi,species,Germany,walking,walking
12051,predacious,Asthenargus paganus,species,Atheta fungi,species,Germany,walking,walking
12052,predacious,Ceratinella brevis,species,Atheta fungi,species,Germany,walking,walking
12053,predacious,Tenuiphantes tenuis,species,Atheta fungi,species,Germany,walking,walking
12080,predacious,Geophilus ribauti,species,Athous subfuscus (juv) {l},species,Germany,walking,walking
12081,predacious,Schendyla nemorensis,species,Athous subfuscus (juv) {l},species,Germany,walking,walking
12082,predacious,Pterostichus strenuus,species,Athous subfuscus (juv) {l},species,Germany,walking,walking
12085,predacious,Robertus lividus,species,Athous subfuscus (juv) {l},species,Germany,walking,walking
12086,predacious,Athous subfuscus (juv) {l},species,Athous subfuscus (juv) {l},species,Germany,walking,walking
12087,predacious,Lithobius aeruginosus {m},species,Athous subfuscus (juv) {l},species,Germany,walking,walking
12089,predacious,Geophilus ribauti,species,Athous zebei (juv) {s},species,Germany,walking,walking
12090,predacious,Schendyla nemorensis,species,Athous zebei (juv) {s},species,Germany,walking,walking
12092,predacious,Pterostichus strenuus,species,Athous zebei (juv) {s},species,Germany,walking,walking
12093,predacious,Atheta fungi,species,Athous zebei (juv) {s},species,Germany,walking,walking
12101,predacious,Micrargus herbigradus,species,Athous zebei (juv) {s},species,Germany,walking,walking
12102,predacious,Microneta viaria,species,Athous zebei (juv) {s},species,Germany,walking,walking
12105,predacious,Robertus lividus,species,Athous zebei (juv) {s},species,Germany,walking,walking
12107,predacious,Erigonella hiemalis,species,Athous zebei (juv) {s},species,Germany,walking,walking
12109,predacious,Robertus scoticus,species,Athous zebei (juv) {s},species,Germany,walking,walking
12110,predacious,Monocephalus fuscipes,species,Athous zebei (juv) {s},species,Germany,walking,walking
