autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
176511,predacious,Clinocera stagnalis,species,Diamesa zernyi,species,Iceland,walking,walking
176512,predacious,Clinocera stagnalis,species,Eukiefferiella claripennis,species,Iceland,walking,walking
176513,predacious,Clinocera stagnalis,species,Eukiefferiella minor,species,Iceland,walking,walking
176514,predacious,Clinocera stagnalis,species,Micropsectra atrofasciata,species,Iceland,walking,walking
176515,predacious,Clinocera stagnalis,species,Simulium vittatum,species,Iceland,walking,sessile
176517,herbivorous,Diamesa zernyi,species,Achnanthes exigua,species,Iceland,walking,sessile
176518,herbivorous,Diamesa zernyi,species,Achnanthes lanceolata,species,Iceland,walking,sessile
176519,herbivorous,Diamesa zernyi,species,Amphora inariensis,species,Iceland,walking,sessile
176520,herbivorous,Diamesa zernyi,species,Amphora pediculus,species,Iceland,walking,sessile
176522,herbivorous,Diamesa zernyi,species,Cocconeis pediculus,species,Iceland,walking,sessile
176523,herbivorous,Diamesa zernyi,species,Cocconeis placentula,species,Iceland,walking,sessile
176524,herbivorous,Diamesa zernyi,species,Cocconeis placentula var. euglypta,species,Iceland,walking,sessile
176525,herbivorous,Diamesa zernyi,species,Diatoma mesodon,species,Iceland,walking,sessile
176528,herbivorous,Diamesa zernyi,species,Gomphonema clevei,species,Iceland,walking,sessile
176530,herbivorous,Diamesa zernyi,species,Nitzschia inconspicua,species,Iceland,walking,sessile
176531,herbivorous,Diamesa zernyi,species,Pinnularia intermedia,species,Iceland,walking,sessile
176532,herbivorous,Dicranota exclusa,species,Achnanthes exigua,species,Iceland,walking,sessile
176533,herbivorous,Dicranota exclusa,species,Achnanthes lanceolata,species,Iceland,walking,sessile
176534,herbivorous,Dicranota exclusa,species,Amphora inariensis,species,Iceland,walking,sessile
176535,herbivorous,Dicranota exclusa,species,Amphora pediculus,species,Iceland,walking,sessile
176537,herbivorous,Dicranota exclusa,species,Cocconeis pediculus,species,Iceland,walking,sessile
176538,herbivorous,Dicranota exclusa,species,Cocconeis placentula,species,Iceland,walking,sessile
176539,herbivorous,Dicranota exclusa,species,Cocconeis placentula var. euglypta,species,Iceland,walking,sessile
176541,predacious,Dicranota exclusa,species,Diamesa zernyi,species,Iceland,walking,walking
176542,herbivorous,Dicranota exclusa,species,Diatoma mesodon,species,Iceland,walking,sessile
176543,predacious,Dicranota exclusa,species,Eukiefferiella claripennis,species,Iceland,walking,walking
176544,predacious,Dicranota exclusa,species,Eukiefferiella minor,species,Iceland,walking,walking
176545,herbivorous,Dicranota exclusa,species,Gomphonema clevei,species,Iceland,walking,sessile
176547,predacious,Dicranota exclusa,species,Micropsectra atrofasciata,species,Iceland,walking,walking
176548,herbivorous,Dicranota exclusa,species,Nitzschia inconspicua,species,Iceland,walking,sessile
176550,herbivorous,Dicranota exclusa,species,Pinnularia intermedia,species,Iceland,walking,sessile
176552,herbivorous,Eukiefferiella claripennis,species,Achnanthes exigua,species,Iceland,walking,sessile
176553,herbivorous,Eukiefferiella claripennis,species,Achnanthes lanceolata,species,Iceland,walking,sessile
