autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
189264,herbivorous,Oikopleura dioica,species,Nitzschia closterium,species,Ireland/West Cork/Skibbereen,swimming,other
189265,herbivorous,Oikopleura dioica,species,Skeletonema costatum,species,Ireland/West Cork/Skibbereen,swimming,other
189266,herbivorous,Oikopleura dioica,species,Podosira stelliger,species,Ireland/West Cork/Skibbereen,swimming,other
189268,herbivorous,Oikopleura dioica,species,Phaeocystis pouchetii,species,Ireland/West Cork/Skibbereen,swimming,swimming
189274,predacious,Evadne nordmanni,species,Calanus helgolandicus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189275,predacious,Evadne nordmanni,species,Metridia lucens,species,Ireland/West Cork/Skibbereen,swimming,swimming
189276,predacious,Evadne nordmanni,species,Pseudocalanus elongatus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189277,predacious,Evadne nordmanni,species,Microcalanus pusillis,species,Ireland/West Cork/Skibbereen,swimming,swimming
189278,predacious,Evadne nordmanni,species,Paracalanus parvus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189279,predacious,Evadne nordmanni,species,Temora longicornis,species,Ireland/West Cork/Skibbereen,swimming,swimming
189280,predacious,Evadne nordmanni,species,Eutemora hirundoides,species,Ireland/West Cork/Skibbereen,swimming,swimming
189281,predacious,Evadne nordmanni,species,Acartia clausi,species,Ireland/West Cork/Skibbereen,swimming,swimming
189282,predacious,Evadne nordmanni,species,Centropages typicus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189283,predacious,Evadne nordmanni,species,Calanus elongatus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189287,predacious,Podon intermedius,species,Calanus helgolandicus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189288,predacious,Podon intermedius,species,Metridia lucens,species,Ireland/West Cork/Skibbereen,swimming,swimming
189289,predacious,Podon intermedius,species,Pseudocalanus elongatus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189290,predacious,Podon intermedius,species,Microcalanus pusillis,species,Ireland/West Cork/Skibbereen,swimming,swimming
189291,predacious,Podon intermedius,species,Paracalanus parvus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189292,predacious,Podon intermedius,species,Temora longicornis,species,Ireland/West Cork/Skibbereen,swimming,swimming
189293,predacious,Podon intermedius,species,Eutemora hirundoides,species,Ireland/West Cork/Skibbereen,swimming,swimming
189294,predacious,Podon intermedius,species,Acartia clausi,species,Ireland/West Cork/Skibbereen,swimming,swimming
189295,predacious,Podon intermedius,species,Centropages typicus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189296,predacious,Podon intermedius,species,Calanus elongatus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189298,predacious,Calanus helgolandicus,species,Calanus helgolandicus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189299,predacious,Calanus helgolandicus,species,Metridia lucens,species,Ireland/West Cork/Skibbereen,swimming,swimming
189300,predacious,Calanus helgolandicus,species,Pseudocalanus elongatus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189301,predacious,Calanus helgolandicus,species,Microcalanus pusillis,species,Ireland/West Cork/Skibbereen,swimming,swimming
189302,predacious,Calanus helgolandicus,species,Paracalanus parvus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189303,predacious,Calanus helgolandicus,species,Temora longicornis,species,Ireland/West Cork/Skibbereen,swimming,swimming
189304,predacious,Calanus helgolandicus,species,Eutemora hirundoides,species,Ireland/West Cork/Skibbereen,swimming,swimming
189305,predacious,Calanus helgolandicus,species,Acartia clausi,species,Ireland/West Cork/Skibbereen,swimming,swimming
189306,predacious,Calanus helgolandicus,species,Centropages typicus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189307,predacious,Calanus helgolandicus,species,Calanus elongatus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189311,predacious,Metridia lucens,species,Oikopleura dioica,species,Ireland/West Cork/Skibbereen,swimming,swimming
189315,predacious,Pseudocalanus elongatus,species,Oikopleura dioica,species,Ireland/West Cork/Skibbereen,swimming,swimming
189320,predacious,Paracalanus parvus,species,Calanus helgolandicus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189321,predacious,Paracalanus parvus,species,Pseudocalanus elongatus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189322,predacious,Paracalanus parvus,species,Microcalanus pusillis,species,Ireland/West Cork/Skibbereen,swimming,swimming
189323,predacious,Paracalanus parvus,species,Paracalanus parvus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189324,predacious,Paracalanus parvus,species,Calanus elongatus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189358,predacious,Oithona nana,species,Calanus helgolandicus,species,Ireland/West Cork/Skibbereen,swimming,swimming
