autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
157019,predacious,Salmo trutta,species,Salmo trutta,species,"Lochnagar, NE Scotland, UK",swimming,swimming
157022,predacious,Salmo trutta,species,Sigara	lateralis,species,"Lochnagar, NE Scotland, UK",swimming,swimming
157030,predacious,Sigara lateralis,species,Oreodytes davisii,species,"Lochnagar, NE Scotland, UK",swimming,walking
157039,predacious,Salmo trutta,species,Oreodytes davisii,species,"Lochnagar, NE Scotland, UK",swimming,walking
157040,predacious,Salmo trutta,species,Halesus radiatus,species,"Lochnagar, NE Scotland, UK",swimming,walking
157041,predacious,Salmo trutta,species,Sialis lutaria,species,"Lochnagar, NE Scotland, UK",swimming,walking
157043,predacious,Salmo trutta,species,Plectrocnemia conspersa,species,"Lochnagar, NE Scotland, UK",swimming,walking
157044,predacious,Salmo trutta,species,Nemoura cambrica,species,"Lochnagar, NE Scotland, UK",swimming,walking
157045,predacious,Salmo trutta,species,Capnia vidua,species,"Lochnagar, NE Scotland, UK",swimming,walking
157046,predacious,Salmo trutta,species,Leuctra nigra,species,"Lochnagar, NE Scotland, UK",swimming,walking
157049,predacious,Sigara lateralis,species,Sialis lutaria,species,"Lochnagar, NE Scotland, UK",swimming,walking
157052,herbivorous,Capnia vidua,species,Fragilaria vaucheriae,species,"Lochnagar, NE Scotland, UK",walking,sessile
157053,herbivorous,Capnia vidua,species,Fragilaria virescens,species,"Lochnagar, NE Scotland, UK",walking,sessile
157054,herbivorous,Capnia vidua,species,Frustulia rhomboides var saxonica,species,"Lochnagar, NE Scotland, UK",walking,sessile
157055,herbivorous,Capnia vidua,species,Frustulia rhomboides var viridula,species,"Lochnagar, NE Scotland, UK",walking,sessile
157060,herbivorous,Capnia vidua,species,Diatoma hyemale var mesodon,species,"Lochnagar, NE Scotland, UK",walking,sessile
157063,herbivorous,Capnia vidua,species,Brachysira brebissonii,species,"Lochnagar, NE Scotland, UK",walking,sessile
