autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
215312,herbivorous,Liza ramada,species,Caulerpa webbiana,species,Madeira,swimming,sessile
215313,herbivorous,Lipophrys pholis,species,Caulerpa webbiana,species,Madeira,swimming,sessile
215314,herbivorous,Coryphoblennius galerita,species,Caulerpa webbiana,species,Madeira,swimming,sessile
215315,herbivorous,Parablennius parvicornis,species,Caulerpa webbiana,species,Madeira,swimming,sessile
215316,herbivorous,Omalogyra atomus,species,Caulerpa webbiana,species,Madeira,walking,sessile
215318,herbivorous,Palaemon elegans,species,Caulerpa webbiana,species,Madeira,swimming,sessile
215320,herbivorous,Liza ramada,species,Cladophora prolifera,species,Madeira,swimming,sessile
215321,herbivorous,Lipophrys pholis,species,Cladophora prolifera,species,Madeira,swimming,sessile
215322,herbivorous,Coryphoblennius galerita,species,Cladophora prolifera,species,Madeira,swimming,sessile
215323,herbivorous,Parablennius parvicornis,species,Cladophora prolifera,species,Madeira,swimming,sessile
215324,herbivorous,Omalogyra atomus,species,Cladophora prolifera,species,Madeira,walking,sessile
215326,herbivorous,Palaemon elegans,species,Cladophora prolifera,species,Madeira,swimming,sessile
215328,herbivorous,Liza ramada,species,Halopteris filicina,species,Madeira,swimming,sessile
215329,herbivorous,Lipophrys pholis,species,Halopteris filicina,species,Madeira,swimming,sessile
215330,herbivorous,Coryphoblennius galerita,species,Halopteris filicina,species,Madeira,swimming,sessile
215331,herbivorous,Parablennius parvicornis,species,Halopteris filicina,species,Madeira,swimming,sessile
215332,herbivorous,Omalogyra atomus,species,Halopteris filicina,species,Madeira,walking,sessile
215334,herbivorous,Palaemon elegans,species,Halopteris filicina,species,Madeira,swimming,sessile
215336,herbivorous,Liza ramada,species,Sargassum vulgare,species,Madeira,swimming,sessile
215337,herbivorous,Lipophrys pholis,species,Sargassum vulgare,species,Madeira,swimming,sessile
215338,herbivorous,Coryphoblennius galerita,species,Sargassum vulgare,species,Madeira,swimming,sessile
215339,herbivorous,Parablennius parvicornis,species,Sargassum vulgare,species,Madeira,swimming,sessile
215340,herbivorous,Omalogyra atomus,species,Sargassum vulgare,species,Madeira,walking,sessile
215342,herbivorous,Palaemon elegans,species,Sargassum vulgare,species,Madeira,swimming,sessile
215344,herbivorous,Liza ramada,species,Padina pavonica,species,Madeira,swimming,sessile
215345,herbivorous,Lipophrys pholis,species,Padina pavonica,species,Madeira,swimming,sessile
215346,herbivorous,Coryphoblennius galerita,species,Padina pavonica,species,Madeira,swimming,sessile
215347,herbivorous,Parablennius parvicornis,species,Padina pavonica,species,Madeira,swimming,sessile
215348,herbivorous,Omalogyra atomus,species,Padina pavonica,species,Madeira,walking,sessile
215350,herbivorous,Palaemon elegans,species,Padina pavonica,species,Madeira,swimming,sessile
215360,herbivorous,Liza ramada,species,Tricleocarpa cylindrica,species,Madeira,swimming,sessile
215361,herbivorous,Lipophrys pholis,species,Tricleocarpa cylindrica,species,Madeira,swimming,sessile
215362,herbivorous,Coryphoblennius galerita,species,Tricleocarpa cylindrica,species,Madeira,swimming,sessile
215363,herbivorous,Parablennius parvicornis,species,Tricleocarpa cylindrica,species,Madeira,swimming,sessile
215364,herbivorous,Omalogyra atomus,species,Tricleocarpa cylindrica,species,Madeira,walking,sessile
