autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
203363,herbivorous,Bathygobius fuscus,species,Caulerpa racemosa v. uvifera,species,Mozambique,swimming,sessile
203364,herbivorous,Parvulastra exigua,species,Caulerpa racemosa v. uvifera,species,Mozambique,walking,sessile
203366,herbivorous,Antennablennius bifilum,species,Caulerpa racemosa v. uvifera,species,Mozambique,swimming,sessile
203368,herbivorous,Clibanarius virescens,species,Caulerpa racemosa v. uvifera,species,Mozambique,walking,sessile
203369,herbivorous,Metopograpsus messor,species,Caulerpa racemosa v. uvifera,species,Mozambique,walking,sessile
203372,herbivorous,Bathygobius fuscus,species,Caulerpa zeyheri,species,Mozambique,swimming,sessile
203373,herbivorous,Parvulastra exigua,species,Caulerpa zeyheri,species,Mozambique,walking,sessile
203375,herbivorous,Antennablennius bifilum,species,Caulerpa zeyheri,species,Mozambique,swimming,sessile
203377,herbivorous,Clibanarius virescens,species,Caulerpa zeyheri,species,Mozambique,walking,sessile
203378,herbivorous,Metopograpsus messor,species,Caulerpa zeyheri,species,Mozambique,walking,sessile
203380,predacious,Morula uva,species,Chthamalus dentatus,species,Mozambique,walking,sessile
203381,predacious,Tenguella granulata,species,Chthamalus dentatus,species,Mozambique,walking,sessile
203383,herbivorous,Bathygobius fuscus,species,Cladophora herpestica,species,Mozambique,swimming,sessile
203384,herbivorous,Parvulastra exigua,species,Cladophora herpestica,species,Mozambique,walking,sessile
203386,herbivorous,Antennablennius bifilum,species,Cladophora herpestica,species,Mozambique,swimming,sessile
203388,herbivorous,Clibanarius virescens,species,Cladophora herpestica,species,Mozambique,walking,sessile
203389,herbivorous,Metopograpsus messor,species,Cladophora herpestica,species,Mozambique,walking,sessile
203392,herbivorous,Bathygobius fuscus,species,Neomeris vanbosseae,species,Mozambique,swimming,sessile
203393,herbivorous,Parvulastra exigua,species,Neomeris vanbosseae,species,Mozambique,walking,sessile
203395,herbivorous,Antennablennius bifilum,species,Neomeris vanbosseae,species,Mozambique,swimming,sessile
