autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
200706,herbivorous,Asterina gibbosa,species,Ulva lactuca,species,Portugal,walking,sessile
200708,herbivorous,Paracentrotus lividus,species,Ulva lactuca,species,Portugal,walking,sessile
200709,herbivorous,Liza ramada,species,Ulva lactuca,species,Portugal,swimming,sessile
200710,herbivorous,Diplodus sargus sargus,species,Ulva lactuca,species,Portugal,swimming,sessile
200711,herbivorous,Lipophrys pholis,species,Ulva lactuca,species,Portugal,swimming,sessile
200712,herbivorous,Coryphoblennius galerita,species,Ulva lactuca,species,Portugal,swimming,sessile
200713,herbivorous,Gobius paganellus,species,Ulva lactuca,species,Portugal,swimming,sessile
200714,herbivorous,Lepadogaster lepadogaster,species,Ulva lactuca,species,Portugal,swimming,sessile
200715,herbivorous,Actinia equina,species,Ulva lactuca,species,Portugal,sessile,sessile
200716,herbivorous,Actinia fragacea,species,Ulva lactuca,species,Portugal,sessile,sessile
200717,herbivorous,Acanthochitona crinita,species,Ulva lactuca,species,Portugal,walking,sessile
200718,herbivorous,Lepidochitona cinerea,species,Ulva lactuca,species,Portugal,walking,sessile
200719,herbivorous,Leptochiton algesirensis,species,Ulva lactuca,species,Portugal,walking,sessile
200720,herbivorous,Patella vulgata,species,Ulva lactuca,species,Portugal,other,sessile
200721,herbivorous,Gibbula umbilicalis,species,Ulva lactuca,species,Portugal,walking,sessile
200723,herbivorous,Omalogyra atomus,species,Ulva lactuca,species,Portugal,walking,sessile
200725,herbivorous,Aplysia punctata,species,Ulva lactuca,species,Portugal,walking,sessile
200731,herbivorous,Palaemon longirostris,species,Ulva lactuca,species,Portugal,swimming,sessile
200732,herbivorous,Palaemon elegans,species,Ulva lactuca,species,Portugal,swimming,sessile
200733,herbivorous,Lophozozymus incisus,species,Ulva lactuca,species,Portugal,walking,sessile
200734,herbivorous,Pirimela denticulata,species,Ulva lactuca,species,Portugal,walking,sessile
200735,herbivorous,Carcinus maenas,species,Ulva lactuca,species,Portugal,walking,sessile
200770,herbivorous,Asterina gibbosa,species,Leathesia marina,species,Portugal,walking,sessile
200772,herbivorous,Paracentrotus lividus,species,Leathesia marina,species,Portugal,walking,sessile
200773,herbivorous,Liza ramada,species,Leathesia marina,species,Portugal,swimming,sessile
200774,herbivorous,Diplodus sargus sargus,species,Leathesia marina,species,Portugal,swimming,sessile
200775,herbivorous,Lipophrys pholis,species,Leathesia marina,species,Portugal,swimming,sessile
200776,herbivorous,Coryphoblennius galerita,species,Leathesia marina,species,Portugal,swimming,sessile
200777,herbivorous,Gobius paganellus,species,Leathesia marina,species,Portugal,swimming,sessile
200778,herbivorous,Lepadogaster lepadogaster,species,Leathesia marina,species,Portugal,swimming,sessile
200779,herbivorous,Actinia equina,species,Leathesia marina,species,Portugal,sessile,sessile
200780,herbivorous,Actinia fragacea,species,Leathesia marina,species,Portugal,sessile,sessile
200781,herbivorous,Acanthochitona crinita,species,Leathesia marina,species,Portugal,walking,sessile
200782,herbivorous,Lepidochitona cinerea,species,Leathesia marina,species,Portugal,walking,sessile
200783,herbivorous,Leptochiton algesirensis,species,Leathesia marina,species,Portugal,walking,sessile
200784,herbivorous,Patella vulgata,species,Leathesia marina,species,Portugal,other,sessile
200785,herbivorous,Gibbula umbilicalis,species,Leathesia marina,species,Portugal,walking,sessile
200787,herbivorous,Omalogyra atomus,species,Leathesia marina,species,Portugal,walking,sessile
200789,herbivorous,Aplysia punctata,species,Leathesia marina,species,Portugal,walking,sessile
200795,herbivorous,Palaemon longirostris,species,Leathesia marina,species,Portugal,swimming,sessile
200796,herbivorous,Palaemon elegans,species,Leathesia marina,species,Portugal,swimming,sessile
200797,herbivorous,Lophozozymus incisus,species,Leathesia marina,species,Portugal,walking,sessile
200798,herbivorous,Pirimela denticulata,species,Leathesia marina,species,Portugal,walking,sessile
200799,herbivorous,Carcinus maenas,species,Leathesia marina,species,Portugal,walking,sessile
200802,herbivorous,Asterina gibbosa,species,Colpomenia peregrina,species,Portugal,walking,sessile
200804,herbivorous,Paracentrotus lividus,species,Colpomenia peregrina,species,Portugal,walking,sessile
200805,herbivorous,Liza ramada,species,Colpomenia peregrina,species,Portugal,swimming,sessile
200806,herbivorous,Diplodus sargus sargus,species,Colpomenia peregrina,species,Portugal,swimming,sessile
200807,herbivorous,Lipophrys pholis,species,Colpomenia peregrina,species,Portugal,swimming,sessile
200808,herbivorous,Coryphoblennius galerita,species,Colpomenia peregrina,species,Portugal,swimming,sessile
200809,herbivorous,Gobius paganellus,species,Colpomenia peregrina,species,Portugal,swimming,sessile
200810,herbivorous,Lepadogaster lepadogaster,species,Colpomenia peregrina,species,Portugal,swimming,sessile
200811,herbivorous,Actinia equina,species,Colpomenia peregrina,species,Portugal,sessile,sessile
200812,herbivorous,Actinia fragacea,species,Colpomenia peregrina,species,Portugal,sessile,sessile
200813,herbivorous,Acanthochitona crinita,species,Colpomenia peregrina,species,Portugal,walking,sessile
200814,herbivorous,Lepidochitona cinerea,species,Colpomenia peregrina,species,Portugal,walking,sessile
200815,herbivorous,Leptochiton algesirensis,species,Colpomenia peregrina,species,Portugal,walking,sessile
200816,herbivorous,Patella vulgata,species,Colpomenia peregrina,species,Portugal,other,sessile
200817,herbivorous,Gibbula umbilicalis,species,Colpomenia peregrina,species,Portugal,walking,sessile
200819,herbivorous,Omalogyra atomus,species,Colpomenia peregrina,species,Portugal,walking,sessile
200821,herbivorous,Aplysia punctata,species,Colpomenia peregrina,species,Portugal,walking,sessile
200827,herbivorous,Palaemon longirostris,species,Colpomenia peregrina,species,Portugal,swimming,sessile
200828,herbivorous,Palaemon elegans,species,Colpomenia peregrina,species,Portugal,swimming,sessile
200829,herbivorous,Lophozozymus incisus,species,Colpomenia peregrina,species,Portugal,walking,sessile
200830,herbivorous,Pirimela denticulata,species,Colpomenia peregrina,species,Portugal,walking,sessile
200831,herbivorous,Carcinus maenas,species,Colpomenia peregrina,species,Portugal,walking,sessile
200834,herbivorous,Asterina gibbosa,species,Bifurcaria bifurcata,species,Portugal,walking,sessile
200836,herbivorous,Paracentrotus lividus,species,Bifurcaria bifurcata,species,Portugal,walking,sessile
200837,herbivorous,Liza ramada,species,Bifurcaria bifurcata,species,Portugal,swimming,sessile
200838,herbivorous,Diplodus sargus sargus,species,Bifurcaria bifurcata,species,Portugal,swimming,sessile
200839,herbivorous,Lipophrys pholis,species,Bifurcaria bifurcata,species,Portugal,swimming,sessile
200840,herbivorous,Coryphoblennius galerita,species,Bifurcaria bifurcata,species,Portugal,swimming,sessile
200841,herbivorous,Gobius paganellus,species,Bifurcaria bifurcata,species,Portugal,swimming,sessile
200842,herbivorous,Lepadogaster lepadogaster,species,Bifurcaria bifurcata,species,Portugal,swimming,sessile
200843,herbivorous,Actinia equina,species,Bifurcaria bifurcata,species,Portugal,sessile,sessile
200844,herbivorous,Actinia fragacea,species,Bifurcaria bifurcata,species,Portugal,sessile,sessile
200845,herbivorous,Acanthochitona crinita,species,Bifurcaria bifurcata,species,Portugal,walking,sessile
200846,herbivorous,Lepidochitona cinerea,species,Bifurcaria bifurcata,species,Portugal,walking,sessile
200847,herbivorous,Leptochiton algesirensis,species,Bifurcaria bifurcata,species,Portugal,walking,sessile
200848,herbivorous,Patella vulgata,species,Bifurcaria bifurcata,species,Portugal,other,sessile
200849,herbivorous,Gibbula umbilicalis,species,Bifurcaria bifurcata,species,Portugal,walking,sessile
200851,herbivorous,Omalogyra atomus,species,Bifurcaria bifurcata,species,Portugal,walking,sessile
200853,herbivorous,Aplysia punctata,species,Bifurcaria bifurcata,species,Portugal,walking,sessile
200859,herbivorous,Palaemon longirostris,species,Bifurcaria bifurcata,species,Portugal,swimming,sessile
200860,herbivorous,Palaemon elegans,species,Bifurcaria bifurcata,species,Portugal,swimming,sessile
200861,herbivorous,Lophozozymus incisus,species,Bifurcaria bifurcata,species,Portugal,walking,sessile
200862,herbivorous,Pirimela denticulata,species,Bifurcaria bifurcata,species,Portugal,walking,sessile
200863,herbivorous,Carcinus maenas,species,Bifurcaria bifurcata,species,Portugal,walking,sessile
200896,predacious,Palaemon elegans,species,Liza ramada,species,Portugal,swimming,swimming
200897,predacious,Anemonia sulcata,species,Liza ramada,species,Portugal,sessile,swimming
200900,herbivorous,Asterina gibbosa,species,Sphacelaria cirrosa,species,Portugal,walking,sessile
200902,herbivorous,Paracentrotus lividus,species,Sphacelaria cirrosa,species,Portugal,walking,sessile
200903,herbivorous,Liza ramada,species,Sphacelaria cirrosa,species,Portugal,swimming,sessile
200904,herbivorous,Diplodus sargus sargus,species,Sphacelaria cirrosa,species,Portugal,swimming,sessile
200905,herbivorous,Lipophrys pholis,species,Sphacelaria cirrosa,species,Portugal,swimming,sessile
200906,herbivorous,Coryphoblennius galerita,species,Sphacelaria cirrosa,species,Portugal,swimming,sessile
200907,herbivorous,Gobius paganellus,species,Sphacelaria cirrosa,species,Portugal,swimming,sessile
200908,herbivorous,Lepadogaster lepadogaster,species,Sphacelaria cirrosa,species,Portugal,swimming,sessile
200909,herbivorous,Actinia equina,species,Sphacelaria cirrosa,species,Portugal,sessile,sessile
200910,herbivorous,Actinia fragacea,species,Sphacelaria cirrosa,species,Portugal,sessile,sessile
200911,herbivorous,Acanthochitona crinita,species,Sphacelaria cirrosa,species,Portugal,walking,sessile
200912,herbivorous,Lepidochitona cinerea,species,Sphacelaria cirrosa,species,Portugal,walking,sessile
200913,herbivorous,Leptochiton algesirensis,species,Sphacelaria cirrosa,species,Portugal,walking,sessile
200914,herbivorous,Patella vulgata,species,Sphacelaria cirrosa,species,Portugal,other,sessile
200915,herbivorous,Gibbula umbilicalis,species,Sphacelaria cirrosa,species,Portugal,walking,sessile
200917,herbivorous,Omalogyra atomus,species,Sphacelaria cirrosa,species,Portugal,walking,sessile
200919,herbivorous,Aplysia punctata,species,Sphacelaria cirrosa,species,Portugal,walking,sessile
200925,herbivorous,Palaemon longirostris,species,Sphacelaria cirrosa,species,Portugal,swimming,sessile
200926,herbivorous,Palaemon elegans,species,Sphacelaria cirrosa,species,Portugal,swimming,sessile
200927,herbivorous,Lophozozymus incisus,species,Sphacelaria cirrosa,species,Portugal,walking,sessile
200928,herbivorous,Pirimela denticulata,species,Sphacelaria cirrosa,species,Portugal,walking,sessile
200929,herbivorous,Carcinus maenas,species,Sphacelaria cirrosa,species,Portugal,walking,sessile
200930,predacious,Palaemon longirostris,species,Diplodus sargus sargus,species,Portugal,swimming,swimming
200931,predacious,Palaemon elegans,species,Diplodus sargus sargus,species,Portugal,swimming,swimming
200932,predacious,Anemonia sulcata,species,Diplodus sargus sargus,species,Portugal,sessile,swimming
200934,predacious,Anemonia sulcata,species,Lipophrys pholis,species,Portugal,sessile,swimming
200935,predacious,Lipophrys pholis,species,Lipophrys pholis,species,Portugal,swimming,swimming
200936,predacious,Coryphoblennius galerita,species,Lipophrys pholis,species,Portugal,swimming,swimming
200937,predacious,Lepadogaster lepadogaster,species,Lipophrys pholis,species,Portugal,swimming,swimming
200939,predacious,Anemonia sulcata,species,Coryphoblennius galerita,species,Portugal,sessile,swimming
200940,predacious,Lepadogaster lepadogaster,species,Coryphoblennius galerita,species,Portugal,swimming,swimming
200941,predacious,Coryphoblennius galerita,species,Coryphoblennius galerita,species,Portugal,swimming,swimming
200944,herbivorous,Asterina gibbosa,species,Asparagopsis armata,species,Portugal,walking,sessile
200946,herbivorous,Paracentrotus lividus,species,Asparagopsis armata,species,Portugal,walking,sessile
200947,herbivorous,Liza ramada,species,Asparagopsis armata,species,Portugal,swimming,sessile
200948,herbivorous,Diplodus sargus sargus,species,Asparagopsis armata,species,Portugal,swimming,sessile
200949,herbivorous,Lipophrys pholis,species,Asparagopsis armata,species,Portugal,swimming,sessile
200950,herbivorous,Coryphoblennius galerita,species,Asparagopsis armata,species,Portugal,swimming,sessile
200951,herbivorous,Gobius paganellus,species,Asparagopsis armata,species,Portugal,swimming,sessile
200952,herbivorous,Lepadogaster lepadogaster,species,Asparagopsis armata,species,Portugal,swimming,sessile
200953,herbivorous,Actinia equina,species,Asparagopsis armata,species,Portugal,sessile,sessile
200954,herbivorous,Actinia fragacea,species,Asparagopsis armata,species,Portugal,sessile,sessile
200955,herbivorous,Acanthochitona crinita,species,Asparagopsis armata,species,Portugal,walking,sessile
200956,herbivorous,Lepidochitona cinerea,species,Asparagopsis armata,species,Portugal,walking,sessile
200957,herbivorous,Leptochiton algesirensis,species,Asparagopsis armata,species,Portugal,walking,sessile
200958,herbivorous,Patella vulgata,species,Asparagopsis armata,species,Portugal,other,sessile
200959,herbivorous,Gibbula umbilicalis,species,Asparagopsis armata,species,Portugal,walking,sessile
200961,herbivorous,Omalogyra atomus,species,Asparagopsis armata,species,Portugal,walking,sessile
200963,herbivorous,Aplysia punctata,species,Asparagopsis armata,species,Portugal,walking,sessile
200969,herbivorous,Palaemon longirostris,species,Asparagopsis armata,species,Portugal,swimming,sessile
200970,herbivorous,Palaemon elegans,species,Asparagopsis armata,species,Portugal,swimming,sessile
200971,herbivorous,Lophozozymus incisus,species,Asparagopsis armata,species,Portugal,walking,sessile
200972,herbivorous,Pirimela denticulata,species,Asparagopsis armata,species,Portugal,walking,sessile
200973,herbivorous,Carcinus maenas,species,Asparagopsis armata,species,Portugal,walking,sessile
200975,predacious,Anemonia sulcata,species,Gobius paganellus,species,Portugal,sessile,swimming
200976,predacious,Lipophrys pholis,species,Gobius paganellus,species,Portugal,swimming,swimming
