autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
177760,predacious,Aulostomus maculatus,species,Acanthurus chirugus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177761,predacious,Sargocentron vexillarium,species,Acanthurus chirugus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177762,predacious,Cephalopholis fulva,species,Acanthurus chirugus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177763,predacious,Aulostomus maculatus,species,Acanthurus coeruleus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177764,predacious,Sargocentron vexillarium,species,Acanthurus coeruleus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177765,predacious,Cephalopholis fulva,species,Acanthurus coeruleus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177766,predacious,Negaprion brevirostris,species,Aetobatus narinari,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177767,predacious,Cephalopholis fulva,species,Aulostomus maculatus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177768,predacious,Tylosurus acus acus,species,Carangoides bartholomaei,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177769,predacious,Synodus intermedius,species,Carangoides bartholomaei,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177770,predacious,Tylosurus acus acus,species,Carangoides latus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177771,predacious,Synodus intermedius,species,Carangoides latus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177772,predacious,Tylosurus acus acus,species,Carangoides ruber,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177773,predacious,Synodus intermedius,species,Carangoides ruber,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177774,predacious,Lutjanus synagris,species,Chilomycterus antennatus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177775,predacious,Carcharhinus limbatus,species,Dasyatis americana,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177776,predacious,Negaprion brevirostris,species,Dasyatis americana,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
