autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
153043,predacious,Limosa fedoa,species,Carinoma mutabilis,species,"Santa Barbara, California, USA",flying,walking
153046,predacious,Recurvirostra americana,species,Carinoma mutabilis,species,"Santa Barbara, California, USA",flying,walking
153050,predacious,Recurvirostra americana,species,Culex tarsalis,species,"Santa Barbara, California, USA",flying,swimming
153051,predacious,Catoptrophorus semipalmatus,species,Carinoma mutabilis,species,"Santa Barbara, California, USA",flying,walking
153053,predacious,Limosa fedoa,species,Capitella capitata,species,"Santa Barbara, California, USA",flying,sessile
153054,predacious,Catoptrophorus semipalmatus,species,Culex tarsalis,species,"Santa Barbara, California, USA",flying,swimming
153055,predacious,Recurvirostra americana,species,Aedes taeniorhynchus,species,"Santa Barbara, California, USA",flying,swimming
153056,predacious,Pluvialis squatarola,species,Carinoma mutabilis,species,"Santa Barbara, California, USA",flying,walking
153057,predacious,Limosa fedoa,species,Polydora nuchalis,species,"Santa Barbara, California, USA",flying,sessile
153059,predacious,Catoptrophorus semipalmatus,species,Aedes taeniorhynchus,species,"Santa Barbara, California, USA",flying,swimming
153060,predacious,Recurvirostra americana,species,Capitella capitata,species,"Santa Barbara, California, USA",flying,sessile
153061,predacious,Limosa fedoa,species,Traskorchestia traskiana,species,"Santa Barbara, California, USA",flying,walking
153063,predacious,Recurvirostra americana,species,Polydora nuchalis,species,"Santa Barbara, California, USA",flying,sessile
153064,predacious,Catoptrophorus semipalmatus,species,Capitella capitata,species,"Santa Barbara, California, USA",flying,sessile
153069,predacious,Tringa melanoleuca,species,Carinoma mutabilis,species,"Santa Barbara, California, USA",flying,walking
153071,predacious,Catoptrophorus semipalmatus,species,Polydora nuchalis,species,"Santa Barbara, California, USA",flying,sessile
153073,predacious,Pluvialis squatarola,species,Capitella capitata,species,"Santa Barbara, California, USA",flying,sessile
153074,predacious,Tringa melanoleuca,species,Culex tarsalis,species,"Santa Barbara, California, USA",flying,swimming
153075,predacious,Catoptrophorus semipalmatus,species,Traskorchestia traskiana,species,"Santa Barbara, California, USA",flying,walking
153076,predacious,Pluvialis squatarola,species,Polydora nuchalis,species,"Santa Barbara, California, USA",flying,sessile
153077,predacious,Tringa melanoleuca,species,Aedes taeniorhynchus,species,"Santa Barbara, California, USA",flying,swimming
153080,predacious,Pluvialis squatarola,species,Traskorchestia traskiana,species,"Santa Barbara, California, USA",flying,walking
