autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
160787,fungivorous,Achaeta abulba,species,Fungal mycelium,species,"Soest, Netherlands",walking,sessile
160789,predacious,Achipteria coleoptrata,species,Acrobeles ciliatus,species,"Soest, Netherlands",walking,other
160791,predacious,Achipteria coleoptrata,species,Aglenchus agricola,species,"Soest, Netherlands",walking,other
160805,fungivorous,Achipteria coleoptrata,species,Fungal mycelium,species,"Soest, Netherlands",walking,sessile
160807,predacious,Achipteria coleoptrata,species,Heterocephalobus elongatus,species,"Soest, Netherlands",walking,other
160810,predacious,Achipteria coleoptrata,species,Meloidogyne naasi,species,"Soest, Netherlands",walking,other
160811,predacious,Achipteria coleoptrata,species,Metateratocephalus crassidens,species,"Soest, Netherlands",walking,other
160814,predacious,Achipteria coleoptrata,species,Paratrichodorus teres,species,"Soest, Netherlands",walking,other
160819,predacious,Achipteria coleoptrata,species,Pratylenchus crenatus,species,"Soest, Netherlands",walking,other
160827,predacious,Achipteria coleoptrata,species,Tylenchorhynchus dubius,species,"Soest, Netherlands",walking,other
160833,predacious,Alliphis siculus,species,Acrobeles ciliatus,species,"Soest, Netherlands",walking,other
160835,predacious,Alliphis siculus,species,Aglenchus agricola,species,"Soest, Netherlands",walking,other
160838,predacious,Alliphis siculus,species,Aporcelaimellus obtusicaudatus,species,"Soest, Netherlands",walking,other
160853,predacious,Alliphis siculus,species,Heterocephalobus elongatus,species,"Soest, Netherlands",walking,other
160856,predacious,Alliphis siculus,species,Meloidogyne naasi,species,"Soest, Netherlands",walking,other
160857,predacious,Alliphis siculus,species,Metateratocephalus crassidens,species,"Soest, Netherlands",walking,other
160862,predacious,Alliphis siculus,species,Paratrichodorus teres,species,"Soest, Netherlands",walking,other
160867,predacious,Alliphis siculus,species,Pratylenchus crenatus,species,"Soest, Netherlands",walking,other
160879,predacious,Alliphis siculus,species,Tylenchorhynchus dubius,species,"Soest, Netherlands",walking,other
160885,predacious,Aporcelaimellus obtusicaudatus,species,Acrobeles ciliatus,species,"Soest, Netherlands",other,other
