autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
7,predacious,Emberiza schoeniclus,species,Stilicus rufipes,species,"Switzerland, Lake Neuchatel",flying,walking
8,predacious,Emberiza schoeniclus,species,Trogophloeus corticinus,species,"Switzerland, Lake Neuchatel",flying,walking
13,predacious,Emberiza schoeniclus,species,Aphtona lutescens,species,"Switzerland, Lake Neuchatel",flying,walking
15,predacious,Emberiza schoeniclus,species,Pisaura mirabilis,species,"Switzerland, Lake Neuchatel",flying,walking
16,predacious,Emberiza schoeniclus,species,Cloeon simile,species,"Switzerland, Lake Neuchatel",flying,flying
29,predacious,Emberiza schoeniclus,species,Platystethus nodifrons,species,"Switzerland, Lake Neuchatel",flying,walking
31,predacious,Emberiza schoeniclus,species,Anacaena limbata,species,"Switzerland, Lake Neuchatel",flying,walking
32,predacious,Emberiza schoeniclus,species,Gabrius fermoralis,species,"Switzerland, Lake Neuchatel",flying,walking
35,predacious,Emberiza schoeniclus,species,Marpissa radiata,species,"Switzerland, Lake Neuchatel",flying,walking
37,predacious,Emberiza schoeniclus,species,Chaetocnema confusa,species,"Switzerland, Lake Neuchatel",flying,walking
38,predacious,Emberiza schoeniclus,species,Lesteva sicula,species,"Switzerland, Lake Neuchatel",flying,walking
41,predacious,Emberiza schoeniclus,species,Pelochares versicolor,species,"Switzerland, Lake Neuchatel",flying,walking
42,predacious,Emberiza schoeniclus,species,Diplocampa assimile,species,"Switzerland, Lake Neuchatel",flying,walking
46,predacious,Emberiza schoeniclus,species,Tetartopeus terminatum,species,"Switzerland, Lake Neuchatel",flying,walking
48,predacious,Emberiza schoeniclus,species,Argiope bruennichi,species,"Switzerland, Lake Neuchatel",flying,walking
50,predacious,Emberiza schoeniclus,species,Ilione lineata,species,"Switzerland, Lake Neuchatel",flying,flying
52,predacious,Emberiza schoeniclus,species,Trypoxylon attenuatum,species,"Switzerland, Lake Neuchatel",flying,flying
55,predacious,Emberiza schoeniclus,species,Pteronemobius heydenii,species,"Switzerland, Lake Neuchatel",flying,walking
56,predacious,Emberiza schoeniclus,species,Propylaea quatuordecimpunctata,species,"Switzerland, Lake Neuchatel",flying,walking
58,predacious,Emberiza schoeniclus,species,Ligidium hypnorum,species,"Switzerland, Lake Neuchatel",flying,walking
60,predacious,Emberiza schoeniclus,species,Chartoscirta cincta,species,"Switzerland, Lake Neuchatel",flying,walking
62,predacious,Emberiza schoeniclus,species,Dryops auriculatus,species,"Switzerland, Lake Neuchatel",flying,walking
63,predacious,Emberiza schoeniclus,species,Limnia paludicola,species,"Switzerland, Lake Neuchatel",flying,flying
64,predacious,Emberiza schoeniclus,species,Pachybrachius sp,species,"Switzerland, Lake Neuchatel",flying,walking
65,predacious,Emberiza schoeniclus,species,Paederus riparius,species,"Switzerland, Lake Neuchatel",flying,walking
