autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
194366,herbivorous,Aphrophila noevaezelandiae,species,Achnanthes lanceoloata,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194368,herbivorous,Aphrophila noevaezelandiae,species,Cymbella kappii,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194369,herbivorous,Aphrophila noevaezelandiae,species,Cymbella minuta,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194371,herbivorous,Aphrophila noevaezelandiae,species,Fragilaria vaucheriae,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194372,herbivorous,Aphrophila noevaezelandiae,species,Frustulia rhomboides,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194373,herbivorous,Aphrophila noevaezelandiae,species,Gomphonema cf. olivaceum,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194374,herbivorous,Aphrophila noevaezelandiae,species,Gomphonema parvulum,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194376,herbivorous,Aphrophila noevaezelandiae,species,Meridion circulare,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194377,herbivorous,Aphrophila noevaezelandiae,species,Navicula avenacea,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194378,herbivorous,Aphrophila noevaezelandiae,species,Navicula cryptocephala,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194389,herbivorous,Austroperla cyrene,species,Achnanthes lanceoloata,species,"Tributaries of the Taieri River, New Zealand",walking,floating
194391,herbivorous,Austroperla cyrene,species,Cymbella aspera,species,"Tributaries of the Taieri River, New Zealand",walking,floating
194394,herbivorous,Austroperla cyrene,species,Meridion circulare,species,"Tributaries of the Taieri River, New Zealand",walking,floating
194395,herbivorous,Austroperla cyrene,species,Tabellaria flocculosa,species,"Tributaries of the Taieri River, New Zealand",walking,floating
194398,herbivorous,Austrosimulium australense,species,Achnanthes lanceoloata,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194399,herbivorous,Austrosimulium australense,species,Achnanthes saxonica,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194401,herbivorous,Austrosimulium australense,species,Cymbella aspera,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194402,herbivorous,Austrosimulium australense,species,Cymbella kappii,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
