autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
106850,herbivorous,Keratella taurocephala,species,Cryptomonas ovata,species,USA,swimming,floating
106851,herbivorous,Kelicottia bostoniensis,species,Cryptomonas ovata,species,USA,swimming,floating
106854,herbivorous,Polyarthra remata,species,Cryptomonas ovata,species,USA,swimming,floating
106855,herbivorous,Ascomorpha ecaudis,species,Cryptomonas ovata,species,USA,swimming,floating
106856,herbivorous,Conochiloides unicornis,species,Cryptomonas ovata,species,USA,swimming,floating
106858,herbivorous,Ploesoma truncatum,species,Cryptomonas ovata,species,USA,swimming,floating
106859,herbivorous,Diaptomus minutus,species,Dinobryon sertularia,species,USA,swimming,floating
106861,herbivorous,Polyarthra vulgaris,species,Cryptomonas ovata,species,USA,swimming,floating
106863,herbivorous,Diaptomus minutus,species,Chrysocapsa planktonica,species,USA,swimming,floating
106864,herbivorous,Trichocerca similis,species,Cryptomonas ovata,species,USA,swimming,floating
106865,herbivorous,Gastropus stylifer,species,Cryptomonas ovata,species,USA,swimming,floating
106866,herbivorous,Polyarthra major,species,Cryptomonas ovata,species,USA,swimming,floating
106867,herbivorous,Diaptomus minutus,species,Schroederia setigera,species,USA,swimming,floating
106868,herbivorous,Trichocerca multicrinis,species,Cryptomonas ovata,species,USA,swimming,floating
106869,herbivorous,Diaptomus minutus,species,Pediastrum tetras,species,USA,swimming,floating
106870,herbivorous,Bosmina longirostris,species,Cryptomonas ovata,species,USA,swimming,floating
106871,herbivorous,Keratella crassa,species,Cryptomonas ovata,species,USA,swimming,floating
106873,herbivorous,Ploesoma hudsoni,species,Cryptomonas ovata,species,USA,swimming,floating
106874,herbivorous,Chydorus sphaericus,species,Cryptomonas ovata,species,USA,swimming,floating
106875,herbivorous,Holopedium gibberum,species,Dinobryon sertularia,species,USA,swimming,floating
106877,herbivorous,Diaptomus minutus,species,Arthrodesmus incus,species,USA,swimming,floating
106878,herbivorous,Diaptomus minutus,species,Arthrodesmus subulatus,species,USA,swimming,floating
106879,herbivorous,Holopedium gibberum,species,Chrysocapsa planktonica,species,USA,swimming,floating
106880,herbivorous,Diaptomus minutus,species,Scenedesmus dimorphus,species,USA,swimming,floating
106881,herbivorous,Diaptomus minutus,species,Scenedesmus quadricauda,species,USA,swimming,floating
106883,herbivorous,Holopedium gibberum,species,Schroederia setigera,species,USA,swimming,floating
106884,herbivorous,Ceriodaphnia quadrangula,species,Cryptomonas ovata,species,USA,swimming,floating
106886,herbivorous,Holopedium gibberum,species,Pediastrum tetras,species,USA,swimming,floating
106888,herbivorous,Holopedium gibberum,species,Arthrodesmus incus,species,USA,swimming,floating
106889,herbivorous,Holopedium gibberum,species,Arthrodesmus subulatus,species,USA,swimming,floating
106890,herbivorous,Diaptomus minutus,species,Cryptomonas ovata,species,USA,swimming,floating
106891,herbivorous,Holopedium gibberum,species,Scenedesmus dimorphus,species,USA,swimming,floating
106892,herbivorous,Holopedium gibberum,species,Scenedesmus quadricauda,species,USA,swimming,floating
106894,herbivorous,Diaptomus minutus,species,Merismopedia punctata,species,USA,swimming,floating
106896,herbivorous,Diaphanosoma birgei,species,Cryptomonas ovata,species,USA,swimming,floating
106897,herbivorous,Holopedium gibberum,species,Cryptomonas ovata,species,USA,swimming,floating
106899,herbivorous,Holopedium gibberum,species,Merismopedia punctata,species,USA,swimming,floating
106906,predacious,Tropocyclops prasinus,species,Ophryoxus gracilis,species,USA,swimming,swimming
106907,predacious,Tropocyclops prasinus,species,Cyclops vernalis,species,USA,swimming,swimming
106908,predacious,Cyclops vernalis,species,Ophryoxus gracilis,species,USA,swimming,swimming
106909,predacious,Tropocyclops prasinus,species,Diaptomus minutus,species,USA,swimming,swimming
106910,predacious,Salvelinus fontinalis,species,Salvelinus fontinalis,species,USA,swimming,swimming
106911,predacious,Cyclops vernalis,species,Cyclops vernalis,species,USA,swimming,swimming
106912,predacious,Tropocyclops prasinus,species,Tropocyclops prasinus,species,USA,swimming,swimming
106913,predacious,Tropocyclops prasinus,species,Ceriodaphnia quadrangula,species,USA,swimming,swimming
106914,predacious,Cyclops vernalis,species,Diaptomus minutus,species,USA,swimming,swimming
106915,predacious,Tropocyclops prasinus,species,Alona affinis,species,USA,swimming,swimming
106916,predacious,Tropocyclops prasinus,species,Chydorus bicornutus,species,USA,swimming,swimming
106917,predacious,Tropocyclops prasinus,species,Chydorus sphaericus,species,USA,swimming,swimming
106918,predacious,Tropocyclops prasinus,species,Ploesoma hudsoni,species,USA,swimming,swimming
106919,predacious,Cyclops vernalis,species,Tropocyclops prasinus,species,USA,swimming,swimming
106920,predacious,Salvelinus fontinalis,species,Ictalurus nebulosus,species,USA,swimming,swimming
106921,predacious,Tropocyclops prasinus,species,Keratella crassa,species,USA,swimming,swimming
106922,predacious,Cyclops vernalis,species,Ceriodaphnia quadrangula,species,USA,swimming,swimming
106923,predacious,Tropocyclops prasinus,species,Bosmina longirostris,species,USA,swimming,swimming
106924,predacious,Tropocyclops prasinus,species,Trichocerca multicrinis,species,USA,swimming,swimming
106925,predacious,Cyclops vernalis,species,Alona affinis,species,USA,swimming,swimming
106926,predacious,Tropocyclops prasinus,species,Gastropus stylifer,species,USA,swimming,swimming
106927,predacious,Tropocyclops prasinus,species,Polyarthra major,species,USA,swimming,swimming
106929,predacious,Tropocyclops prasinus,species,Trichocerca similis,species,USA,swimming,swimming
106930,predacious,Cyclops vernalis,species,Chydorus bicornutus,species,USA,swimming,swimming
106931,predacious,Cyclops vernalis,species,Chydorus sphaericus,species,USA,swimming,swimming
106932,predacious,Cyclops vernalis,species,Ploesoma hudsoni,species,USA,swimming,swimming
106933,predacious,Cyclops vernalis,species,Keratella crassa,species,USA,swimming,swimming
106934,predacious,Tropocyclops prasinus,species,Polyarthra vulgaris,species,USA,swimming,swimming
106935,predacious,Tropocyclops prasinus,species,Ploesoma truncatum,species,USA,swimming,swimming
106936,predacious,Cyclops vernalis,species,Bosmina longirostris,species,USA,swimming,swimming
106937,predacious,Cyclops vernalis,species,Trichocerca multicrinis,species,USA,swimming,swimming
106938,predacious,Epishura lacustris,species,Ceriodaphnia quadrangula,species,USA,swimming,swimming
106939,predacious,Tropocyclops prasinus,species,Ascomorpha ecaudis,species,USA,swimming,swimming
106940,predacious,Tropocyclops prasinus,species,Conochiloides unicornis,species,USA,swimming,swimming
106942,predacious,Salvelinus fontinalis,species,Notemigonus crysoleucas,species,USA,swimming,swimming
106943,predacious,Cyclops vernalis,species,Gastropus stylifer,species,USA,swimming,swimming
106944,predacious,Cyclops vernalis,species,Polyarthra major,species,USA,swimming,swimming
106945,predacious,Cyclops vernalis,species,Trichocerca similis,species,USA,swimming,swimming
106946,predacious,Tropocyclops prasinus,species,Polyarthra remata,species,USA,swimming,swimming
106947,predacious,Cyclops vernalis,species,Polyarthra vulgaris,species,USA,swimming,swimming
106948,predacious,Cyclops vernalis,species,Ploesoma truncatum,species,USA,swimming,swimming
106949,predacious,Epishura lacustris,species,Chydorus sphaericus,species,USA,swimming,swimming
106950,predacious,Epishura lacustris,species,Ploesoma hudsoni,species,USA,swimming,swimming
106951,predacious,Epishura lacustris,species,Keratella crassa,species,USA,swimming,swimming
106952,predacious,Cyclops vernalis,species,Ascomorpha ecaudis,species,USA,swimming,swimming
106953,predacious,Cyclops vernalis,species,Conochiloides unicornis,species,USA,swimming,swimming
106955,predacious,Epishura lacustris,species,Bosmina longirostris,species,USA,swimming,swimming
106956,predacious,Epishura lacustris,species,Trichocerca multicrinis,species,USA,swimming,swimming
106957,predacious,Cyclops vernalis,species,Polyarthra remata,species,USA,swimming,swimming
106959,predacious,Epishura lacustris,species,Gastropus stylifer,species,USA,swimming,swimming
106960,predacious,Epishura lacustris,species,Polyarthra major,species,USA,swimming,swimming
106961,predacious,Epishura lacustris,species,Trichocerca similis,species,USA,swimming,swimming
106963,predacious,Epishura lacustris,species,Polyarthra vulgaris,species,USA,swimming,swimming
106964,predacious,Epishura lacustris,species,Ploesoma truncatum,species,USA,swimming,swimming
106966,predacious,Tropocyclops prasinus,species,Kelicottia bostoniensis,species,USA,swimming,swimming
106967,predacious,Epishura lacustris,species,Ascomorpha ecaudis,species,USA,swimming,swimming
106968,predacious,Epishura lacustris,species,Conochiloides unicornis,species,USA,swimming,swimming
106971,predacious,Epishura lacustris,species,Polyarthra remata,species,USA,swimming,swimming
106972,predacious,Tropocyclops prasinus,species,Keratella taurocephala,species,USA,swimming,swimming
106975,predacious,Cyclops vernalis,species,Kelicottia bostoniensis,species,USA,swimming,swimming
106977,predacious,Cyclops vernalis,species,Keratella taurocephala,species,USA,swimming,swimming
