autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
157345,herbivorous,Amphinemura sulcicollis,species,Achnanthes austriaca minor,species,United Kingdom,walking,sessile
157346,herbivorous,Amphinemura sulcicollis,species,Achnanthes helvetica,species,United Kingdom,walking,sessile
157347,herbivorous,Amphinemura sulcicollis,species,Eunotia exigua,species,United Kingdom,walking,sessile
157348,herbivorous,Amphinemura sulcicollis,species,Eunotia rhomboidea,species,United Kingdom,walking,sessile
157349,herbivorous,Amphinemura sulcicollis,species,Eunotia vanheurckii,species,United Kingdom,walking,sessile
157350,herbivorous,Amphinemura sulcicollis,species,Fragilaria vaucheriae,species,United Kingdom,walking,sessile
157351,herbivorous,Amphinemura sulcicollis,species,Pinnularia subcapitata,species,United Kingdom,walking,sessile
157352,herbivorous,Amphinemura sulcicollis,species,Tabellaria flocculosa,species,United Kingdom,walking,sessile
157355,herbivorous,Brachyptera risi,species,Achnanthes austriaca minor,species,United Kingdom,walking,sessile
157356,herbivorous,Brachyptera risi,species,Achnanthes helvetica,species,United Kingdom,walking,sessile
157357,herbivorous,Brachyptera risi,species,Eunotia exigua,species,United Kingdom,walking,sessile
157358,herbivorous,Brachyptera risi,species,Eunotia rhomboidea,species,United Kingdom,walking,sessile
157359,herbivorous,Brachyptera risi,species,Eunotia vanheurckii,species,United Kingdom,walking,sessile
157360,herbivorous,Brachyptera risi,species,Fragilaria vaucheriae,species,United Kingdom,walking,sessile
157361,herbivorous,Brachyptera risi,species,Pinnularia subcapitata,species,United Kingdom,walking,sessile
157362,herbivorous,Brachyptera risi,species,Tabellaria flocculosa,species,United Kingdom,walking,sessile
157374,predacious,Chloroperla tripunctata,species,Chloroperla tripunctata,species,United Kingdom,walking,walking
157375,predacious,Chloroperla tripunctata,species,Leuctra inermis,species,United Kingdom,walking,walking
157377,predacious,Isoperla grammatica,species,Isoperla grammatica,species,United Kingdom,walking,walking
157378,predacious,Isoperla grammatica,species,Leuctra inermis,species,United Kingdom,walking,walking
157380,predacious,Isoperla grammatica,species,Siphonoperla torrentium,species,United Kingdom,walking,walking
157383,herbivorous,Leuctra inermis,species,Achnanthes austriaca minor,species,United Kingdom,walking,sessile
157384,herbivorous,Leuctra inermis,species,Achnanthes helvetica,species,United Kingdom,walking,sessile
157385,herbivorous,Leuctra inermis,species,Eunotia exigua,species,United Kingdom,walking,sessile
157386,herbivorous,Leuctra inermis,species,Eunotia rhomboidea,species,United Kingdom,walking,sessile
157387,herbivorous,Leuctra inermis,species,Eunotia vanheurckii,species,United Kingdom,walking,sessile
157388,herbivorous,Leuctra inermis,species,Fragilaria vaucheriae,species,United Kingdom,walking,sessile
157389,herbivorous,Leuctra inermis,species,Pinnularia subcapitata,species,United Kingdom,walking,sessile
157390,herbivorous,Leuctra inermis,species,Tabellaria flocculosa,species,United Kingdom,walking,sessile
157393,herbivorous,Limnius volckmari,species,Achnanthes austriaca minor,species,United Kingdom,walking,sessile
157394,herbivorous,Limnius volckmari,species,Achnanthes helvetica,species,United Kingdom,walking,sessile
157395,herbivorous,Limnius volckmari,species,Eunotia exigua,species,United Kingdom,walking,sessile
157396,herbivorous,Limnius volckmari,species,Eunotia rhomboidea,species,United Kingdom,walking,sessile
157397,herbivorous,Limnius volckmari,species,Eunotia vanheurckii,species,United Kingdom,walking,sessile
157398,herbivorous,Limnius volckmari,species,Fragilaria vaucheriae,species,United Kingdom,walking,sessile
157399,herbivorous,Limnius volckmari,species,Pinnularia subcapitata,species,United Kingdom,walking,sessile
157400,herbivorous,Limnius volckmari,species,Tabellaria flocculosa,species,United Kingdom,walking,sessile
157403,herbivorous,Protonemura meyeri,species,Achnanthes austriaca minor,species,United Kingdom,walking,sessile
157404,herbivorous,Protonemura meyeri,species,Achnanthes helvetica,species,United Kingdom,walking,sessile
