autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
11498,predacious,Lutra lutra,species,Anguilla anguilla,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11499,predacious,Lutra lutra,species,Pholis gunnellus,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11500,predacious,Lutra lutra,species,Zoarces viviparus,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11501,predacious,Lutra lutra,species,Myoxocephalus scorpius,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11502,predacious,Lutra lutra,species,Salmo trutta,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11503,predacious,Phalacrocorax carbo,species,Anguilla anguilla,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11504,predacious,Phalacrocorax carbo,species,Pollachius virens,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11505,predacious,Phalacrocorax carbo,species,Ammodytes tobianus,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11506,predacious,Phalacrocorax carbo,species,Zoarces viviparus,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11507,predacious,Phalacrocorax carbo,species,Pomatoschistus microps,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11508,predacious,Phalacrocorax carbo,species,Platichthys flesus,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11509,predacious,Phalacrocorax carbo,species,Salmo trutta,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11510,predacious,Ardea cinerea,species,Anguilla anguilla,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11511,predacious,Ardea cinerea,species,Pollachius virens,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11512,predacious,Ardea cinerea,species,Ammodytes tobianus,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11513,predacious,Ardea cinerea,species,Pholis gunnellus,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11514,predacious,Ardea cinerea,species,Zoarces viviparus,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11515,predacious,Ardea cinerea,species,Pomatoschistus microps,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11516,predacious,Ardea cinerea,species,Myoxocephalus scorpius,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11517,predacious,Ardea cinerea,species,Platichthys flesus,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11518,predacious,Ardea cinerea,species,Salmo trutta,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11519,predacious,Ardea cinerea,species,Carcinus maenas,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11520,herbivorous,Cygnus olor,species,Enteromorpha,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11521,predacious,Tadorna tadorna,species,Carcinus maenas,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11522,predacious,Tadorna tadorna,species,Hydrobia ulvae,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11524,predacious,Tadorna tadorna,species,Corophium volutator,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11525,predacious,Tadorna tadorna,species,Nereis diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11526,predacious,Tadorna tadorna,species,Littorina littorea,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11527,predacious,Tadorna tadorna,species,Macoma balthica,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11528,predacious,Tadorna tadorna,species,Mytilus edulis,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11529,predacious,Tadorna tadorna,species,Cerastoderma edule,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11531,herbivorous,Tadorna tadorna,species,Enteromorpha,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11532,herbivorous,Anas penelope,species,Enteromorpha,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11533,predacious,Somateria mollissima,species,Crangon crangon,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11534,predacious,Somateria mollissima,species,Carcinus maenas,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11535,predacious,Somateria mollissima,species,Littorina littorea,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11536,predacious,Somateria mollissima,species,Mytilus edulis,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11537,predacious,Somateria mollissima (juvenile),species,Crangon crangon,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11538,predacious,Somateria mollissima (juvenile),species,Hydrobia ulvae,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11539,predacious,Somateria mollissima (juvenile),species,Corophium volutator,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11540,predacious,Somateria mollissima (juvenile),species,Gammarus spp.,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11541,predacious,Somateria mollissima (juvenile),species,Nereis diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11542,predacious,Somateria mollissima (juvenile),species,Littorina littorea,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11543,predacious,Somateria mollissima (juvenile),species,Macoma balthica,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11544,predacious,Somateria mollissima (juvenile),species,Mytilus edulis,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11545,predacious,Haematopus ostralegus,species,Hydrobia ulvae,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11546,predacious,Haematopus ostralegus,species,Corophium volutator,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11547,predacious,Haematopus ostralegus,species,Nereis diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11548,predacious,Haematopus ostralegus,species,Littorina littorea,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11549,predacious,Haematopus ostralegus,species,Macoma balthica,species,"Ythan Estuary, Aberdeen, Scotland",walking,sessile
11550,predacious,Haematopus ostralegus,species,Mytilus edulis,species,"Ythan Estuary, Aberdeen, Scotland",walking,sessile
11551,predacious,Charadrius hiaticula,species,Neomysis integer,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11552,predacious,Charadrius hiaticula,species,Gammarus spp.,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11553,predacious,Charadrius hiaticula,species,Nereis diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11554,predacious,Charadrius hiaticula,species,Littorina littorea,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11555,predacious,Pluvialis apricaria,species,Hydrobia ulvae,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11556,predacious,Pluvialis apricaria,species,Corophium volutator,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11557,predacious,Pluvialis apricaria,species,Gammarus spp.,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11558,predacious,Pluvialis apricaria,species,Nereis diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11559,predacious,Pluvialis apricaria,species,Littorina littorea,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11560,predacious,Pluvialis squatarola,species,Corophium volutator,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11561,predacious,Pluvialis squatarola,species,Nereis diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11562,predacious,Vanellus vanellus,species,Hydrobia ulvae,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11563,predacious,Vanellus vanellus,species,Nereis diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11564,predacious,Vanellus vanellus,species,Macoma balthica,species,"Ythan Estuary, Aberdeen, Scotland",walking,sessile
11565,predacious,Calidris alpina,species,Corophium volutator,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11566,predacious,Calidris alpina,species,Nereis diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11567,predacious,Limosa lapponica,species,Nereis diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11568,predacious,Numenius arquata,species,Carcinus maenas,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11569,predacious,Numenius arquata,species,Hydrobia ulvae,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11570,predacious,Numenius arquata,species,Nereis diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11571,predacious,Numenius arquata,species,Littorina littorea,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11572,predacious,Tringa totanus,species,Crangon crangon,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11573,predacious,Tringa totanus,species,Carcinus maenas,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11574,predacious,Tringa totanus,species,Hydrobia ulvae,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11576,predacious,Tringa totanus,species,Corophium volutator,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11577,predacious,Tringa totanus,species,Gammarus spp.,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11578,predacious,Tringa totanus,species,Nereis diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11579,predacious,Tringa totanus,species,Arenicola marina,species,"Ythan Estuary, Aberdeen, Scotland",walking,sessile
11580,predacious,Tringa totanus,species,Littorina saxatilis,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11581,predacious,Tringa totanus,species,Macoma balthica,species,"Ythan Estuary, Aberdeen, Scotland",walking,sessile
11582,predacious,Tringa totanus,species,Mytilus edulis,species,"Ythan Estuary, Aberdeen, Scotland",walking,sessile
11584,predacious,Arenaria interpres,species,Corophium volutator,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11585,predacious,Arenaria interpres,species,Gammarus spp.,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11586,predacious,Arenaria interpres,species,Littorina littorea,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11587,predacious,Larus canus,species,Sprattus sprattus,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11588,predacious,Larus canus,species,Clupea harengus,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
