autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
105182,predacious,Aglaophamus Malmgreni,species,Nereis Zonata,species,"Arctic Shelf Area, Arctic",walking,walking
105184,predacious,Aglaophamus Malmgreni,species,Nephtys Ciliata,species,"Arctic Shelf Area, Arctic",walking,walking
105185,predacious,Aglaophamus Malmgreni,species,Nereimyra Punctata,species,"Arctic Shelf Area, Arctic",walking,walking
105186,predacious,Aglaophamus Malmgreni,species,Priapulus Caudatus,species,"Arctic Shelf Area, Arctic",walking,walking
105187,predacious,Aglaophamus Malmgreni,species,Phyllodoce,species,"Arctic Shelf Area, Arctic",walking,walking
105188,predacious,Aglaophamus Malmgreni,species,Leitoscoloplos Mammosus,species,"Arctic Shelf Area, Arctic",walking,walking
105189,predacious,Aglaophamus Malmgreni,species,Heteromastus Filiformis,species,"Arctic Shelf Area, Arctic",walking,walking
105190,predacious,Aglaophamus Malmgreni,species,Levinsenia Gracilis,species,"Arctic Shelf Area, Arctic",walking,walking
105191,predacious,Aglaophamus Malmgreni,species,Aglaophamus Malmgreni,species,"Arctic Shelf Area, Arctic",walking,walking
105192,predacious,Aglaophamus Malmgreni,species,Lysippe Labiata,species,"Arctic Shelf Area, Arctic",walking,walking
105193,predacious,Aglaophamus Malmgreni,species,Pholoe Assimilis,species,"Arctic Shelf Area, Arctic",walking,walking
105195,predacious,Aglaophamus Malmgreni,species,Ampharete Finmarchica,species,"Arctic Shelf Area, Arctic",walking,walking
105198,predacious,Alle Alle,species,Boreogadus Saida,species,"Arctic Shelf Area, Arctic",swimming,swimming
105199,predacious,Alle Alle,species,Thysanoessa Inermis,species,"Arctic Shelf Area, Arctic",swimming,swimming
105200,predacious,Alle Alle,species,Meganyctiphanes Norvegica,species,"Arctic Shelf Area, Arctic",swimming,swimming
105201,predacious,Alle Alle,species,Thysanoessa Raschii,species,"Arctic Shelf Area, Arctic",swimming,swimming
105202,predacious,Alle Alle,species,Thysanoessa Longicaudata,species,"Arctic Shelf Area, Arctic",swimming,swimming
105205,predacious,Anarhichas Lupus,species,Gadus Morhua,species,"Arctic Shelf Area, Arctic",swimming,swimming
105206,predacious,Anarhichas Lupus,species,Reinhardtius Hippoglossoides,species,"Arctic Shelf Area, Arctic",swimming,swimming
105207,predacious,Anarhichas Lupus,species,Hipoglossoides Platessoides,species,"Arctic Shelf Area, Arctic",swimming,swimming
105209,predacious,Anarhichas Lupus,species,Sebastes Mentella,species,"Arctic Shelf Area, Arctic",swimming,swimming
105210,predacious,Anarhichas Lupus,species,Boreogadus Saida,species,"Arctic Shelf Area, Arctic",swimming,swimming
105211,predacious,Anarhichas Lupus,species,Lumpenus Lampretaeformis,species,"Arctic Shelf Area, Arctic",swimming,swimming
