autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
205500,herbivorous,Eulithidium Affine,species,Bryopsis Plumosa,species,Brasil (CE),walking,sessile
205501,herbivorous,Tegula Viridula,species,Bryopsis Plumosa,species,Brasil (CE),walking,sessile
205502,herbivorous,Eriphia Gonagra,species,Bryopsis Plumosa,species,Brasil (CE),walking,sessile
205505,herbivorous,Pomacanthus Paru,species,Bryopsis Plumosa,species,Brasil (CE),swimming,sessile
205506,herbivorous,Abudefduf Saxatilis,species,Bryopsis Plumosa,species,Brasil (CE),swimming,sessile
205507,herbivorous,Pachygrapsus Transversus,species,Bryopsis Plumosa,species,Brasil (CE),walking,sessile
205512,herbivorous,Ischnochiton Striolatus,species,Bryopsis Plumosa,species,Brasil (CE),walking,sessile
205513,herbivorous,Menippe Nodifrons,species,Bryopsis Plumosa,species,Brasil (CE),walking,sessile
205514,herbivorous,Engina Turbinella,species,Bryopsis Plumosa,species,Brasil (CE),walking,sessile
205515,herbivorous,Clibanarius Antillensis,species,Bryopsis Plumosa,species,Brasil (CE),walking,sessile
205517,herbivorous,Eulithidium Affine,species,Caulerpa Racemosa,species,Brasil (CE),walking,sessile
205518,herbivorous,Tegula Viridula,species,Caulerpa Racemosa,species,Brasil (CE),walking,sessile
205519,herbivorous,Eriphia Gonagra,species,Caulerpa Racemosa,species,Brasil (CE),walking,sessile
205522,herbivorous,Pomacanthus Paru,species,Caulerpa Racemosa,species,Brasil (CE),swimming,sessile
205523,herbivorous,Abudefduf Saxatilis,species,Caulerpa Racemosa,species,Brasil (CE),swimming,sessile
205524,herbivorous,Pachygrapsus Transversus,species,Caulerpa Racemosa,species,Brasil (CE),walking,sessile
205529,herbivorous,Ischnochiton Striolatus,species,Caulerpa Racemosa,species,Brasil (CE),walking,sessile
205530,herbivorous,Menippe Nodifrons,species,Caulerpa Racemosa,species,Brasil (CE),walking,sessile
205531,herbivorous,Engina Turbinella,species,Caulerpa Racemosa,species,Brasil (CE),walking,sessile
205532,herbivorous,Clibanarius Antillensis,species,Caulerpa Racemosa,species,Brasil (CE),walking,sessile
205534,herbivorous,Eulithidium Affine,species,Caulerpa Prolifera,species,Brasil (CE),walking,sessile
205535,herbivorous,Tegula Viridula,species,Caulerpa Prolifera,species,Brasil (CE),walking,sessile
205536,herbivorous,Eriphia Gonagra,species,Caulerpa Prolifera,species,Brasil (CE),walking,sessile
205539,herbivorous,Pomacanthus Paru,species,Caulerpa Prolifera,species,Brasil (CE),swimming,sessile
205540,herbivorous,Abudefduf Saxatilis,species,Caulerpa Prolifera,species,Brasil (CE),swimming,sessile
205541,herbivorous,Pachygrapsus Transversus,species,Caulerpa Prolifera,species,Brasil (CE),walking,sessile
205546,herbivorous,Ischnochiton Striolatus,species,Caulerpa Prolifera,species,Brasil (CE),walking,sessile
205547,herbivorous,Menippe Nodifrons,species,Caulerpa Prolifera,species,Brasil (CE),walking,sessile
205548,herbivorous,Engina Turbinella,species,Caulerpa Prolifera,species,Brasil (CE),walking,sessile
205549,herbivorous,Clibanarius Antillensis,species,Caulerpa Prolifera,species,Brasil (CE),walking,sessile
205551,herbivorous,Eulithidium Affine,species,Caulerpa Scalpelliformis,species,Brasil (CE),walking,sessile
205552,herbivorous,Tegula Viridula,species,Caulerpa Scalpelliformis,species,Brasil (CE),walking,sessile
205553,herbivorous,Eriphia Gonagra,species,Caulerpa Scalpelliformis,species,Brasil (CE),walking,sessile
205556,herbivorous,Pomacanthus Paru,species,Caulerpa Scalpelliformis,species,Brasil (CE),swimming,sessile
205557,herbivorous,Abudefduf Saxatilis,species,Caulerpa Scalpelliformis,species,Brasil (CE),swimming,sessile
