autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
200198,herbivorous,Lottia Subrugosa,species,Ulva Lactuca,species,Brasil (SP),walking,sessile
200201,herbivorous,Nodilittorina Lineolata,species,Ulva Lactuca,species,Brasil (SP),walking,sessile
200202,predacious,Stramonita Haemastoma,species,Tetraclita Stalactifera,species,Brasil (SP),walking,sessile
200216,predacious,Eriphia Gonagra,species,Stramonita Haemastoma,species,Brasil (SP),walking,walking
200217,predacious,Eriphia Gonagra,species,Nodilittorina Lineolata,species,Brasil (SP),walking,walking
200226,predacious,Stramonita Haemastoma,species,Mytilaster Solisianus,species,Brasil (SP),walking,sessile
200227,predacious,Morula Nodulosa,species,Mytilaster Solisianus,species,Brasil (SP),walking,sessile
200228,predacious,Eriphia Gonagra,species,Mytilaster Solisianus,species,Brasil (SP),walking,sessile
200229,predacious,Pachygrapsus Transversus,species,Pachygrapsus Transversus,species,Brasil (SP),walking,walking
200233,herbivorous,Clibanarius Vittatus,species,Ulva Lactuca,species,Brasil (SP),walking,sessile
200234,herbivorous,Pachygrapsus Transversus,species,Ulva Lactuca,species,Brasil (SP),walking,sessile
200235,herbivorous,Nodilittorina Lineolata,species,Ulva Lactuca,species,Brasil (SP),walking,sessile
200240,herbivorous,Eriphia Gonagra,species,Ulva Lactuca,species,Brasil (SP),walking,sessile
200245,predacious,Bunodosoma Caissarum,species,Clibanarius Vittatus,species,Brasil (SP),sessile,walking
200257,herbivorous,Clibanarius Vittatus,species,Ulva Lactuca,species,Brasil (SP),walking,sessile
200258,herbivorous,Pachygrapsus Transversus,species,Ulva Lactuca,species,Brasil (SP),walking,sessile
200259,herbivorous,Scartella Cristata,species,Ulva Lactuca,species,Brasil (SP),swimming,sessile
200263,herbivorous,Alpheus Formosus,species,Ulva Lactuca,species,Brasil (SP),walking,sessile
200264,herbivorous,Palaemon Northropi,species,Ulva Lactuca,species,Brasil (SP),swimming,sessile
200265,herbivorous,Eriphia Gonagra,species,Ulva Lactuca,species,Brasil (SP),walking,sessile
200267,predacious,Clibanarius Vittatus,species,Odontesthes Argentinensis,species,Brasil (SP),walking,swimming
200268,predacious,Bunodosoma Caissarum,species,Odontesthes Argentinensis,species,Brasil (SP),sessile,swimming
200269,predacious,Pachygrapsus Transversus,species,Odontesthes Argentinensis,species,Brasil (SP),walking,swimming
200270,predacious,Bunodosoma Caissarum,species,Pachygrapsus Transversus,species,Brasil (SP),sessile,walking
200271,predacious,Pachygrapsus Transversus,species,Pachygrapsus Transversus,species,Brasil (SP),walking,walking
200272,predacious,Bunodosoma Caissarum,species,Scartella Cristata,species,Brasil (SP),sessile,swimming
200273,predacious,Pachygrapsus Transversus,species,Scartella Cristata,species,Brasil (SP),walking,swimming
200294,predacious,Bunodosoma Caissarum,species,Alpheus Formosus,species,Brasil (SP),sessile,walking
200295,predacious,Bunodosoma Caissarum,species,Palaemon Northropi,species,Brasil (SP),sessile,swimming
200296,predacious,Bunodosoma Caissarum,species,Eriphia Gonagra,species,Brasil (SP),sessile,walking
200306,herbivorous,Pachygrapsus Transversus,species,Ulva Lactuca,species,Brasil (SP),walking,sessile
200308,herbivorous,Bathygobius Soporator,species,Ulva Lactuca,species,Brasil (SP),swimming,sessile
200309,predacious,Pachygrapsus Transversus,species,Pachygrapsus Transversus,species,Brasil (SP),walking,walking
200310,predacious,Bathygobius Soporator,species,Pachygrapsus Transversus,species,Brasil (SP),swimming,walking
200311,predacious,Pachygrapsus Transversus,species,Bathygobius Soporator,species,Brasil (SP),walking,swimming
200312,predacious,Bathygobius Soporator,species,Callinectes Sapidus,species,Brasil (SP),swimming,walking
200334,herbivorous,Ischnochiton Striolatus,species,Ulva Lactuca,species,Brasil (SP),walking,sessile
200335,herbivorous,Lottia Subrugosa,species,Ulva Lactuca,species,Brasil (SP),walking,sessile
200336,herbivorous,Tegula Viridula,species,Ulva Lactuca,species,Brasil (SP),walking,sessile
200338,herbivorous,Nodilittorina Lineolata,species,Ulva Lactuca,species,Brasil (SP),walking,sessile
200339,herbivorous,Bathygobius Soporator,species,Ulva Lactuca,species,Brasil (SP),swimming,sessile
200341,herbivorous,Microphrys Bicornutus,species,Ulva Lactuca,species,Brasil (SP),walking,sessile
200342,herbivorous,Ischnochiton Striolatus,species,Sargassum Cymosum,species,Brasil (SP),walking,sessile
200343,herbivorous,Lottia Subrugosa,species,Sargassum Cymosum,species,Brasil (SP),walking,sessile
200344,herbivorous,Tegula Viridula,species,Sargassum Cymosum,species,Brasil (SP),walking,sessile
200346,herbivorous,Nodilittorina Lineolata,species,Sargassum Cymosum,species,Brasil (SP),walking,sessile
200347,herbivorous,Bathygobius Soporator,species,Sargassum Cymosum,species,Brasil (SP),swimming,sessile
200349,herbivorous,Microphrys Bicornutus,species,Sargassum Cymosum,species,Brasil (SP),walking,sessile
200382,herbivorous,Ischnochiton Striolatus,species,Hypnea Musciformis,species,Brasil (SP),walking,sessile
200383,herbivorous,Lottia Subrugosa,species,Hypnea Musciformis,species,Brasil (SP),walking,sessile
200384,herbivorous,Tegula Viridula,species,Hypnea Musciformis,species,Brasil (SP),walking,sessile
200386,herbivorous,Nodilittorina Lineolata,species,Hypnea Musciformis,species,Brasil (SP),walking,sessile
200387,herbivorous,Bathygobius Soporator,species,Hypnea Musciformis,species,Brasil (SP),swimming,sessile
200389,herbivorous,Microphrys Bicornutus,species,Hypnea Musciformis,species,Brasil (SP),walking,sessile
200398,predacious,Microphrys Bicornutus,species,Hymeniacidon Heliophila,species,Brasil (SP),walking,sessile
200405,predacious,Bunodosoma Caissarum,species,Nodilittorina Lineolata,species,Brasil (SP),sessile,walking
