autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
216499,herbivorous,Littorina Littorea,species,Ulvaria Obscura,species,Canada,walking,sessile
216500,herbivorous,Littorina Obtusata,species,Ulvaria Obscura,species,Canada,walking,sessile
216501,herbivorous,Littorina Saxatilis,species,Ulvaria Obscura,species,Canada,walking,sessile
216502,herbivorous,Testudinalia Testudinalis,species,Ulvaria Obscura,species,Canada,walking,sessile
216503,herbivorous,Gammarus Oceanicus,species,Ulvaria Obscura,species,Canada,swimming,sessile
216504,herbivorous,Cancer Irroratus,species,Ulvaria Obscura,species,Canada,walking,sessile
216505,herbivorous,Strongylocentrotus Droebachiensis,species,Ulvaria Obscura,species,Canada,walking,sessile
216507,herbivorous,Littorina Littorea,species,Dictyosiphon Foeniculaceus,species,Canada,walking,sessile
216508,herbivorous,Littorina Obtusata,species,Dictyosiphon Foeniculaceus,species,Canada,walking,sessile
216509,herbivorous,Littorina Saxatilis,species,Dictyosiphon Foeniculaceus,species,Canada,walking,sessile
216510,herbivorous,Testudinalia Testudinalis,species,Dictyosiphon Foeniculaceus,species,Canada,walking,sessile
216511,herbivorous,Gammarus Oceanicus,species,Dictyosiphon Foeniculaceus,species,Canada,swimming,sessile
216512,herbivorous,Cancer Irroratus,species,Dictyosiphon Foeniculaceus,species,Canada,walking,sessile
216513,herbivorous,Strongylocentrotus Droebachiensis,species,Dictyosiphon Foeniculaceus,species,Canada,walking,sessile
216523,herbivorous,Littorina Littorea,species,Alaria Esculenta,species,Canada,walking,sessile
216524,herbivorous,Littorina Obtusata,species,Alaria Esculenta,species,Canada,walking,sessile
216525,herbivorous,Littorina Saxatilis,species,Alaria Esculenta,species,Canada,walking,sessile
216526,herbivorous,Testudinalia Testudinalis,species,Alaria Esculenta,species,Canada,walking,sessile
216527,herbivorous,Gammarus Oceanicus,species,Alaria Esculenta,species,Canada,swimming,sessile
216528,herbivorous,Cancer Irroratus,species,Alaria Esculenta,species,Canada,walking,sessile
216529,herbivorous,Strongylocentrotus Droebachiensis,species,Alaria Esculenta,species,Canada,walking,sessile
216531,herbivorous,Littorina Littorea,species,Ralfsia Verrucosa,species,Canada,walking,sessile
216532,herbivorous,Littorina Obtusata,species,Ralfsia Verrucosa,species,Canada,walking,sessile
