autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
115268,predacious,Bodo Saltans,species,Amphidinium Hadai,species,"Eastern Weddell Sea Shelf, Antarctica",sessile,swimming
115269,predacious,Bodo Saltans,species,Gyrodinium Lachryama,species,"Eastern Weddell Sea Shelf, Antarctica",sessile,swimming
115270,predacious,Amphidinium Hadai,species,Amphidinium Hadai,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,swimming
115271,predacious,Amphidinium Hadai,species,Gyrodinium Lachryama,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,swimming
115272,predacious,Gyrodinium Lachryama,species,Amphidinium Hadai,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,swimming
115273,predacious,Gyrodinium Lachryama,species,Gyrodinium Lachryama,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,swimming
115274,herbivorous,Parvicorbucula Socialis,species,Actinocyclus Actinochilus,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115275,herbivorous,Parvicorbucula Socialis,species,Actinocyclus Spiritus,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115276,herbivorous,Parvicorbucula Socialis,species,Actinocyclus Utricularis,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115277,herbivorous,Parvicorbucula Socialis,species,Azpeitia Tabularis,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115278,herbivorous,Parvicorbucula Socialis,species,Banquisia Belgicae,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115279,herbivorous,Parvicorbucula Socialis,species,Chaetoceros Bulbosum,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115280,herbivorous,Parvicorbucula Socialis,species,Chaetoceros Concavicornis,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115281,herbivorous,Parvicorbucula Socialis,species,Chaetoceros Criophilum,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115282,herbivorous,Parvicorbucula Socialis,species,Chaetoceros Dichaeta,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115283,herbivorous,Parvicorbucula Socialis,species,Chaetoceros Flexuosum,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
115284,herbivorous,Parvicorbucula Socialis,species,Chaetoceros Neglectum,species,"Eastern Weddell Sea Shelf, Antarctica",swimming,sessile
