autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
181093,predacious,Agelaius Phoeniceus,species,Ornitnonyssus Bursa,species,"Florida Key islands, Florida Bay, USA",flying,walking
181095,predacious,Carthasis Decoratus,species,Ornitnonyssus Bursa,species,"Florida Key islands, Florida Bay, USA",walking,walking
181096,predacious,Metatropiphorus Belfragei,species,Ornitnonyssus Bursa,species,"Florida Key islands, Florida Bay, USA",walking,walking
181098,predacious,Agelaius Phoeniceus,species,Cheyletia Wellsi,species,"Florida Key islands, Florida Bay, USA",flying,walking
181102,predacious,Agelaius Phoeniceus,species,Carpoglyphus Lactis,species,"Florida Key islands, Florida Bay, USA",flying,walking
181103,predacious,Agelaius Phoeniceus,species,Tyrophagus Putrescentiae,species,"Florida Key islands, Florida Bay, USA",flying,walking
181106,predacious,Carthasis Decoratus,species,Cheyletia Wellsi,species,"Florida Key islands, Florida Bay, USA",walking,walking
181107,predacious,Metatropiphorus Belfragei,species,Cheyletia Wellsi,species,"Florida Key islands, Florida Bay, USA",walking,walking
181118,predacious,Agelaius Phoeniceus,species,Rhizoglyphus Callae,species,"Florida Key islands, Florida Bay, USA",flying,walking
181120,predacious,Carthasis Decoratus,species,Carpoglyphus Lactis,species,"Florida Key islands, Florida Bay, USA",walking,walking
181121,predacious,Metatropiphorus Belfragei,species,Carpoglyphus Lactis,species,"Florida Key islands, Florida Bay, USA",walking,walking
181122,predacious,Carthasis Decoratus,species,Tyrophagus Putrescentiae,species,"Florida Key islands, Florida Bay, USA",walking,walking
181123,predacious,Metatropiphorus Belfragei,species,Tyrophagus Putrescentiae,species,"Florida Key islands, Florida Bay, USA",walking,walking
181145,predacious,Carthasis Decoratus,species,Rhizoglyphus Callae,species,"Florida Key islands, Florida Bay, USA",walking,walking
181146,predacious,Metatropiphorus Belfragei,species,Rhizoglyphus Callae,species,"Florida Key islands, Florida Bay, USA",walking,walking
181178,predacious,Agelaius Phoeniceus,species,Ooencyrtus Submetallicus,species,"Florida Key islands, Florida Bay, USA",flying,flying
181179,predacious,Agelaius Phoeniceus,species,Tapinoma Littorale,species,"Florida Key islands, Florida Bay, USA",flying,walking
181186,predacious,Agelaius Phoeniceus,species,Monomorium Floricola,species,"Florida Key islands, Florida Bay, USA",flying,walking
181194,predacious,Agelaius Phoeniceus,species,Anurida Maritima,species,"Florida Key islands, Florida Bay, USA",flying,walking
181196,predacious,Nephila Clavipes,species,Ooencyrtus Submetallicus,species,"Florida Key islands, Florida Bay, USA",walking,flying
181197,predacious,Nephila Clavipes,species,Tapinoma Littorale,species,"Florida Key islands, Florida Bay, USA",walking,walking
181201,predacious,Agelaius Phoeniceus,species,Melittobia Chalybii,species,"Florida Key islands, Florida Bay, USA",flying,flying
181202,predacious,Agelaius Phoeniceus,species,Axelsonia Littoralis,species,"Florida Key islands, Florida Bay, USA",flying,walking
181203,predacious,Agelaius Phoeniceus,species,Cryptorhynchus Minutissimus,species,"Florida Key islands, Florida Bay, USA",flying,walking
181204,predacious,Agelaius Phoeniceus,species,Xenomyrmex Floridanus,species,"Florida Key islands, Florida Bay, USA",flying,walking
181205,predacious,Nephila Clavipes,species,Monomorium Floricola,species,"Florida Key islands, Florida Bay, USA",walking,walking
181206,predacious,Butorides Virescens,species,Dufouriellus Afer,species,"Florida Key islands, Florida Bay, USA",flying,walking
181209,predacious,Agelaius Phoeniceus,species,Actinopteryx Fucicola,species,"Florida Key islands, Florida Bay, USA",flying,walking
181215,predacious,Agelaius Phoeniceus,species,Hypoponera Opacior,species,"Florida Key islands, Florida Bay, USA",flying,walking
181216,predacious,Agelaius Phoeniceus,species,Paratrechina Bourbonica,species,"Florida Key islands, Florida Bay, USA",flying,walking
181221,predacious,Nephila Clavipes,species,Melittobia Chalybii,species,"Florida Key islands, Florida Bay, USA",walking,flying
181223,predacious,Nephila Clavipes,species,Cryptorhynchus Minutissimus,species,"Florida Key islands, Florida Bay, USA",walking,walking
181224,predacious,Nephila Clavipes,species,Xenomyrmex Floridanus,species,"Florida Key islands, Florida Bay, USA",walking,walking
181227,predacious,Nephila Clavipes,species,Actinopteryx Fucicola,species,"Florida Key islands, Florida Bay, USA",walking,walking
181229,predacious,Agelaius Phoeniceus,species,Crematogaster Ashmeadi,species,"Florida Key islands, Florida Bay, USA",flying,walking
181232,predacious,Agelaius Phoeniceus,species,Apanteles Hemileucae,species,"Florida Key islands, Florida Bay, USA",flying,flying
181234,predacious,Agelaius Phoeniceus,species,Callihormius Bifasciatus,species,"Florida Key islands, Florida Bay, USA",flying,flying
181237,predacious,Agelaius Phoeniceus,species,Iphiaulax Epicus,species,"Florida Key islands, Florida Bay, USA",flying,flying
181245,predacious,Metepeira Labyrinthea,species,Ooencyrtus Submetallicus,species,"Florida Key islands, Florida Bay, USA",walking,flying
181246,predacious,Metepeira Labyrinthea,species,Tapinoma Littorale,species,"Florida Key islands, Florida Bay, USA",walking,walking
181250,predacious,Agelaius Phoeniceus,species,Neurothrips Magnafemoraus,species,"Florida Key islands, Florida Bay, USA",flying,walking
181251,predacious,Agelaius Phoeniceus,species,Pseudothrips Inequalis,species,"Florida Key islands, Florida Bay, USA",flying,walking
181254,predacious,Nephila Clavipes,species,Hypoponera Opacior,species,"Florida Key islands, Florida Bay, USA",walking,walking
181255,predacious,Nephila Clavipes,species,Paratrechina Bourbonica,species,"Florida Key islands, Florida Bay, USA",walking,walking
181256,predacious,Metepeira Labyrinthea,species,Monomorium Floricola,species,"Florida Key islands, Florida Bay, USA",walking,walking
181258,predacious,Agelaius Phoeniceus,species,Cephalonomia Waterstoni,species,"Florida Key islands, Florida Bay, USA",flying,flying
181259,predacious,Agelaius Phoeniceus,species,Metapelma Schwarzi,species,"Florida Key islands, Florida Bay, USA",flying,flying
181261,predacious,Agelaius Phoeniceus,species,Nesepyris Floridanus,species,"Florida Key islands, Florida Bay, USA",flying,flying
181262,predacious,Agelaius Phoeniceus,species,Scleroderma Macrogaster,species,"Florida Key islands, Florida Bay, USA",flying,flying
181264,predacious,Stoidis Aurata,species,Tapinoma Littorale,species,"Florida Key islands, Florida Bay, USA",walking,walking
181270,predacious,Agelaius Phoeniceus,species,Trischidias Atoma,species,"Florida Key islands, Florida Bay, USA",flying,walking
181273,predacious,Agelaius Phoeniceus,species,Haplothrips Flavipes,species,"Florida Key islands, Florida Bay, USA",flying,walking
181275,predacious,Agelaius Phoeniceus,species,Argas Radiatus,species,"Florida Key islands, Florida Bay, USA",flying,walking
181276,predacious,Nephila Clavipes,species,Crematogaster Ashmeadi,species,"Florida Key islands, Florida Bay, USA",walking,walking
181281,predacious,Stoidis Aurata,species,Monomorium Floricola,species,"Florida Key islands, Florida Bay, USA",walking,walking
181284,predacious,Nephila Clavipes,species,Apanteles Hemileucae,species,"Florida Key islands, Florida Bay, USA",walking,flying
181286,predacious,Nephila Clavipes,species,Callihormius Bifasciatus,species,"Florida Key islands, Florida Bay, USA",walking,flying
181289,predacious,Nephila Clavipes,species,Iphiaulax Epicus,species,"Florida Key islands, Florida Bay, USA",walking,flying
181292,predacious,Agelaius Phoeniceus,species,Archipsocus Panama,species,"Florida Key islands, Florida Bay, USA",flying,walking
181293,predacious,Agelaius Phoeniceus,species,Belaphotroctes Okalensis,species,"Florida Key islands, Florida Bay, USA",flying,walking
181295,predacious,Agelaius Phoeniceus,species,Echmepteryx Hageni,species,"Florida Key islands, Florida Bay, USA",flying,walking
181296,predacious,Agelaius Phoeniceus,species,Ectopsocopsis Cryptomeriae,species,"Florida Key islands, Florida Bay, USA",flying,walking
181298,predacious,Agelaius Phoeniceus,species,Embidopsocus Laticeps,species,"Florida Key islands, Florida Bay, USA",flying,walking
181301,predacious,Agelaius Phoeniceus,species,Liposcelis Bostrychophilus,species,"Florida Key islands, Florida Bay, USA",flying,walking
181303,predacious,Agelaius Phoeniceus,species,Psocidus Texanus,species,"Florida Key islands, Florida Bay, USA",flying,walking
181307,predacious,Metepeira Labyrinthea,species,Melittobia Chalybii,species,"Florida Key islands, Florida Bay, USA",walking,flying
181308,predacious,Metepeira Labyrinthea,species,Cryptorhynchus Minutissimus,species,"Florida Key islands, Florida Bay, USA",walking,walking
181309,predacious,Metepeira Labyrinthea,species,Xenomyrmex Floridanus,species,"Florida Key islands, Florida Bay, USA",walking,walking
181310,predacious,Agelaius Phoeniceus,species,Aedes Taeniorhynchus,species,"Florida Key islands, Florida Bay, USA",flying,flying
181311,predacious,Agelaius Phoeniceus,species,Dufouriellus Afer,species,"Florida Key islands, Florida Bay, USA",flying,walking
181312,predacious,Agelaius Phoeniceus,species,Lophoproctinus Bartachi,species,"Florida Key islands, Florida Bay, USA",flying,walking
181314,predacious,Agelaius Phoeniceus,species,Tachys Occulator,species,"Florida Key islands, Florida Bay, USA",flying,walking
181318,predacious,Agelaius Phoeniceus,species,Camponotus Planatus,species,"Florida Key islands, Florida Bay, USA",flying,walking
181321,predacious,Agelaius Phoeniceus,species,Urolepis Rufipes,species,"Florida Key islands, Florida Bay, USA",flying,flying
181323,predacious,Nephila Clavipes,species,Cephalonomia Waterstoni,species,"Florida Key islands, Florida Bay, USA",walking,flying
181324,predacious,Nephila Clavipes,species,Metapelma Schwarzi,species,"Florida Key islands, Florida Bay, USA",walking,flying
181326,predacious,Nephila Clavipes,species,Nesepyris Floridanus,species,"Florida Key islands, Florida Bay, USA",walking,flying
