autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
11916,predacious,Geophilus Ribauti,species,Achipteria Coleoptrata,species,Germany,walking,walking
11917,predacious,Lithobius Aeruginosus,species,Achipteria Coleoptrata,species,Germany,walking,walking
11919,predacious,Geophilus Ribauti,species,Adoristes Ovatus,species,Germany,walking,walking
11920,predacious,Schendyla Nemorensis,species,Adoristes Ovatus,species,Germany,walking,walking
11921,predacious,Lithobius Aeruginosus,species,Adoristes Ovatus,species,Germany,walking,walking
11937,predacious,Atheta Fungi,species,Allacma Fusca,species,Germany,walking,walking
11941,predacious,Lysigamasus Lapponicus,species,Allacma Fusca,species,Germany,walking,walking
11942,predacious,Uroseius Cylindricus,species,Allacma Fusca,species,Germany,walking,walking
11943,predacious,Uroseius Cylindricus,species,Allacma Fusca,species,Germany,walking,walking
11944,predacious,Veigaia Nemorensis,species,Allacma Fusca,species,Germany,walking,walking
11945,predacious,Veigaia Nemorensis,species,Allacma Fusca,species,Germany,walking,walking
11947,predacious,Lysigamasus Jugincola,species,Allacma Fusca,species,Germany,walking,walking
11950,predacious,Robertus Lividus,species,Allacma Fusca,species,Germany,walking,walking
11951,predacious,Rhodacarus Agrestis,species,Allacma Fusca,species,Germany,walking,walking
11952,predacious,Lithobius Aeruginosus,species,Allacma Fusca,species,Germany,walking,walking
11955,predacious,Geophilus Ribauti,species,Allaiulus Nitidus,species,Germany,walking,walking
11956,predacious,Schendyla Nemorensis,species,Allaiulus Nitidus,species,Germany,walking,walking
12005,predacious,Geophilus Ribauti,species,Asthenargus Paganus,species,Germany,walking,walking
12006,predacious,Schendyla Nemorensis,species,Asthenargus Paganus,species,Germany,walking,walking
12008,predacious,Pterostichus Strenuus,species,Asthenargus Paganus,species,Germany,walking,walking
12014,predacious,Micrargus Herbigradus,species,Asthenargus Paganus,species,Germany,walking,walking
12015,predacious,Microneta Viaria,species,Asthenargus Paganus,species,Germany,walking,walking
12018,predacious,Robertus Lividus,species,Asthenargus Paganus,species,Germany,walking,walking
12019,predacious,Erigonella Hiemalis,species,Asthenargus Paganus,species,Germany,walking,walking
12020,predacious,Robertus Scoticus,species,Asthenargus Paganus,species,Germany,walking,walking
12021,predacious,Monocephalus Fuscipes,species,Asthenargus Paganus,species,Germany,walking,walking
12022,predacious,Athous Subfuscus,species,Asthenargus Paganus,species,Germany,walking,walking
12023,predacious,Lithobius Aeruginosus,species,Asthenargus Paganus,species,Germany,walking,walking
12025,predacious,Ceratinella Brevis,species,Asthenargus Paganus,species,Germany,walking,walking
12026,predacious,Tenuiphantes Tenuis,species,Asthenargus Paganus,species,Germany,walking,walking
12028,predacious,Geophilus Ribauti,species,Atheta Fungi,species,Germany,walking,walking
12029,predacious,Schendyla Nemorensis,species,Atheta Fungi,species,Germany,walking,walking
12031,predacious,Pterostichus Strenuus,species,Atheta Fungi,species,Germany,walking,walking
12032,predacious,Atheta Fungi,species,Atheta Fungi,species,Germany,walking,walking
12039,predacious,Micrargus Herbigradus,species,Atheta Fungi,species,Germany,walking,walking
12040,predacious,Microneta Viaria,species,Atheta Fungi,species,Germany,walking,walking
12043,predacious,Robertus Lividus,species,Atheta Fungi,species,Germany,walking,walking
12045,predacious,Erigonella Hiemalis,species,Atheta Fungi,species,Germany,walking,walking
12046,predacious,Robertus Scoticus,species,Atheta Fungi,species,Germany,walking,walking
12047,predacious,Monocephalus Fuscipes,species,Atheta Fungi,species,Germany,walking,walking
12048,predacious,Athous Subfuscus,species,Atheta Fungi,species,Germany,walking,walking
12049,predacious,Lithobius Aeruginosus,species,Atheta Fungi,species,Germany,walking,walking
12051,predacious,Asthenargus Paganus,species,Atheta Fungi,species,Germany,walking,walking
12052,predacious,Ceratinella Brevis,species,Atheta Fungi,species,Germany,walking,walking
12053,predacious,Tenuiphantes Tenuis,species,Atheta Fungi,species,Germany,walking,walking
12080,predacious,Geophilus Ribauti,species,Athous Subfuscus,species,Germany,walking,walking
12081,predacious,Schendyla Nemorensis,species,Athous Subfuscus,species,Germany,walking,walking
12082,predacious,Pterostichus Strenuus,species,Athous Subfuscus,species,Germany,walking,walking
12085,predacious,Robertus Lividus,species,Athous Subfuscus,species,Germany,walking,walking
12086,predacious,Athous Subfuscus,species,Athous Subfuscus,species,Germany,walking,walking
12087,predacious,Lithobius Aeruginosus,species,Athous Subfuscus,species,Germany,walking,walking
12089,predacious,Geophilus Ribauti,species,Athous Zebei,species,Germany,walking,walking
12090,predacious,Schendyla Nemorensis,species,Athous Zebei,species,Germany,walking,walking
12092,predacious,Pterostichus Strenuus,species,Athous Zebei,species,Germany,walking,walking
12093,predacious,Atheta Fungi,species,Athous Zebei,species,Germany,walking,walking
12101,predacious,Micrargus Herbigradus,species,Athous Zebei,species,Germany,walking,walking
12102,predacious,Microneta Viaria,species,Athous Zebei,species,Germany,walking,walking
12105,predacious,Robertus Lividus,species,Athous Zebei,species,Germany,walking,walking
12107,predacious,Erigonella Hiemalis,species,Athous Zebei,species,Germany,walking,walking
12109,predacious,Robertus Scoticus,species,Athous Zebei,species,Germany,walking,walking
12110,predacious,Monocephalus Fuscipes,species,Athous Zebei,species,Germany,walking,walking
12111,predacious,Athous Subfuscus,species,Athous Zebei,species,Germany,walking,walking
12112,predacious,Lithobius Aeruginosus,species,Athous Zebei,species,Germany,walking,walking
12114,predacious,Asthenargus Paganus,species,Athous Zebei,species,Germany,walking,walking
12115,predacious,Ceratinella Brevis,species,Athous Zebei,species,Germany,walking,walking
12116,predacious,Tenuiphantes Tenuis,species,Athous Zebei,species,Germany,walking,walking
12195,predacious,Geophilus Ribauti,species,Carabodes Labyrinthicus,species,Germany,walking,walking
12196,predacious,Lithobius Aeruginosus,species,Carabodes Labyrinthicus,species,Germany,walking,walking
12198,predacious,Geophilus Ribauti,species,Ceratinella Brevis,species,Germany,walking,walking
12199,predacious,Schendyla Nemorensis,species,Ceratinella Brevis,species,Germany,walking,walking
12201,predacious,Pterostichus Strenuus,species,Ceratinella Brevis,species,Germany,walking,walking
12205,predacious,Micrargus Herbigradus,species,Ceratinella Brevis,species,Germany,walking,walking
12206,predacious,Microneta Viaria,species,Ceratinella Brevis,species,Germany,walking,walking
12208,predacious,Robertus Lividus,species,Ceratinella Brevis,species,Germany,walking,walking
12209,predacious,Robertus Scoticus,species,Ceratinella Brevis,species,Germany,walking,walking
12210,predacious,Athous Subfuscus,species,Ceratinella Brevis,species,Germany,walking,walking
12211,predacious,Lithobius Aeruginosus,species,Ceratinella Brevis,species,Germany,walking,walking
