autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
160112,predacious,Canis Lupus Arctos,species,Lepus Arcticus,species,High arctic terrestrial field sites,walking,walking
160113,predacious,Canis Lupus Arctos,species,Rangifer Tarandus,species,High arctic terrestrial field sites,walking,walking
160114,predacious,Canis Lupus Arctos,species,Ovibos Moschatus,species,High arctic terrestrial field sites,walking,walking
160145,predacious,Bubo Scandiacus,species,Mustela Erminea,species,High arctic terrestrial field sites,flying,walking
160180,predacious,Mustela Erminea,species,Microtus Oeconomus,species,High arctic terrestrial field sites,walking,walking
160182,predacious,Vulpes Lagopus,species,Microtus Oeconomus,species,High arctic terrestrial field sites,walking,walking
160185,predacious,Vulpes Vulpes,species,Microtus Oeconomus,species,High arctic terrestrial field sites,walking,walking
160189,predacious,Gulo Gulo,species,Microtus Oeconomus,species,High arctic terrestrial field sites,walking,walking
160190,predacious,Gulo Gulo,species,Rangifer Tarandus,species,High arctic terrestrial field sites,walking,walking
160193,predacious,Ursus Horribilis,species,Rangifer Tarandus,species,High arctic terrestrial field sites,walking,walking
160194,predacious,Ursus Horribilis,species,Ovibos Moschatus,species,High arctic terrestrial field sites,walking,walking
160199,predacious,Bubo Scandiacus,species,Mustela Erminea,species,High arctic terrestrial field sites,flying,walking
160201,predacious,Bubo Scandiacus,species,Microtus Oeconomus,species,High arctic terrestrial field sites,flying,walking
160203,predacious,Buteo Lagopus,species,Microtus Oeconomus,species,High arctic terrestrial field sites,flying,walking
160241,predacious,Mustela Erminea,species,Microtus Oeconomus,species,High arctic terrestrial field sites,walking,walking
160243,predacious,Vulpes Lagopus,species,Microtus Oeconomus,species,High arctic terrestrial field sites,walking,walking
160244,predacious,Vulpes Lagopus,species,Lepus Arcticus,species,High arctic terrestrial field sites,walking,walking
160250,predacious,Vulpes Vulpes,species,Microtus Oeconomus,species,High arctic terrestrial field sites,walking,walking
160251,predacious,Vulpes Vulpes,species,Lepus Arcticus,species,High arctic terrestrial field sites,walking,walking
160256,predacious,Gulo Gulo,species,Lepus Arcticus,species,High arctic terrestrial field sites,walking,walking
160257,predacious,Gulo Gulo,species,Rangifer Tarandus,species,High arctic terrestrial field sites,walking,walking
160260,predacious,Ursus Horribilis,species,Lepus Arcticus,species,High arctic terrestrial field sites,walking,walking
160261,predacious,Ursus Horribilis,species,Rangifer Tarandus,species,High arctic terrestrial field sites,walking,walking
160272,predacious,Bubo Scandiacus,species,Microtus Oeconomus,species,High arctic terrestrial field sites,flying,walking
160275,predacious,Buteo Lagopus,species,Microtus Oeconomus,species,High arctic terrestrial field sites,flying,walking
160334,predacious,Mustela Erminea,species,Microtus Oeconomus,species,High arctic terrestrial field sites,walking,walking
160336,predacious,Vulpes Lagopus,species,Microtus Oeconomus,species,High arctic terrestrial field sites,walking,walking
160337,predacious,Vulpes Lagopus,species,Lepus Arcticus,species,High arctic terrestrial field sites,walking,walking
160343,predacious,Vulpes Vulpes,species,Microtus Oeconomus,species,High arctic terrestrial field sites,walking,walking
160344,predacious,Vulpes Vulpes,species,Lepus Arcticus,species,High arctic terrestrial field sites,walking,walking
160349,predacious,Gulo Gulo,species,Lepus Arcticus,species,High arctic terrestrial field sites,walking,walking
160350,predacious,Gulo Gulo,species,Rangifer Tarandus,species,High arctic terrestrial field sites,walking,walking
160361,predacious,Buteo Lagopus,species,Microtus Oeconomus,species,High arctic terrestrial field sites,flying,walking
160392,predacious,Vulpes Lagopus,species,Lepus Arcticus,species,High arctic terrestrial field sites,walking,walking
160400,predacious,Bubo Scandiacus,species,Mustela Erminea,species,High arctic terrestrial field sites,flying,walking
