autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
176511,predacious,Clinocera Stagnalis,species,Diamesa Zernyi,species,Iceland,walking,walking
176512,predacious,Clinocera Stagnalis,species,Eukiefferiella Claripennis,species,Iceland,walking,walking
176513,predacious,Clinocera Stagnalis,species,Eukiefferiella Minor,species,Iceland,walking,walking
176514,predacious,Clinocera Stagnalis,species,Micropsectra Atrofasciata,species,Iceland,walking,walking
176515,predacious,Clinocera Stagnalis,species,Simulium Vittatum,species,Iceland,walking,sessile
176517,herbivorous,Diamesa Zernyi,species,Achnanthes Exigua,species,Iceland,walking,sessile
176518,herbivorous,Diamesa Zernyi,species,Achnanthes Lanceolata,species,Iceland,walking,sessile
176519,herbivorous,Diamesa Zernyi,species,Amphora Inariensis,species,Iceland,walking,sessile
176520,herbivorous,Diamesa Zernyi,species,Amphora Pediculus,species,Iceland,walking,sessile
176522,herbivorous,Diamesa Zernyi,species,Cocconeis Pediculus,species,Iceland,walking,sessile
176523,herbivorous,Diamesa Zernyi,species,Cocconeis Placentula,species,Iceland,walking,sessile
176524,herbivorous,Diamesa Zernyi,species,Cocconeis Placentula Var. Euglypta,species,Iceland,walking,sessile
176525,herbivorous,Diamesa Zernyi,species,Diatoma Mesodon,species,Iceland,walking,sessile
176528,herbivorous,Diamesa Zernyi,species,Gomphonema Clevei,species,Iceland,walking,sessile
176530,herbivorous,Diamesa Zernyi,species,Nitzschia Inconspicua,species,Iceland,walking,sessile
176531,herbivorous,Diamesa Zernyi,species,Pinnularia Intermedia,species,Iceland,walking,sessile
176532,herbivorous,Dicranota Exclusa,species,Achnanthes Exigua,species,Iceland,walking,sessile
176533,herbivorous,Dicranota Exclusa,species,Achnanthes Lanceolata,species,Iceland,walking,sessile
176534,herbivorous,Dicranota Exclusa,species,Amphora Inariensis,species,Iceland,walking,sessile
176535,herbivorous,Dicranota Exclusa,species,Amphora Pediculus,species,Iceland,walking,sessile
176537,herbivorous,Dicranota Exclusa,species,Cocconeis Pediculus,species,Iceland,walking,sessile
176538,herbivorous,Dicranota Exclusa,species,Cocconeis Placentula,species,Iceland,walking,sessile
176539,herbivorous,Dicranota Exclusa,species,Cocconeis Placentula Var. Euglypta,species,Iceland,walking,sessile
176541,predacious,Dicranota Exclusa,species,Diamesa Zernyi,species,Iceland,walking,walking
176542,herbivorous,Dicranota Exclusa,species,Diatoma Mesodon,species,Iceland,walking,sessile
176543,predacious,Dicranota Exclusa,species,Eukiefferiella Claripennis,species,Iceland,walking,walking
176544,predacious,Dicranota Exclusa,species,Eukiefferiella Minor,species,Iceland,walking,walking
176545,herbivorous,Dicranota Exclusa,species,Gomphonema Clevei,species,Iceland,walking,sessile
176547,predacious,Dicranota Exclusa,species,Micropsectra Atrofasciata,species,Iceland,walking,walking
176548,herbivorous,Dicranota Exclusa,species,Nitzschia Inconspicua,species,Iceland,walking,sessile
176550,herbivorous,Dicranota Exclusa,species,Pinnularia Intermedia,species,Iceland,walking,sessile
176552,herbivorous,Eukiefferiella Claripennis,species,Achnanthes Exigua,species,Iceland,walking,sessile
