autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
189264,herbivorous,Oikopleura Dioica,species,Nitzschia Closterium,species,Ireland/West Cork/Skibbereen,swimming,other
189265,herbivorous,Oikopleura Dioica,species,Skeletonema Costatum,species,Ireland/West Cork/Skibbereen,swimming,other
189266,herbivorous,Oikopleura Dioica,species,Podosira Stelliger,species,Ireland/West Cork/Skibbereen,swimming,other
189268,herbivorous,Oikopleura Dioica,species,Phaeocystis Pouchetii,species,Ireland/West Cork/Skibbereen,swimming,swimming
189274,predacious,Evadne Nordmanni,species,Calanus Helgolandicus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189275,predacious,Evadne Nordmanni,species,Metridia Lucens,species,Ireland/West Cork/Skibbereen,swimming,swimming
189276,predacious,Evadne Nordmanni,species,Pseudocalanus Elongatus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189277,predacious,Evadne Nordmanni,species,Microcalanus Pusillis,species,Ireland/West Cork/Skibbereen,swimming,swimming
189278,predacious,Evadne Nordmanni,species,Paracalanus Parvus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189279,predacious,Evadne Nordmanni,species,Temora Longicornis,species,Ireland/West Cork/Skibbereen,swimming,swimming
189280,predacious,Evadne Nordmanni,species,Eutemora Hirundoides,species,Ireland/West Cork/Skibbereen,swimming,swimming
189281,predacious,Evadne Nordmanni,species,Acartia Clausi,species,Ireland/West Cork/Skibbereen,swimming,swimming
189282,predacious,Evadne Nordmanni,species,Centropages Typicus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189283,predacious,Evadne Nordmanni,species,Calanus Elongatus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189287,predacious,Podon Intermedius,species,Calanus Helgolandicus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189288,predacious,Podon Intermedius,species,Metridia Lucens,species,Ireland/West Cork/Skibbereen,swimming,swimming
189289,predacious,Podon Intermedius,species,Pseudocalanus Elongatus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189290,predacious,Podon Intermedius,species,Microcalanus Pusillis,species,Ireland/West Cork/Skibbereen,swimming,swimming
189291,predacious,Podon Intermedius,species,Paracalanus Parvus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189292,predacious,Podon Intermedius,species,Temora Longicornis,species,Ireland/West Cork/Skibbereen,swimming,swimming
189293,predacious,Podon Intermedius,species,Eutemora Hirundoides,species,Ireland/West Cork/Skibbereen,swimming,swimming
189294,predacious,Podon Intermedius,species,Acartia Clausi,species,Ireland/West Cork/Skibbereen,swimming,swimming
189295,predacious,Podon Intermedius,species,Centropages Typicus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189296,predacious,Podon Intermedius,species,Calanus Elongatus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189298,predacious,Calanus Helgolandicus,species,Calanus Helgolandicus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189299,predacious,Calanus Helgolandicus,species,Metridia Lucens,species,Ireland/West Cork/Skibbereen,swimming,swimming
189300,predacious,Calanus Helgolandicus,species,Pseudocalanus Elongatus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189301,predacious,Calanus Helgolandicus,species,Microcalanus Pusillis,species,Ireland/West Cork/Skibbereen,swimming,swimming
189302,predacious,Calanus Helgolandicus,species,Paracalanus Parvus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189303,predacious,Calanus Helgolandicus,species,Temora Longicornis,species,Ireland/West Cork/Skibbereen,swimming,swimming
189304,predacious,Calanus Helgolandicus,species,Eutemora Hirundoides,species,Ireland/West Cork/Skibbereen,swimming,swimming
189305,predacious,Calanus Helgolandicus,species,Acartia Clausi,species,Ireland/West Cork/Skibbereen,swimming,swimming
189306,predacious,Calanus Helgolandicus,species,Centropages Typicus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189307,predacious,Calanus Helgolandicus,species,Calanus Elongatus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189311,predacious,Metridia Lucens,species,Oikopleura Dioica,species,Ireland/West Cork/Skibbereen,swimming,swimming
189315,predacious,Pseudocalanus Elongatus,species,Oikopleura Dioica,species,Ireland/West Cork/Skibbereen,swimming,swimming
189320,predacious,Paracalanus Parvus,species,Calanus Helgolandicus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189321,predacious,Paracalanus Parvus,species,Pseudocalanus Elongatus,species,Ireland/West Cork/Skibbereen,swimming,swimming
189322,predacious,Paracalanus Parvus,species,Microcalanus Pusillis,species,Ireland/West Cork/Skibbereen,swimming,swimming
189323,predacious,Paracalanus Parvus,species,Paracalanus Parvus,species,Ireland/West Cork/Skibbereen,swimming,swimming
