autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
157019,predacious,Salmo Trutta,species,Salmo Trutta,species,"Lochnagar, NE Scotland, UK",swimming,swimming
157022,predacious,Salmo Trutta,species,Sigara Lateralis,species,"Lochnagar, NE Scotland, UK",swimming,swimming
157030,predacious,Sigara Lateralis,species,Oreodytes Davisii,species,"Lochnagar, NE Scotland, UK",swimming,walking
157039,predacious,Salmo Trutta,species,Oreodytes Davisii,species,"Lochnagar, NE Scotland, UK",swimming,walking
157040,predacious,Salmo Trutta,species,Halesus Radiatus,species,"Lochnagar, NE Scotland, UK",swimming,walking
157041,predacious,Salmo Trutta,species,Sialis Lutaria,species,"Lochnagar, NE Scotland, UK",swimming,walking
157043,predacious,Salmo Trutta,species,Plectrocnemia Conspersa,species,"Lochnagar, NE Scotland, UK",swimming,walking
157044,predacious,Salmo Trutta,species,Nemoura Cambrica,species,"Lochnagar, NE Scotland, UK",swimming,walking
157045,predacious,Salmo Trutta,species,Capnia Vidua,species,"Lochnagar, NE Scotland, UK",swimming,walking
157046,predacious,Salmo Trutta,species,Leuctra Nigra,species,"Lochnagar, NE Scotland, UK",swimming,walking
157049,predacious,Sigara Lateralis,species,Sialis Lutaria,species,"Lochnagar, NE Scotland, UK",swimming,walking
157052,herbivorous,Capnia Vidua,species,Fragilaria Vaucheriae,species,"Lochnagar, NE Scotland, UK",walking,sessile
157053,herbivorous,Capnia Vidua,species,Fragilaria Virescens,species,"Lochnagar, NE Scotland, UK",walking,sessile
157054,herbivorous,Capnia Vidua,species,Frustulia Rhomboides Var Saxonica,species,"Lochnagar, NE Scotland, UK",walking,sessile
157055,herbivorous,Capnia Vidua,species,Frustulia Rhomboides Var Viridula,species,"Lochnagar, NE Scotland, UK",walking,sessile
157060,herbivorous,Capnia Vidua,species,Diatoma Hyemale Var Mesodon,species,"Lochnagar, NE Scotland, UK",walking,sessile
