autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
215312,herbivorous,Liza Ramada,species,Caulerpa Webbiana,species,Madeira,swimming,sessile
215313,herbivorous,Lipophrys Pholis,species,Caulerpa Webbiana,species,Madeira,swimming,sessile
215314,herbivorous,Coryphoblennius Galerita,species,Caulerpa Webbiana,species,Madeira,swimming,sessile
215315,herbivorous,Parablennius Parvicornis,species,Caulerpa Webbiana,species,Madeira,swimming,sessile
215316,herbivorous,Omalogyra Atomus,species,Caulerpa Webbiana,species,Madeira,walking,sessile
215318,herbivorous,Palaemon Elegans,species,Caulerpa Webbiana,species,Madeira,swimming,sessile
215320,herbivorous,Liza Ramada,species,Cladophora Prolifera,species,Madeira,swimming,sessile
215321,herbivorous,Lipophrys Pholis,species,Cladophora Prolifera,species,Madeira,swimming,sessile
215322,herbivorous,Coryphoblennius Galerita,species,Cladophora Prolifera,species,Madeira,swimming,sessile
215323,herbivorous,Parablennius Parvicornis,species,Cladophora Prolifera,species,Madeira,swimming,sessile
215324,herbivorous,Omalogyra Atomus,species,Cladophora Prolifera,species,Madeira,walking,sessile
215326,herbivorous,Palaemon Elegans,species,Cladophora Prolifera,species,Madeira,swimming,sessile
215328,herbivorous,Liza Ramada,species,Halopteris Filicina,species,Madeira,swimming,sessile
215329,herbivorous,Lipophrys Pholis,species,Halopteris Filicina,species,Madeira,swimming,sessile
215330,herbivorous,Coryphoblennius Galerita,species,Halopteris Filicina,species,Madeira,swimming,sessile
215331,herbivorous,Parablennius Parvicornis,species,Halopteris Filicina,species,Madeira,swimming,sessile
215332,herbivorous,Omalogyra Atomus,species,Halopteris Filicina,species,Madeira,walking,sessile
215334,herbivorous,Palaemon Elegans,species,Halopteris Filicina,species,Madeira,swimming,sessile
215336,herbivorous,Liza Ramada,species,Sargassum Vulgare,species,Madeira,swimming,sessile
215337,herbivorous,Lipophrys Pholis,species,Sargassum Vulgare,species,Madeira,swimming,sessile
215338,herbivorous,Coryphoblennius Galerita,species,Sargassum Vulgare,species,Madeira,swimming,sessile
215339,herbivorous,Parablennius Parvicornis,species,Sargassum Vulgare,species,Madeira,swimming,sessile
215340,herbivorous,Omalogyra Atomus,species,Sargassum Vulgare,species,Madeira,walking,sessile
215342,herbivorous,Palaemon Elegans,species,Sargassum Vulgare,species,Madeira,swimming,sessile
215344,herbivorous,Liza Ramada,species,Padina Pavonica,species,Madeira,swimming,sessile
215345,herbivorous,Lipophrys Pholis,species,Padina Pavonica,species,Madeira,swimming,sessile
215346,herbivorous,Coryphoblennius Galerita,species,Padina Pavonica,species,Madeira,swimming,sessile
215347,herbivorous,Parablennius Parvicornis,species,Padina Pavonica,species,Madeira,swimming,sessile
215348,herbivorous,Omalogyra Atomus,species,Padina Pavonica,species,Madeira,walking,sessile
215350,herbivorous,Palaemon Elegans,species,Padina Pavonica,species,Madeira,swimming,sessile
215360,herbivorous,Liza Ramada,species,Tricleocarpa Cylindrica,species,Madeira,swimming,sessile
215361,herbivorous,Lipophrys Pholis,species,Tricleocarpa Cylindrica,species,Madeira,swimming,sessile
215362,herbivorous,Coryphoblennius Galerita,species,Tricleocarpa Cylindrica,species,Madeira,swimming,sessile
215363,herbivorous,Parablennius Parvicornis,species,Tricleocarpa Cylindrica,species,Madeira,swimming,sessile
