autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
203363,herbivorous,Bathygobius Fuscus,species,Caulerpa Racemosa V. Uvifera,species,Mozambique,swimming,sessile
203364,herbivorous,Parvulastra Exigua,species,Caulerpa Racemosa V. Uvifera,species,Mozambique,walking,sessile
203366,herbivorous,Antennablennius Bifilum,species,Caulerpa Racemosa V. Uvifera,species,Mozambique,swimming,sessile
203368,herbivorous,Clibanarius Virescens,species,Caulerpa Racemosa V. Uvifera,species,Mozambique,walking,sessile
203369,herbivorous,Metopograpsus Messor,species,Caulerpa Racemosa V. Uvifera,species,Mozambique,walking,sessile
203372,herbivorous,Bathygobius Fuscus,species,Caulerpa Zeyheri,species,Mozambique,swimming,sessile
203373,herbivorous,Parvulastra Exigua,species,Caulerpa Zeyheri,species,Mozambique,walking,sessile
203375,herbivorous,Antennablennius Bifilum,species,Caulerpa Zeyheri,species,Mozambique,swimming,sessile
203377,herbivorous,Clibanarius Virescens,species,Caulerpa Zeyheri,species,Mozambique,walking,sessile
203378,herbivorous,Metopograpsus Messor,species,Caulerpa Zeyheri,species,Mozambique,walking,sessile
203380,predacious,Morula Uva,species,Chthamalus Dentatus,species,Mozambique,walking,sessile
203381,predacious,Tenguella Granulata,species,Chthamalus Dentatus,species,Mozambique,walking,sessile
203383,herbivorous,Bathygobius Fuscus,species,Cladophora Herpestica,species,Mozambique,swimming,sessile
203384,herbivorous,Parvulastra Exigua,species,Cladophora Herpestica,species,Mozambique,walking,sessile
203386,herbivorous,Antennablennius Bifilum,species,Cladophora Herpestica,species,Mozambique,swimming,sessile
203388,herbivorous,Clibanarius Virescens,species,Cladophora Herpestica,species,Mozambique,walking,sessile
203389,herbivorous,Metopograpsus Messor,species,Cladophora Herpestica,species,Mozambique,walking,sessile
203392,herbivorous,Bathygobius Fuscus,species,Neomeris Vanbosseae,species,Mozambique,swimming,sessile
203393,herbivorous,Parvulastra Exigua,species,Neomeris Vanbosseae,species,Mozambique,walking,sessile
