autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
200706,herbivorous,Asterina Gibbosa,species,Ulva Lactuca,species,Portugal,walking,sessile
200708,herbivorous,Paracentrotus Lividus,species,Ulva Lactuca,species,Portugal,walking,sessile
200709,herbivorous,Liza Ramada,species,Ulva Lactuca,species,Portugal,swimming,sessile
200710,herbivorous,Diplodus Sargus Sargus,species,Ulva Lactuca,species,Portugal,swimming,sessile
200711,herbivorous,Lipophrys Pholis,species,Ulva Lactuca,species,Portugal,swimming,sessile
200712,herbivorous,Coryphoblennius Galerita,species,Ulva Lactuca,species,Portugal,swimming,sessile
200713,herbivorous,Gobius Paganellus,species,Ulva Lactuca,species,Portugal,swimming,sessile
200714,herbivorous,Lepadogaster Lepadogaster,species,Ulva Lactuca,species,Portugal,swimming,sessile
200715,herbivorous,Actinia Equina,species,Ulva Lactuca,species,Portugal,sessile,sessile
200716,herbivorous,Actinia Fragacea,species,Ulva Lactuca,species,Portugal,sessile,sessile
200717,herbivorous,Acanthochitona Crinita,species,Ulva Lactuca,species,Portugal,walking,sessile
200718,herbivorous,Lepidochitona Cinerea,species,Ulva Lactuca,species,Portugal,walking,sessile
200719,herbivorous,Leptochiton Algesirensis,species,Ulva Lactuca,species,Portugal,walking,sessile
200720,herbivorous,Patella Vulgata,species,Ulva Lactuca,species,Portugal,other,sessile
200721,herbivorous,Gibbula Umbilicalis,species,Ulva Lactuca,species,Portugal,walking,sessile
200723,herbivorous,Omalogyra Atomus,species,Ulva Lactuca,species,Portugal,walking,sessile
200725,herbivorous,Aplysia Punctata,species,Ulva Lactuca,species,Portugal,walking,sessile
200731,herbivorous,Palaemon Longirostris,species,Ulva Lactuca,species,Portugal,swimming,sessile
200732,herbivorous,Palaemon Elegans,species,Ulva Lactuca,species,Portugal,swimming,sessile
200733,herbivorous,Lophozozymus Incisus,species,Ulva Lactuca,species,Portugal,walking,sessile
200734,herbivorous,Pirimela Denticulata,species,Ulva Lactuca,species,Portugal,walking,sessile
200735,herbivorous,Carcinus Maenas,species,Ulva Lactuca,species,Portugal,walking,sessile
200770,herbivorous,Asterina Gibbosa,species,Leathesia Marina,species,Portugal,walking,sessile
200772,herbivorous,Paracentrotus Lividus,species,Leathesia Marina,species,Portugal,walking,sessile
200773,herbivorous,Liza Ramada,species,Leathesia Marina,species,Portugal,swimming,sessile
200774,herbivorous,Diplodus Sargus Sargus,species,Leathesia Marina,species,Portugal,swimming,sessile
200775,herbivorous,Lipophrys Pholis,species,Leathesia Marina,species,Portugal,swimming,sessile
200776,herbivorous,Coryphoblennius Galerita,species,Leathesia Marina,species,Portugal,swimming,sessile
200777,herbivorous,Gobius Paganellus,species,Leathesia Marina,species,Portugal,swimming,sessile
200778,herbivorous,Lepadogaster Lepadogaster,species,Leathesia Marina,species,Portugal,swimming,sessile
200779,herbivorous,Actinia Equina,species,Leathesia Marina,species,Portugal,sessile,sessile
200780,herbivorous,Actinia Fragacea,species,Leathesia Marina,species,Portugal,sessile,sessile
200781,herbivorous,Acanthochitona Crinita,species,Leathesia Marina,species,Portugal,walking,sessile
200782,herbivorous,Lepidochitona Cinerea,species,Leathesia Marina,species,Portugal,walking,sessile
200783,herbivorous,Leptochiton Algesirensis,species,Leathesia Marina,species,Portugal,walking,sessile
200784,herbivorous,Patella Vulgata,species,Leathesia Marina,species,Portugal,other,sessile
200785,herbivorous,Gibbula Umbilicalis,species,Leathesia Marina,species,Portugal,walking,sessile
200787,herbivorous,Omalogyra Atomus,species,Leathesia Marina,species,Portugal,walking,sessile
200789,herbivorous,Aplysia Punctata,species,Leathesia Marina,species,Portugal,walking,sessile
200795,herbivorous,Palaemon Longirostris,species,Leathesia Marina,species,Portugal,swimming,sessile
200796,herbivorous,Palaemon Elegans,species,Leathesia Marina,species,Portugal,swimming,sessile
200797,herbivorous,Lophozozymus Incisus,species,Leathesia Marina,species,Portugal,walking,sessile
200798,herbivorous,Pirimela Denticulata,species,Leathesia Marina,species,Portugal,walking,sessile
200799,herbivorous,Carcinus Maenas,species,Leathesia Marina,species,Portugal,walking,sessile
200802,herbivorous,Asterina Gibbosa,species,Colpomenia Peregrina,species,Portugal,walking,sessile
200804,herbivorous,Paracentrotus Lividus,species,Colpomenia Peregrina,species,Portugal,walking,sessile
200805,herbivorous,Liza Ramada,species,Colpomenia Peregrina,species,Portugal,swimming,sessile
200806,herbivorous,Diplodus Sargus Sargus,species,Colpomenia Peregrina,species,Portugal,swimming,sessile
200807,herbivorous,Lipophrys Pholis,species,Colpomenia Peregrina,species,Portugal,swimming,sessile
200808,herbivorous,Coryphoblennius Galerita,species,Colpomenia Peregrina,species,Portugal,swimming,sessile
200809,herbivorous,Gobius Paganellus,species,Colpomenia Peregrina,species,Portugal,swimming,sessile
200810,herbivorous,Lepadogaster Lepadogaster,species,Colpomenia Peregrina,species,Portugal,swimming,sessile
200811,herbivorous,Actinia Equina,species,Colpomenia Peregrina,species,Portugal,sessile,sessile
200812,herbivorous,Actinia Fragacea,species,Colpomenia Peregrina,species,Portugal,sessile,sessile
200813,herbivorous,Acanthochitona Crinita,species,Colpomenia Peregrina,species,Portugal,walking,sessile
200814,herbivorous,Lepidochitona Cinerea,species,Colpomenia Peregrina,species,Portugal,walking,sessile
200815,herbivorous,Leptochiton Algesirensis,species,Colpomenia Peregrina,species,Portugal,walking,sessile
200816,herbivorous,Patella Vulgata,species,Colpomenia Peregrina,species,Portugal,other,sessile
200817,herbivorous,Gibbula Umbilicalis,species,Colpomenia Peregrina,species,Portugal,walking,sessile
200819,herbivorous,Omalogyra Atomus,species,Colpomenia Peregrina,species,Portugal,walking,sessile
200821,herbivorous,Aplysia Punctata,species,Colpomenia Peregrina,species,Portugal,walking,sessile
200827,herbivorous,Palaemon Longirostris,species,Colpomenia Peregrina,species,Portugal,swimming,sessile
200828,herbivorous,Palaemon Elegans,species,Colpomenia Peregrina,species,Portugal,swimming,sessile
200829,herbivorous,Lophozozymus Incisus,species,Colpomenia Peregrina,species,Portugal,walking,sessile
200830,herbivorous,Pirimela Denticulata,species,Colpomenia Peregrina,species,Portugal,walking,sessile
200831,herbivorous,Carcinus Maenas,species,Colpomenia Peregrina,species,Portugal,walking,sessile
200834,herbivorous,Asterina Gibbosa,species,Bifurcaria Bifurcata,species,Portugal,walking,sessile
200836,herbivorous,Paracentrotus Lividus,species,Bifurcaria Bifurcata,species,Portugal,walking,sessile
200837,herbivorous,Liza Ramada,species,Bifurcaria Bifurcata,species,Portugal,swimming,sessile
200838,herbivorous,Diplodus Sargus Sargus,species,Bifurcaria Bifurcata,species,Portugal,swimming,sessile
200839,herbivorous,Lipophrys Pholis,species,Bifurcaria Bifurcata,species,Portugal,swimming,sessile
200840,herbivorous,Coryphoblennius Galerita,species,Bifurcaria Bifurcata,species,Portugal,swimming,sessile
200841,herbivorous,Gobius Paganellus,species,Bifurcaria Bifurcata,species,Portugal,swimming,sessile
200842,herbivorous,Lepadogaster Lepadogaster,species,Bifurcaria Bifurcata,species,Portugal,swimming,sessile
200843,herbivorous,Actinia Equina,species,Bifurcaria Bifurcata,species,Portugal,sessile,sessile
200844,herbivorous,Actinia Fragacea,species,Bifurcaria Bifurcata,species,Portugal,sessile,sessile
200845,herbivorous,Acanthochitona Crinita,species,Bifurcaria Bifurcata,species,Portugal,walking,sessile
200846,herbivorous,Lepidochitona Cinerea,species,Bifurcaria Bifurcata,species,Portugal,walking,sessile
200847,herbivorous,Leptochiton Algesirensis,species,Bifurcaria Bifurcata,species,Portugal,walking,sessile
200848,herbivorous,Patella Vulgata,species,Bifurcaria Bifurcata,species,Portugal,other,sessile
200849,herbivorous,Gibbula Umbilicalis,species,Bifurcaria Bifurcata,species,Portugal,walking,sessile
200851,herbivorous,Omalogyra Atomus,species,Bifurcaria Bifurcata,species,Portugal,walking,sessile
200853,herbivorous,Aplysia Punctata,species,Bifurcaria Bifurcata,species,Portugal,walking,sessile
200859,herbivorous,Palaemon Longirostris,species,Bifurcaria Bifurcata,species,Portugal,swimming,sessile
200860,herbivorous,Palaemon Elegans,species,Bifurcaria Bifurcata,species,Portugal,swimming,sessile
200861,herbivorous,Lophozozymus Incisus,species,Bifurcaria Bifurcata,species,Portugal,walking,sessile
200862,herbivorous,Pirimela Denticulata,species,Bifurcaria Bifurcata,species,Portugal,walking,sessile
200863,herbivorous,Carcinus Maenas,species,Bifurcaria Bifurcata,species,Portugal,walking,sessile
200896,predacious,Palaemon Elegans,species,Liza Ramada,species,Portugal,swimming,swimming
200897,predacious,Anemonia Sulcata,species,Liza Ramada,species,Portugal,sessile,swimming
200900,herbivorous,Asterina Gibbosa,species,Sphacelaria Cirrosa,species,Portugal,walking,sessile
200902,herbivorous,Paracentrotus Lividus,species,Sphacelaria Cirrosa,species,Portugal,walking,sessile
200903,herbivorous,Liza Ramada,species,Sphacelaria Cirrosa,species,Portugal,swimming,sessile
200904,herbivorous,Diplodus Sargus Sargus,species,Sphacelaria Cirrosa,species,Portugal,swimming,sessile
200905,herbivorous,Lipophrys Pholis,species,Sphacelaria Cirrosa,species,Portugal,swimming,sessile
200906,herbivorous,Coryphoblennius Galerita,species,Sphacelaria Cirrosa,species,Portugal,swimming,sessile
200907,herbivorous,Gobius Paganellus,species,Sphacelaria Cirrosa,species,Portugal,swimming,sessile
200908,herbivorous,Lepadogaster Lepadogaster,species,Sphacelaria Cirrosa,species,Portugal,swimming,sessile
200909,herbivorous,Actinia Equina,species,Sphacelaria Cirrosa,species,Portugal,sessile,sessile
200910,herbivorous,Actinia Fragacea,species,Sphacelaria Cirrosa,species,Portugal,sessile,sessile
200911,herbivorous,Acanthochitona Crinita,species,Sphacelaria Cirrosa,species,Portugal,walking,sessile
200912,herbivorous,Lepidochitona Cinerea,species,Sphacelaria Cirrosa,species,Portugal,walking,sessile
200913,herbivorous,Leptochiton Algesirensis,species,Sphacelaria Cirrosa,species,Portugal,walking,sessile
200914,herbivorous,Patella Vulgata,species,Sphacelaria Cirrosa,species,Portugal,other,sessile
200915,herbivorous,Gibbula Umbilicalis,species,Sphacelaria Cirrosa,species,Portugal,walking,sessile
200917,herbivorous,Omalogyra Atomus,species,Sphacelaria Cirrosa,species,Portugal,walking,sessile
200919,herbivorous,Aplysia Punctata,species,Sphacelaria Cirrosa,species,Portugal,walking,sessile
200925,herbivorous,Palaemon Longirostris,species,Sphacelaria Cirrosa,species,Portugal,swimming,sessile
200926,herbivorous,Palaemon Elegans,species,Sphacelaria Cirrosa,species,Portugal,swimming,sessile
200927,herbivorous,Lophozozymus Incisus,species,Sphacelaria Cirrosa,species,Portugal,walking,sessile
200928,herbivorous,Pirimela Denticulata,species,Sphacelaria Cirrosa,species,Portugal,walking,sessile
200929,herbivorous,Carcinus Maenas,species,Sphacelaria Cirrosa,species,Portugal,walking,sessile
200930,predacious,Palaemon Longirostris,species,Diplodus Sargus Sargus,species,Portugal,swimming,swimming
200931,predacious,Palaemon Elegans,species,Diplodus Sargus Sargus,species,Portugal,swimming,swimming
200932,predacious,Anemonia Sulcata,species,Diplodus Sargus Sargus,species,Portugal,sessile,swimming
200934,predacious,Anemonia Sulcata,species,Lipophrys Pholis,species,Portugal,sessile,swimming
200935,predacious,Lipophrys Pholis,species,Lipophrys Pholis,species,Portugal,swimming,swimming
200936,predacious,Coryphoblennius Galerita,species,Lipophrys Pholis,species,Portugal,swimming,swimming
200937,predacious,Lepadogaster Lepadogaster,species,Lipophrys Pholis,species,Portugal,swimming,swimming
200939,predacious,Anemonia Sulcata,species,Coryphoblennius Galerita,species,Portugal,sessile,swimming
200940,predacious,Lepadogaster Lepadogaster,species,Coryphoblennius Galerita,species,Portugal,swimming,swimming
200941,predacious,Coryphoblennius Galerita,species,Coryphoblennius Galerita,species,Portugal,swimming,swimming
200944,herbivorous,Asterina Gibbosa,species,Asparagopsis Armata,species,Portugal,walking,sessile
200946,herbivorous,Paracentrotus Lividus,species,Asparagopsis Armata,species,Portugal,walking,sessile
200947,herbivorous,Liza Ramada,species,Asparagopsis Armata,species,Portugal,swimming,sessile
200948,herbivorous,Diplodus Sargus Sargus,species,Asparagopsis Armata,species,Portugal,swimming,sessile
200949,herbivorous,Lipophrys Pholis,species,Asparagopsis Armata,species,Portugal,swimming,sessile
200950,herbivorous,Coryphoblennius Galerita,species,Asparagopsis Armata,species,Portugal,swimming,sessile
200951,herbivorous,Gobius Paganellus,species,Asparagopsis Armata,species,Portugal,swimming,sessile
200952,herbivorous,Lepadogaster Lepadogaster,species,Asparagopsis Armata,species,Portugal,swimming,sessile
200953,herbivorous,Actinia Equina,species,Asparagopsis Armata,species,Portugal,sessile,sessile
200954,herbivorous,Actinia Fragacea,species,Asparagopsis Armata,species,Portugal,sessile,sessile
200955,herbivorous,Acanthochitona Crinita,species,Asparagopsis Armata,species,Portugal,walking,sessile
200956,herbivorous,Lepidochitona Cinerea,species,Asparagopsis Armata,species,Portugal,walking,sessile
200957,herbivorous,Leptochiton Algesirensis,species,Asparagopsis Armata,species,Portugal,walking,sessile
200958,herbivorous,Patella Vulgata,species,Asparagopsis Armata,species,Portugal,other,sessile
200959,herbivorous,Gibbula Umbilicalis,species,Asparagopsis Armata,species,Portugal,walking,sessile
200961,herbivorous,Omalogyra Atomus,species,Asparagopsis Armata,species,Portugal,walking,sessile
200963,herbivorous,Aplysia Punctata,species,Asparagopsis Armata,species,Portugal,walking,sessile
