autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
177760,predacious,Aulostomus Maculatus,species,Acanthurus Chirugus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177761,predacious,Sargocentron Vexillarium,species,Acanthurus Chirugus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177762,predacious,Cephalopholis Fulva,species,Acanthurus Chirugus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177763,predacious,Aulostomus Maculatus,species,Acanthurus Coeruleus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177764,predacious,Sargocentron Vexillarium,species,Acanthurus Coeruleus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177765,predacious,Cephalopholis Fulva,species,Acanthurus Coeruleus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177766,predacious,Negaprion Brevirostris,species,Aetobatus Narinari,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177767,predacious,Cephalopholis Fulva,species,Aulostomus Maculatus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177768,predacious,Tylosurus Acus Acus,species,Carangoides Bartholomaei,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177769,predacious,Synodus Intermedius,species,Carangoides Bartholomaei,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177770,predacious,Tylosurus Acus Acus,species,Carangoides Latus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177771,predacious,Synodus Intermedius,species,Carangoides Latus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177772,predacious,Tylosurus Acus Acus,species,Carangoides Ruber,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177773,predacious,Synodus Intermedius,species,Carangoides Ruber,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177774,predacious,Lutjanus Synagris,species,Chilomycterus Antennatus,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
177775,predacious,Carcharhinus Limbatus,species,Dasyatis Americana,species,Puerto Rico-Virgin Islands (PRVI) shelf complex,swimming,swimming
