autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
153043,predacious,Limosa Fedoa,species,Carinoma Mutabilis,species,"Santa Barbara, California, USA",flying,walking
153046,predacious,Recurvirostra Americana,species,Carinoma Mutabilis,species,"Santa Barbara, California, USA",flying,walking
153050,predacious,Recurvirostra Americana,species,Culex Tarsalis,species,"Santa Barbara, California, USA",flying,swimming
153051,predacious,Catoptrophorus Semipalmatus,species,Carinoma Mutabilis,species,"Santa Barbara, California, USA",flying,walking
153053,predacious,Limosa Fedoa,species,Capitella Capitata,species,"Santa Barbara, California, USA",flying,sessile
153054,predacious,Catoptrophorus Semipalmatus,species,Culex Tarsalis,species,"Santa Barbara, California, USA",flying,swimming
153055,predacious,Recurvirostra Americana,species,Aedes Taeniorhynchus,species,"Santa Barbara, California, USA",flying,swimming
153056,predacious,Pluvialis Squatarola,species,Carinoma Mutabilis,species,"Santa Barbara, California, USA",flying,walking
153057,predacious,Limosa Fedoa,species,Polydora Nuchalis,species,"Santa Barbara, California, USA",flying,sessile
153059,predacious,Catoptrophorus Semipalmatus,species,Aedes Taeniorhynchus,species,"Santa Barbara, California, USA",flying,swimming
153060,predacious,Recurvirostra Americana,species,Capitella Capitata,species,"Santa Barbara, California, USA",flying,sessile
153061,predacious,Limosa Fedoa,species,Traskorchestia Traskiana,species,"Santa Barbara, California, USA",flying,walking
153063,predacious,Recurvirostra Americana,species,Polydora Nuchalis,species,"Santa Barbara, California, USA",flying,sessile
153064,predacious,Catoptrophorus Semipalmatus,species,Capitella Capitata,species,"Santa Barbara, California, USA",flying,sessile
153069,predacious,Tringa Melanoleuca,species,Carinoma Mutabilis,species,"Santa Barbara, California, USA",flying,walking
153071,predacious,Catoptrophorus Semipalmatus,species,Polydora Nuchalis,species,"Santa Barbara, California, USA",flying,sessile
153073,predacious,Pluvialis Squatarola,species,Capitella Capitata,species,"Santa Barbara, California, USA",flying,sessile
153074,predacious,Tringa Melanoleuca,species,Culex Tarsalis,species,"Santa Barbara, California, USA",flying,swimming
153075,predacious,Catoptrophorus Semipalmatus,species,Traskorchestia Traskiana,species,"Santa Barbara, California, USA",flying,walking
153076,predacious,Pluvialis Squatarola,species,Polydora Nuchalis,species,"Santa Barbara, California, USA",flying,sessile
153077,predacious,Tringa Melanoleuca,species,Aedes Taeniorhynchus,species,"Santa Barbara, California, USA",flying,swimming
