autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
160787,fungivorous,Achaeta Abulba,species,Fungal Mycelium,species,"Soest, Netherlands",walking,sessile
160789,predacious,Achipteria Coleoptrata,species,Acrobeles Ciliatus,species,"Soest, Netherlands",walking,other
160791,predacious,Achipteria Coleoptrata,species,Aglenchus Agricola,species,"Soest, Netherlands",walking,other
160805,fungivorous,Achipteria Coleoptrata,species,Fungal Mycelium,species,"Soest, Netherlands",walking,sessile
160807,predacious,Achipteria Coleoptrata,species,Heterocephalobus Elongatus,species,"Soest, Netherlands",walking,other
160810,predacious,Achipteria Coleoptrata,species,Meloidogyne Naasi,species,"Soest, Netherlands",walking,other
160811,predacious,Achipteria Coleoptrata,species,Metateratocephalus Crassidens,species,"Soest, Netherlands",walking,other
160814,predacious,Achipteria Coleoptrata,species,Paratrichodorus Teres,species,"Soest, Netherlands",walking,other
160819,predacious,Achipteria Coleoptrata,species,Pratylenchus Crenatus,species,"Soest, Netherlands",walking,other
160827,predacious,Achipteria Coleoptrata,species,Tylenchorhynchus Dubius,species,"Soest, Netherlands",walking,other
160833,predacious,Alliphis Siculus,species,Acrobeles Ciliatus,species,"Soest, Netherlands",walking,other
160835,predacious,Alliphis Siculus,species,Aglenchus Agricola,species,"Soest, Netherlands",walking,other
160838,predacious,Alliphis Siculus,species,Aporcelaimellus Obtusicaudatus,species,"Soest, Netherlands",walking,other
160853,predacious,Alliphis Siculus,species,Heterocephalobus Elongatus,species,"Soest, Netherlands",walking,other
160856,predacious,Alliphis Siculus,species,Meloidogyne Naasi,species,"Soest, Netherlands",walking,other
160857,predacious,Alliphis Siculus,species,Metateratocephalus Crassidens,species,"Soest, Netherlands",walking,other
160862,predacious,Alliphis Siculus,species,Paratrichodorus Teres,species,"Soest, Netherlands",walking,other
160867,predacious,Alliphis Siculus,species,Pratylenchus Crenatus,species,"Soest, Netherlands",walking,other
160879,predacious,Alliphis Siculus,species,Tylenchorhynchus Dubius,species,"Soest, Netherlands",walking,other
