autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
7,predacious,Emberiza Schoeniclus,species,Stilicus Rufipes,species,"Switzerland, Lake Neuchatel",flying,walking
8,predacious,Emberiza Schoeniclus,species,Trogophloeus Corticinus,species,"Switzerland, Lake Neuchatel",flying,walking
13,predacious,Emberiza Schoeniclus,species,Aphtona Lutescens,species,"Switzerland, Lake Neuchatel",flying,walking
15,predacious,Emberiza Schoeniclus,species,Pisaura Mirabilis,species,"Switzerland, Lake Neuchatel",flying,walking
16,predacious,Emberiza Schoeniclus,species,Cloeon Simile,species,"Switzerland, Lake Neuchatel",flying,flying
29,predacious,Emberiza Schoeniclus,species,Platystethus Nodifrons,species,"Switzerland, Lake Neuchatel",flying,walking
31,predacious,Emberiza Schoeniclus,species,Anacaena Limbata,species,"Switzerland, Lake Neuchatel",flying,walking
32,predacious,Emberiza Schoeniclus,species,Gabrius Fermoralis,species,"Switzerland, Lake Neuchatel",flying,walking
35,predacious,Emberiza Schoeniclus,species,Marpissa Radiata,species,"Switzerland, Lake Neuchatel",flying,walking
37,predacious,Emberiza Schoeniclus,species,Chaetocnema Confusa,species,"Switzerland, Lake Neuchatel",flying,walking
38,predacious,Emberiza Schoeniclus,species,Lesteva Sicula,species,"Switzerland, Lake Neuchatel",flying,walking
41,predacious,Emberiza Schoeniclus,species,Pelochares Versicolor,species,"Switzerland, Lake Neuchatel",flying,walking
42,predacious,Emberiza Schoeniclus,species,Diplocampa Assimile,species,"Switzerland, Lake Neuchatel",flying,walking
46,predacious,Emberiza Schoeniclus,species,Tetartopeus Terminatum,species,"Switzerland, Lake Neuchatel",flying,walking
48,predacious,Emberiza Schoeniclus,species,Argiope Bruennichi,species,"Switzerland, Lake Neuchatel",flying,walking
50,predacious,Emberiza Schoeniclus,species,Ilione Lineata,species,"Switzerland, Lake Neuchatel",flying,flying
52,predacious,Emberiza Schoeniclus,species,Trypoxylon Attenuatum,species,"Switzerland, Lake Neuchatel",flying,flying
55,predacious,Emberiza Schoeniclus,species,Pteronemobius Heydenii,species,"Switzerland, Lake Neuchatel",flying,walking
56,predacious,Emberiza Schoeniclus,species,Propylaea Quatuordecimpunctata,species,"Switzerland, Lake Neuchatel",flying,walking
58,predacious,Emberiza Schoeniclus,species,Ligidium Hypnorum,species,"Switzerland, Lake Neuchatel",flying,walking
60,predacious,Emberiza Schoeniclus,species,Chartoscirta Cincta,species,"Switzerland, Lake Neuchatel",flying,walking
62,predacious,Emberiza Schoeniclus,species,Dryops Auriculatus,species,"Switzerland, Lake Neuchatel",flying,walking
63,predacious,Emberiza Schoeniclus,species,Limnia Paludicola,species,"Switzerland, Lake Neuchatel",flying,flying
64,predacious,Emberiza Schoeniclus,species,Pachybrachius Sp,species,"Switzerland, Lake Neuchatel",flying,walking
