autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
160403,predacious,Abax Parallelepipedus,species,Carabus Granulatus,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160404,predacious,Abax Parallelepipedus,species,Carabus Nemoralis,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160405,predacious,Abax Parallelepipedus,species,Deroceras Reticulatum,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160415,predacious,Abax Parallelepipedus,species,Porcellio Scaber,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160432,predacious,Bembidion Lampros,species,Bembidion Lampros,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160441,predacious,Carabus Granulatus,species,Deroceras Reticulatum,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160447,predacious,Carabus Granulatus,species,Porcellio Scaber,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160450,predacious,Carabus Nemoralis,species,Porcellio Scaber,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160451,herbivorous,Deroceras Reticulatum,species,Anemone Nemorosa,species,"The Gearagh, South-West Cork, Ireland",walking,sessile
160457,herbivorous,Deroceras Reticulatum,species,Osmunda Regalis,species,"The Gearagh, South-West Cork, Ireland",walking,sessile
160458,herbivorous,Deroceras Reticulatum,species,Ranunculus Ficaria,species,"The Gearagh, South-West Cork, Ireland",walking,sessile
160459,herbivorous,Deroceras Reticulatum,species,Ranunculus Repens,species,"The Gearagh, South-West Cork, Ireland",walking,sessile
160460,herbivorous,Deroceras Reticulatum,species,Urtica Dioica,species,"The Gearagh, South-West Cork, Ireland",walking,sessile
160462,herbivorous,Deroceras Reticulatum,species,Veronica Montana,species,"The Gearagh, South-West Cork, Ireland",walking,sessile
160560,detritivorous,Glomeris Marginata,species,Fraxinus Excelsior,species,"The Gearagh, South-West Cork, Ireland",walking,sessile
160581,predacious,Loricera Pilicornis,species,Deroceras Reticulatum,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160590,predacious,Nebria Brevicollis,species,Deroceras Reticulatum,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160736,predacious,Platynus Assimile,species,Porcellio Scaber,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160737,predacious,Platynus Dorsale,species,Deroceras Reticulatum,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160751,detritivorous,Porcellio Scaber,species,Alnus Glutinosa,species,"The Gearagh, South-West Cork, Ireland",walking,sessile
160753,predacious,Porcellio Scaber,species,Porcellio Scaber,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160754,detritivorous,Porcellio Scaber,species,Quercus Robur,species,"The Gearagh, South-West Cork, Ireland",walking,sessile
160762,predacious,Pterostichus Melanarius,species,Arion Distinctus,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160763,predacious,Pterostichus Melanarius,species,Arion Subfuscus,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160764,predacious,Pterostichus Melanarius,species,Bembidion Lampros,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160765,predacious,Pterostichus Melanarius,species,Deroceras Reticulatum,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160777,predacious,Pterostichus Melanarius,species,Porcellio Scaber,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160778,predacious,Pterostichus Nigrita,species,Deroceras Reticulatum,species,"The Gearagh, South-West Cork, Ireland",walking,walking
160781,predacious,Pterostichus Strenuus,species,Deroceras Reticulatum,species,"The Gearagh, South-West Cork, Ireland",walking,walking
