autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
194366,herbivorous,Aphrophila Noevaezelandiae,species,Achnanthes Lanceoloata,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194368,herbivorous,Aphrophila Noevaezelandiae,species,Cymbella Kappii,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194369,herbivorous,Aphrophila Noevaezelandiae,species,Cymbella Minuta,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194371,herbivorous,Aphrophila Noevaezelandiae,species,Fragilaria Vaucheriae,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194372,herbivorous,Aphrophila Noevaezelandiae,species,Frustulia Rhomboides,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194373,herbivorous,Aphrophila Noevaezelandiae,species,Gomphonema Cf. Olivaceum,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194374,herbivorous,Aphrophila Noevaezelandiae,species,Gomphonema Parvulum,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194376,herbivorous,Aphrophila Noevaezelandiae,species,Meridion Circulare,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194377,herbivorous,Aphrophila Noevaezelandiae,species,Navicula Avenacea,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194378,herbivorous,Aphrophila Noevaezelandiae,species,Navicula Cryptocephala,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194389,herbivorous,Austroperla Cyrene,species,Achnanthes Lanceoloata,species,"Tributaries of the Taieri River, New Zealand",walking,floating
194391,herbivorous,Austroperla Cyrene,species,Cymbella Aspera,species,"Tributaries of the Taieri River, New Zealand",walking,floating
194394,herbivorous,Austroperla Cyrene,species,Meridion Circulare,species,"Tributaries of the Taieri River, New Zealand",walking,floating
194395,herbivorous,Austroperla Cyrene,species,Tabellaria Flocculosa,species,"Tributaries of the Taieri River, New Zealand",walking,floating
194398,herbivorous,Austrosimulium Australense,species,Achnanthes Lanceoloata,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194399,herbivorous,Austrosimulium Australense,species,Achnanthes Saxonica,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
194401,herbivorous,Austrosimulium Australense,species,Cymbella Aspera,species,"Tributaries of the Taieri River, New Zealand",swimming,floating
