autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
106850,herbivorous,Keratella Taurocephala,species,Cryptomonas Ovata,species,USA,swimming,floating
106851,herbivorous,Kelicottia Bostoniensis,species,Cryptomonas Ovata,species,USA,swimming,floating
106854,herbivorous,Polyarthra Remata,species,Cryptomonas Ovata,species,USA,swimming,floating
106855,herbivorous,Ascomorpha Ecaudis,species,Cryptomonas Ovata,species,USA,swimming,floating
106856,herbivorous,Conochiloides Unicornis,species,Cryptomonas Ovata,species,USA,swimming,floating
106858,herbivorous,Ploesoma Truncatum,species,Cryptomonas Ovata,species,USA,swimming,floating
106859,herbivorous,Diaptomus Minutus,species,Dinobryon Sertularia,species,USA,swimming,floating
106861,herbivorous,Polyarthra Vulgaris,species,Cryptomonas Ovata,species,USA,swimming,floating
106863,herbivorous,Diaptomus Minutus,species,Chrysocapsa Planktonica,species,USA,swimming,floating
106864,herbivorous,Trichocerca Similis,species,Cryptomonas Ovata,species,USA,swimming,floating
106865,herbivorous,Gastropus Stylifer,species,Cryptomonas Ovata,species,USA,swimming,floating
106866,herbivorous,Polyarthra Major,species,Cryptomonas Ovata,species,USA,swimming,floating
106867,herbivorous,Diaptomus Minutus,species,Schroederia Setigera,species,USA,swimming,floating
106868,herbivorous,Trichocerca Multicrinis,species,Cryptomonas Ovata,species,USA,swimming,floating
106869,herbivorous,Diaptomus Minutus,species,Pediastrum Tetras,species,USA,swimming,floating
106870,herbivorous,Bosmina Longirostris,species,Cryptomonas Ovata,species,USA,swimming,floating
106871,herbivorous,Keratella Crassa,species,Cryptomonas Ovata,species,USA,swimming,floating
106873,herbivorous,Ploesoma Hudsoni,species,Cryptomonas Ovata,species,USA,swimming,floating
106874,herbivorous,Chydorus Sphaericus,species,Cryptomonas Ovata,species,USA,swimming,floating
106875,herbivorous,Holopedium Gibberum,species,Dinobryon Sertularia,species,USA,swimming,floating
106877,herbivorous,Diaptomus Minutus,species,Arthrodesmus Incus,species,USA,swimming,floating
106878,herbivorous,Diaptomus Minutus,species,Arthrodesmus Subulatus,species,USA,swimming,floating
106879,herbivorous,Holopedium Gibberum,species,Chrysocapsa Planktonica,species,USA,swimming,floating
106880,herbivorous,Diaptomus Minutus,species,Scenedesmus Dimorphus,species,USA,swimming,floating
106881,herbivorous,Diaptomus Minutus,species,Scenedesmus Quadricauda,species,USA,swimming,floating
106883,herbivorous,Holopedium Gibberum,species,Schroederia Setigera,species,USA,swimming,floating
106884,herbivorous,Ceriodaphnia Quadrangula,species,Cryptomonas Ovata,species,USA,swimming,floating
106886,herbivorous,Holopedium Gibberum,species,Pediastrum Tetras,species,USA,swimming,floating
106888,herbivorous,Holopedium Gibberum,species,Arthrodesmus Incus,species,USA,swimming,floating
106889,herbivorous,Holopedium Gibberum,species,Arthrodesmus Subulatus,species,USA,swimming,floating
106890,herbivorous,Diaptomus Minutus,species,Cryptomonas Ovata,species,USA,swimming,floating
106891,herbivorous,Holopedium Gibberum,species,Scenedesmus Dimorphus,species,USA,swimming,floating
106892,herbivorous,Holopedium Gibberum,species,Scenedesmus Quadricauda,species,USA,swimming,floating
106894,herbivorous,Diaptomus Minutus,species,Merismopedia Punctata,species,USA,swimming,floating
106896,herbivorous,Diaphanosoma Birgei,species,Cryptomonas Ovata,species,USA,swimming,floating
106897,herbivorous,Holopedium Gibberum,species,Cryptomonas Ovata,species,USA,swimming,floating
106899,herbivorous,Holopedium Gibberum,species,Merismopedia Punctata,species,USA,swimming,floating
106906,predacious,Tropocyclops Prasinus,species,Ophryoxus Gracilis,species,USA,swimming,swimming
106907,predacious,Tropocyclops Prasinus,species,Cyclops Vernalis,species,USA,swimming,swimming
106908,predacious,Cyclops Vernalis,species,Ophryoxus Gracilis,species,USA,swimming,swimming
106909,predacious,Tropocyclops Prasinus,species,Diaptomus Minutus,species,USA,swimming,swimming
106910,predacious,Salvelinus Fontinalis,species,Salvelinus Fontinalis,species,USA,swimming,swimming
106911,predacious,Cyclops Vernalis,species,Cyclops Vernalis,species,USA,swimming,swimming
106912,predacious,Tropocyclops Prasinus,species,Tropocyclops Prasinus,species,USA,swimming,swimming
106913,predacious,Tropocyclops Prasinus,species,Ceriodaphnia Quadrangula,species,USA,swimming,swimming
106914,predacious,Cyclops Vernalis,species,Diaptomus Minutus,species,USA,swimming,swimming
106915,predacious,Tropocyclops Prasinus,species,Alona Affinis,species,USA,swimming,swimming
106916,predacious,Tropocyclops Prasinus,species,Chydorus Bicornutus,species,USA,swimming,swimming
106917,predacious,Tropocyclops Prasinus,species,Chydorus Sphaericus,species,USA,swimming,swimming
106918,predacious,Tropocyclops Prasinus,species,Ploesoma Hudsoni,species,USA,swimming,swimming
106919,predacious,Cyclops Vernalis,species,Tropocyclops Prasinus,species,USA,swimming,swimming
106920,predacious,Salvelinus Fontinalis,species,Ictalurus Nebulosus,species,USA,swimming,swimming
106921,predacious,Tropocyclops Prasinus,species,Keratella Crassa,species,USA,swimming,swimming
106922,predacious,Cyclops Vernalis,species,Ceriodaphnia Quadrangula,species,USA,swimming,swimming
106923,predacious,Tropocyclops Prasinus,species,Bosmina Longirostris,species,USA,swimming,swimming
106924,predacious,Tropocyclops Prasinus,species,Trichocerca Multicrinis,species,USA,swimming,swimming
106925,predacious,Cyclops Vernalis,species,Alona Affinis,species,USA,swimming,swimming
106926,predacious,Tropocyclops Prasinus,species,Gastropus Stylifer,species,USA,swimming,swimming
106927,predacious,Tropocyclops Prasinus,species,Polyarthra Major,species,USA,swimming,swimming
106929,predacious,Tropocyclops Prasinus,species,Trichocerca Similis,species,USA,swimming,swimming
106930,predacious,Cyclops Vernalis,species,Chydorus Bicornutus,species,USA,swimming,swimming
106931,predacious,Cyclops Vernalis,species,Chydorus Sphaericus,species,USA,swimming,swimming
106932,predacious,Cyclops Vernalis,species,Ploesoma Hudsoni,species,USA,swimming,swimming
106933,predacious,Cyclops Vernalis,species,Keratella Crassa,species,USA,swimming,swimming
106934,predacious,Tropocyclops Prasinus,species,Polyarthra Vulgaris,species,USA,swimming,swimming
106935,predacious,Tropocyclops Prasinus,species,Ploesoma Truncatum,species,USA,swimming,swimming
106936,predacious,Cyclops Vernalis,species,Bosmina Longirostris,species,USA,swimming,swimming
106937,predacious,Cyclops Vernalis,species,Trichocerca Multicrinis,species,USA,swimming,swimming
106938,predacious,Epishura Lacustris,species,Ceriodaphnia Quadrangula,species,USA,swimming,swimming
106939,predacious,Tropocyclops Prasinus,species,Ascomorpha Ecaudis,species,USA,swimming,swimming
106940,predacious,Tropocyclops Prasinus,species,Conochiloides Unicornis,species,USA,swimming,swimming
106942,predacious,Salvelinus Fontinalis,species,Notemigonus Crysoleucas,species,USA,swimming,swimming
106943,predacious,Cyclops Vernalis,species,Gastropus Stylifer,species,USA,swimming,swimming
106944,predacious,Cyclops Vernalis,species,Polyarthra Major,species,USA,swimming,swimming
106945,predacious,Cyclops Vernalis,species,Trichocerca Similis,species,USA,swimming,swimming
106946,predacious,Tropocyclops Prasinus,species,Polyarthra Remata,species,USA,swimming,swimming
106947,predacious,Cyclops Vernalis,species,Polyarthra Vulgaris,species,USA,swimming,swimming
106948,predacious,Cyclops Vernalis,species,Ploesoma Truncatum,species,USA,swimming,swimming
106949,predacious,Epishura Lacustris,species,Chydorus Sphaericus,species,USA,swimming,swimming
106950,predacious,Epishura Lacustris,species,Ploesoma Hudsoni,species,USA,swimming,swimming
106951,predacious,Epishura Lacustris,species,Keratella Crassa,species,USA,swimming,swimming
106952,predacious,Cyclops Vernalis,species,Ascomorpha Ecaudis,species,USA,swimming,swimming
106953,predacious,Cyclops Vernalis,species,Conochiloides Unicornis,species,USA,swimming,swimming
106955,predacious,Epishura Lacustris,species,Bosmina Longirostris,species,USA,swimming,swimming
106956,predacious,Epishura Lacustris,species,Trichocerca Multicrinis,species,USA,swimming,swimming
106957,predacious,Cyclops Vernalis,species,Polyarthra Remata,species,USA,swimming,swimming
106959,predacious,Epishura Lacustris,species,Gastropus Stylifer,species,USA,swimming,swimming
106960,predacious,Epishura Lacustris,species,Polyarthra Major,species,USA,swimming,swimming
106961,predacious,Epishura Lacustris,species,Trichocerca Similis,species,USA,swimming,swimming
106963,predacious,Epishura Lacustris,species,Polyarthra Vulgaris,species,USA,swimming,swimming
106964,predacious,Epishura Lacustris,species,Ploesoma Truncatum,species,USA,swimming,swimming
106966,predacious,Tropocyclops Prasinus,species,Kelicottia Bostoniensis,species,USA,swimming,swimming
106967,predacious,Epishura Lacustris,species,Ascomorpha Ecaudis,species,USA,swimming,swimming
106968,predacious,Epishura Lacustris,species,Conochiloides Unicornis,species,USA,swimming,swimming
