autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
157345,herbivorous,Amphinemura Sulcicollis,species,Achnanthes Austriaca Minor,species,United Kingdom,walking,sessile
157346,herbivorous,Amphinemura Sulcicollis,species,Achnanthes Helvetica,species,United Kingdom,walking,sessile
157347,herbivorous,Amphinemura Sulcicollis,species,Eunotia Exigua,species,United Kingdom,walking,sessile
157348,herbivorous,Amphinemura Sulcicollis,species,Eunotia Rhomboidea,species,United Kingdom,walking,sessile
157349,herbivorous,Amphinemura Sulcicollis,species,Eunotia Vanheurckii,species,United Kingdom,walking,sessile
157350,herbivorous,Amphinemura Sulcicollis,species,Fragilaria Vaucheriae,species,United Kingdom,walking,sessile
157351,herbivorous,Amphinemura Sulcicollis,species,Pinnularia Subcapitata,species,United Kingdom,walking,sessile
157352,herbivorous,Amphinemura Sulcicollis,species,Tabellaria Flocculosa,species,United Kingdom,walking,sessile
157355,herbivorous,Brachyptera Risi,species,Achnanthes Austriaca Minor,species,United Kingdom,walking,sessile
157356,herbivorous,Brachyptera Risi,species,Achnanthes Helvetica,species,United Kingdom,walking,sessile
157357,herbivorous,Brachyptera Risi,species,Eunotia Exigua,species,United Kingdom,walking,sessile
157358,herbivorous,Brachyptera Risi,species,Eunotia Rhomboidea,species,United Kingdom,walking,sessile
157359,herbivorous,Brachyptera Risi,species,Eunotia Vanheurckii,species,United Kingdom,walking,sessile
157360,herbivorous,Brachyptera Risi,species,Fragilaria Vaucheriae,species,United Kingdom,walking,sessile
157361,herbivorous,Brachyptera Risi,species,Pinnularia Subcapitata,species,United Kingdom,walking,sessile
157362,herbivorous,Brachyptera Risi,species,Tabellaria Flocculosa,species,United Kingdom,walking,sessile
157374,predacious,Chloroperla Tripunctata,species,Chloroperla Tripunctata,species,United Kingdom,walking,walking
157375,predacious,Chloroperla Tripunctata,species,Leuctra Inermis,species,United Kingdom,walking,walking
157377,predacious,Isoperla Grammatica,species,Isoperla Grammatica,species,United Kingdom,walking,walking
157378,predacious,Isoperla Grammatica,species,Leuctra Inermis,species,United Kingdom,walking,walking
157380,predacious,Isoperla Grammatica,species,Siphonoperla Torrentium,species,United Kingdom,walking,walking
157383,herbivorous,Leuctra Inermis,species,Achnanthes Austriaca Minor,species,United Kingdom,walking,sessile
157384,herbivorous,Leuctra Inermis,species,Achnanthes Helvetica,species,United Kingdom,walking,sessile
157385,herbivorous,Leuctra Inermis,species,Eunotia Exigua,species,United Kingdom,walking,sessile
157386,herbivorous,Leuctra Inermis,species,Eunotia Rhomboidea,species,United Kingdom,walking,sessile
157387,herbivorous,Leuctra Inermis,species,Eunotia Vanheurckii,species,United Kingdom,walking,sessile
157388,herbivorous,Leuctra Inermis,species,Fragilaria Vaucheriae,species,United Kingdom,walking,sessile
157389,herbivorous,Leuctra Inermis,species,Pinnularia Subcapitata,species,United Kingdom,walking,sessile
157390,herbivorous,Leuctra Inermis,species,Tabellaria Flocculosa,species,United Kingdom,walking,sessile
157393,herbivorous,Limnius Volckmari,species,Achnanthes Austriaca Minor,species,United Kingdom,walking,sessile
157394,herbivorous,Limnius Volckmari,species,Achnanthes Helvetica,species,United Kingdom,walking,sessile
157395,herbivorous,Limnius Volckmari,species,Eunotia Exigua,species,United Kingdom,walking,sessile
157396,herbivorous,Limnius Volckmari,species,Eunotia Rhomboidea,species,United Kingdom,walking,sessile
157397,herbivorous,Limnius Volckmari,species,Eunotia Vanheurckii,species,United Kingdom,walking,sessile
157398,herbivorous,Limnius Volckmari,species,Fragilaria Vaucheriae,species,United Kingdom,walking,sessile
157399,herbivorous,Limnius Volckmari,species,Pinnularia Subcapitata,species,United Kingdom,walking,sessile
157400,herbivorous,Limnius Volckmari,species,Tabellaria Flocculosa,species,United Kingdom,walking,sessile
