autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
11498,predacious,Lutra Lutra,species,Anguilla Anguilla,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11499,predacious,Lutra Lutra,species,Pholis Gunnellus,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11500,predacious,Lutra Lutra,species,Zoarces Viviparus,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11501,predacious,Lutra Lutra,species,Myoxocephalus Scorpius,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11502,predacious,Lutra Lutra,species,Salmo Trutta,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11503,predacious,Phalacrocorax Carbo,species,Anguilla Anguilla,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11504,predacious,Phalacrocorax Carbo,species,Pollachius Virens,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11505,predacious,Phalacrocorax Carbo,species,Ammodytes Tobianus,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11506,predacious,Phalacrocorax Carbo,species,Zoarces Viviparus,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11507,predacious,Phalacrocorax Carbo,species,Pomatoschistus Microps,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11508,predacious,Phalacrocorax Carbo,species,Platichthys Flesus,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11509,predacious,Phalacrocorax Carbo,species,Salmo Trutta,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11510,predacious,Ardea Cinerea,species,Anguilla Anguilla,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11511,predacious,Ardea Cinerea,species,Pollachius Virens,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11512,predacious,Ardea Cinerea,species,Ammodytes Tobianus,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11513,predacious,Ardea Cinerea,species,Pholis Gunnellus,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11514,predacious,Ardea Cinerea,species,Zoarces Viviparus,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11515,predacious,Ardea Cinerea,species,Pomatoschistus Microps,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11516,predacious,Ardea Cinerea,species,Myoxocephalus Scorpius,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11517,predacious,Ardea Cinerea,species,Platichthys Flesus,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11518,predacious,Ardea Cinerea,species,Salmo Trutta,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11519,predacious,Ardea Cinerea,species,Carcinus Maenas,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11520,herbivorous,Cygnus Olor,species,Enteromorpha,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11521,predacious,Tadorna Tadorna,species,Carcinus Maenas,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11522,predacious,Tadorna Tadorna,species,Hydrobia Ulvae,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11524,predacious,Tadorna Tadorna,species,Corophium Volutator,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11525,predacious,Tadorna Tadorna,species,Nereis Diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11526,predacious,Tadorna Tadorna,species,Littorina Littorea,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11527,predacious,Tadorna Tadorna,species,Macoma Balthica,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11528,predacious,Tadorna Tadorna,species,Mytilus Edulis,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11529,predacious,Tadorna Tadorna,species,Cerastoderma Edule,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11531,herbivorous,Tadorna Tadorna,species,Enteromorpha,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11532,herbivorous,Anas Penelope,species,Enteromorpha,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11533,predacious,Somateria Mollissima,species,Crangon Crangon,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11534,predacious,Somateria Mollissima,species,Carcinus Maenas,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11535,predacious,Somateria Mollissima,species,Littorina Littorea,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11536,predacious,Somateria Mollissima,species,Mytilus Edulis,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11537,predacious,Somateria Mollissima,species,Crangon Crangon,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11538,predacious,Somateria Mollissima,species,Hydrobia Ulvae,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11539,predacious,Somateria Mollissima,species,Corophium Volutator,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11540,predacious,Somateria Mollissima,species,Gammarus Spp.,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11541,predacious,Somateria Mollissima,species,Nereis Diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",swimming,swimming
11542,predacious,Somateria Mollissima,species,Littorina Littorea,species,"Ythan Estuary, Aberdeen, Scotland",swimming,walking
11543,predacious,Somateria Mollissima,species,Macoma Balthica,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11544,predacious,Somateria Mollissima,species,Mytilus Edulis,species,"Ythan Estuary, Aberdeen, Scotland",swimming,sessile
11545,predacious,Haematopus Ostralegus,species,Hydrobia Ulvae,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11546,predacious,Haematopus Ostralegus,species,Corophium Volutator,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11547,predacious,Haematopus Ostralegus,species,Nereis Diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11548,predacious,Haematopus Ostralegus,species,Littorina Littorea,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11549,predacious,Haematopus Ostralegus,species,Macoma Balthica,species,"Ythan Estuary, Aberdeen, Scotland",walking,sessile
11550,predacious,Haematopus Ostralegus,species,Mytilus Edulis,species,"Ythan Estuary, Aberdeen, Scotland",walking,sessile
11551,predacious,Charadrius Hiaticula,species,Neomysis Integer,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11552,predacious,Charadrius Hiaticula,species,Gammarus Spp.,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11553,predacious,Charadrius Hiaticula,species,Nereis Diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11554,predacious,Charadrius Hiaticula,species,Littorina Littorea,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11555,predacious,Pluvialis Apricaria,species,Hydrobia Ulvae,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11556,predacious,Pluvialis Apricaria,species,Corophium Volutator,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11557,predacious,Pluvialis Apricaria,species,Gammarus Spp.,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11558,predacious,Pluvialis Apricaria,species,Nereis Diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11559,predacious,Pluvialis Apricaria,species,Littorina Littorea,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11560,predacious,Pluvialis Squatarola,species,Corophium Volutator,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11561,predacious,Pluvialis Squatarola,species,Nereis Diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11562,predacious,Vanellus Vanellus,species,Hydrobia Ulvae,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11563,predacious,Vanellus Vanellus,species,Nereis Diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11564,predacious,Vanellus Vanellus,species,Macoma Balthica,species,"Ythan Estuary, Aberdeen, Scotland",walking,sessile
11565,predacious,Calidris Alpina,species,Corophium Volutator,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11566,predacious,Calidris Alpina,species,Nereis Diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11567,predacious,Limosa Lapponica,species,Nereis Diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11568,predacious,Numenius Arquata,species,Carcinus Maenas,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11569,predacious,Numenius Arquata,species,Hydrobia Ulvae,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11570,predacious,Numenius Arquata,species,Nereis Diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11571,predacious,Numenius Arquata,species,Littorina Littorea,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11572,predacious,Tringa Totanus,species,Crangon Crangon,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11573,predacious,Tringa Totanus,species,Carcinus Maenas,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11574,predacious,Tringa Totanus,species,Hydrobia Ulvae,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11576,predacious,Tringa Totanus,species,Corophium Volutator,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11577,predacious,Tringa Totanus,species,Gammarus Spp.,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11578,predacious,Tringa Totanus,species,Nereis Diversicolor,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11579,predacious,Tringa Totanus,species,Arenicola Marina,species,"Ythan Estuary, Aberdeen, Scotland",walking,sessile
11580,predacious,Tringa Totanus,species,Littorina Saxatilis,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11581,predacious,Tringa Totanus,species,Macoma Balthica,species,"Ythan Estuary, Aberdeen, Scotland",walking,sessile
11582,predacious,Tringa Totanus,species,Mytilus Edulis,species,"Ythan Estuary, Aberdeen, Scotland",walking,sessile
11584,predacious,Arenaria Interpres,species,Corophium Volutator,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
11585,predacious,Arenaria Interpres,species,Gammarus Spp.,species,"Ythan Estuary, Aberdeen, Scotland",walking,swimming
11586,predacious,Arenaria Interpres,species,Littorina Littorea,species,"Ythan Estuary, Aberdeen, Scotland",walking,walking
