
-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
USA

Grafo carregado: 585 espécies, 13895 interações
Espécies basais (grau de entrada=0): 313
Robustez Inicial: 1.0000
 0. Tabellaria Fenestrata                              ->   3 extinções | Robustez Final: 0.9949
 1. Conopeum Tenuissimum                               ->   3 extinções | Robustez Final: 0.9949
 2. Stenotomus Chrysops                                ->   3 extinções | Robustez Final: 0.9949
 3. Cryptomonas Ovata                                  ->   2 extinções | Robustez Final: 0.9966
 4. Mya Arenaria                                       ->   2 extinções | Robustez Final: 0.9966
 5. Mnemiopsis Leidyi                                  ->   2 extinções | Robustez Final: 0.9966
 6. Microciona Prolifera                               ->   2 extinções | Robustez Final: 0.9966
 7. Bowerbankia Gracilis                               ->   2 extinções | Robustez Final: 0.9966
 8. Keratella Taurocephala                             ->   1 extinções | Robustez Final: 0.9983
 9. Kelicottia Bostoniensis                            ->   1 extinções | Robustez Final: 0.9983
10. Polyarthra Remata                                  ->   1 extinções | Robustez Final: 0.9983
11. Ascomorpha Ecaudis                                 ->   1 extinções | Robustez Final: 0.9983
12. Conochiloides Unicornis                            ->   1 extinções | Robustez Final: 0.9983
13. Ploesoma Truncatum                                 ->   1 extinções | Robustez Final: 0.9983
14. Dinobryon Sertularia                               ->   1 extinções | Robustez Final: 0.9983
15. Diaptomus Minutus                                  ->   1 extinções | Robustez Final: 0.9983
16. Polyarthra Vulgaris                                ->   1 extinções | Robustez Final: 0.9983
17. Chrysocapsa Planktonica                            ->   1 extinções | Robustez Final: 0.9983
18. Trichocerca Similis                                ->   1 extinções | Robustez Final: 0.9983
19. Gastropus Stylifer                                 ->   1 extinções | Robustez Final: 0.9983
20. Polyarthra Major                                   ->   1 extinções | Robustez Final: 0.9983
21. Schroederia Setigera                               ->   1 extinções | Robustez Final: 0.9983
22. Trichocerca Multicrinis                            ->   1 extinções | Robustez Final: 0.9983
23. Pediastrum Tetras                                  ->   1 extinções | Robustez Final: 0.9983
24. Bosmina Longirostris                               ->   1 extinções | Robustez Final: 0.9983
25. Keratella Crassa                                   ->   1 extinções | Robustez Final: 0.9983
26. Ploesoma Hudsoni                                   ->   1 extinções | Robustez Final: 0.9983
27. Chydorus Sphaericus                                ->   1 extinções | Robustez Final: 0.9983
28. Holopedium Gibberum                                ->   1 extinções | Robustez Final: 0.9983
29. Arthrodesmus Incus                                 ->   1 extinções | Robustez Final: 0.9983
30. Arthrodesmus Subulatus                             ->   1 extinções | Robustez Final: 0.9983
31. Scenedesmus Dimorphus                              ->   1 extinções | Robustez Final: 0.9983
32. Scenedesmus Quadricauda                            ->   1 extinções | Robustez Final: 0.9983
33. Ceriodaphnia Quadrangula                           ->   1 extinções | Robustez Final: 0.9983
34. Merismopedia Punctata                              ->   1 extinções | Robustez Final: 0.9983
35. Diaphanosoma Birgei                                ->   1 extinções | Robustez Final: 0.9983
36. Ophryoxus Gracilis                                 ->   1 extinções | Robustez Final: 0.9983
37. Tropocyclops Prasinus                              ->   1 extinções | Robustez Final: 0.9983
38. Cyclops Vernalis                                   ->   1 extinções | Robustez Final: 0.9983
39. Salvelinus Fontinalis                              ->   1 extinções | Robustez Final: 0.9983
40. Alona Affinis                                      ->   1 extinções | Robustez Final: 0.9983
41. Chydorus Bicornutus                                ->   1 extinções | Robustez Final: 0.9983
42. Ictalurus Nebulosus                                ->   1 extinções | Robustez Final: 0.9983
43. Epishura Lacustris                                 ->   1 extinções | Robustez Final: 0.9983
44. Notemigonus Crysoleucas                            ->   1 extinções | Robustez Final: 0.9983
45. Peridinium Inconspicuum                            ->   1 extinções | Robustez Final: 0.9983
46. Peridinium Limbatum                                ->   1 extinções | Robustez Final: 0.9983
47. Peridinium Wisconsinense                           ->   1 extinções | Robustez Final: 0.9983
48. Synura Uvella                                      ->   1 extinções | Robustez Final: 0.9983
49. Uroglenopsis Americana                             ->   1 extinções | Robustez Final: 0.9983
50. Cryptomonas Erosa                                  ->   1 extinções | Robustez Final: 0.9983
51. Sphaerocystis Schroeteri                           ->   1 extinções | Robustez Final: 0.9983
52. Daphnia Catawba                                    ->   1 extinções | Robustez Final: 0.9983
53. Ilyocryptus Spinifer                               ->   1 extinções | Robustez Final: 0.9983
54. Tetraedron Minimum                                 ->   1 extinções | Robustez Final: 0.9983
55. Mallomonas Akrokomos                               ->   1 extinções | Robustez Final: 0.9983
56. Monostyla Lunaris                                  ->   1 extinções | Robustez Final: 0.9983
57. Acantholeberis Curvirostris                        ->   1 extinções | Robustez Final: 0.9983
58. Daphnia Pulex                                      ->   1 extinções | Robustez Final: 0.9983
59. Cyclotella Glomerata                               ->   1 extinções | Robustez Final: 0.9983
60. Ankistrodesmus Spiralis                            ->   1 extinções | Robustez Final: 0.9983
61. Merismopedia Tenuissima                            ->   1 extinções | Robustez Final: 0.9983
62. Beauchampiella Eudactylota                         ->   1 extinções | Robustez Final: 0.9983
63. Chroococcus Limneticus                             ->   1 extinções | Robustez Final: 0.9983
64. Chrosomus Eos                                      ->   1 extinções | Robustez Final: 0.9983
65. Semotilus Atromaculatus                            ->   1 extinções | Robustez Final: 0.9983
66. Mesocyclops Edax                                   ->   1 extinções | Robustez Final: 0.9983
67. Ceratium Carolinianum                              ->   1 extinções | Robustez Final: 0.9983
68. Kelicottia Longispina                              ->   1 extinções | Robustez Final: 0.9983
69. Gymnodinium Palustre                               ->   1 extinções | Robustez Final: 0.9983
70. Trichocerca Cylindrica                             ->   1 extinções | Robustez Final: 0.9983
71. Dinobryon Bavaricum                                ->   1 extinções | Robustez Final: 0.9983
72. Quadrigula Closterioides                           ->   1 extinções | Robustez Final: 0.9983
73. Tetraedron Caudatum                                ->   1 extinções | Robustez Final: 0.9983
74. Conochiloides Dossuarius                           ->   1 extinções | Robustez Final: 0.9983
75. Kirchneriella Lunaris                              ->   1 extinções | Robustez Final: 0.9983
76. Elakatrothrix Gelatinosa                           ->   1 extinções | Robustez Final: 0.9983
77. Scenedesmus Longus                                 ->   1 extinções | Robustez Final: 0.9983
78. Crucigenia Tetrapaedia                             ->   1 extinções | Robustez Final: 0.9983
79. Rhabdoderma Lineare                                ->   1 extinções | Robustez Final: 0.9983
80. Botryococcus Braunii                               ->   1 extinções | Robustez Final: 0.9983
81. Ankistrodesmus Falcatus                            ->   1 extinções | Robustez Final: 0.9983
82. Leptodora Kindtii                                  ->   1 extinções | Robustez Final: 0.9983
83. Salmo Rutta                                        ->   1 extinções | Robustez Final: 0.9983
84. Catostomus Commersoni                              ->   1 extinções | Robustez Final: 0.9983
85. Lepomis Gibbosus                                   ->   1 extinções | Robustez Final: 0.9983
86. Keratella Cochlearis                               ->   1 extinções | Robustez Final: 0.9983
87. Keratella Testudo                                  ->   1 extinções | Robustez Final: 0.9983
88. Daphnia Longiremis                                 ->   1 extinções | Robustez Final: 0.9983
89. Spondylosium Planum                                ->   1 extinções | Robustez Final: 0.9983
90. Chrysosphaerella Longispina                        ->   1 extinções | Robustez Final: 0.9983
91. Dictyosphaerium Pulchellum                         ->   1 extinções | Robustez Final: 0.9983
92. Polyarthra Euryptera                               ->   1 extinções | Robustez Final: 0.9983
93. Crucigenia Quadrata                                ->   1 extinções | Robustez Final: 0.9983
94. Colletheca Mutabilis                               ->   1 extinções | Robustez Final: 0.9983
