Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Laminaria Saccharina,6,5,0,25,25,0.0,0.3844,0.0015
Calanus Finnmarchicus,3,2,28,12,40,355.1,0.3582,0.0087
Boreogadus Saida,2,1,22,17,39,254.59,0.4209,0.0081
Calanus Glacialis,2,1,0,8,8,0.0,0.3275,0.0015
Metridia Lucens,2,1,1,7,8,28.0,0.3143,0.0021
Laminaria Solidungula,2,1,0,15,15,0.0,0.345,0.0015
Sabinea Septemcarinata,2,1,3,10,13,48.61,0.391,0.0024
Nereis Zonata,1,0,4,10,14,8.36,0.393,0.0021
Aglaophamus Malmgreni,1,0,12,4,16,0.72,0.357,0.0043
Nephtys Ciliata,1,0,0,9,9,0.0,0.3897,0.0015
Nereimyra Punctata,1,0,0,10,10,0.0,0.3986,0.0015
Priapulus Caudatus,1,0,0,8,8,0.0,0.3206,0.0015
Phyllodoce,1,0,0,10,10,0.0,0.3582,0.0015
Leitoscoloplos Mammosus,1,0,0,7,7,0.0,0.3663,0.0015
Heteromastus Filiformis,1,0,0,8,8,0.0,0.3779,0.0015
Levinsenia Gracilis,1,0,0,7,7,0.0,0.3663,0.0015
Lysippe Labiata,1,0,0,7,7,0.0,0.3663,0.0015
Pholoe Assimilis,1,0,0,6,6,0.0,0.3542,0.0015
Ampharete Finmarchica,1,0,0,4,4,0.0,0.3488,0.0015
Alle Alle,1,0,5,0,5,0.0,0.3038,0.0025
Thysanoessa Inermis,1,0,0,13,13,0.0,0.3979,0.0015
Meganyctiphanes Norvegica,1,0,1,13,14,3.54,0.3986,0.0017
Thysanoessa Raschii,1,0,11,14,25,124.1,0.417,0.0048
Thysanoessa Longicaudata,1,0,3,14,17,32.95,0.4109,0.0027
Gadus Morhua,1,0,74,4,78,139.46,0.5693,0.1334
Anarhichas Lupus,1,0,15,3,18,8.98,0.4809,0.0527
Reinhardtius Hippoglossoides,1,0,11,13,24,54.22,0.4117,0.0045
Hipoglossoides Platessoides,1,0,26,4,30,44.21,0.4109,0.0111
Sebastes Mentella,1,0,11,14,25,57.87,0.4193,0.0046
Lumpenus Lampretaeformis,1,0,28,6,34,140.01,0.4355,0.0231
Liparis Liparis,1,0,35,6,41,114.97,0.4871,0.0204
Leptagonus Decagonus,1,0,11,6,17,15.69,0.3965,0.0034
Anisarchus Medius,1,0,21,6,27,74.27,0.4612,0.0373
Hyas Araneus,1,0,37,5,42,124.64,0.4758,0.0168
Pandalus Borealis,1,0,5,11,16,29.7,0.4288,0.0029
Pagurus Pubescens,1,0,22,4,26,61.6,0.4484,0.0191
Sebastes Marinus,1,0,11,4,15,17.62,0.3958,0.0063
Artediellus Europeus,1,0,4,4,8,3.68,0.3897,0.0021
Liparis Fabricii,1,0,1,5,6,1.12,0.385,0.0017
Careproctus Reinhardti,1,0,2,4,6,2.43,0.3883,0.0019
Eumicotremus Derjugini,1,0,0,4,4,0.0,0.3754,0.0015
Mallotus Villosus,1,0,11,4,15,19.69,0.4072,0.0064
Leptoclinus Maculatus,1,0,6,5,11,8.98,0.4072,0.0027
Strongylocentrotus Droebachiensis,1,0,19,4,23,17.25,0.3818,0.0035
Strongylocentrotus Pallidus,1,0,20,4,24,20.05,0.3831,0.0039
Crossaster Papposus,1,0,45,4,49,92.15,0.4007,0.0285
Buccinum Scalariforme,1,0,18,1,19,6.1,0.3531,0.0032
Ophiura Robusta,1,0,2,7,9,3.65,0.4072,0.0017
Buccinum Terranovae,1,0,18,1,19,6.1,0.3531,0.0032
Ophiopholis Aculeata,1,0,0,7,7,0.0,0.4043,0.0015
Ophiocten Sericeum,1,0,11,7,18,23.61,0.4248,0.0037
Buccinum Undatum,1,0,16,1,17,5.52,0.3477,0.003
Balaenoptera Acutorostrata,1,0,7,1,8,5.84,0.3104,0.0031
Onacea Borealis,1,0,14,7,21,61.48,0.3215,0.0043
Beroe Cucumis,1,0,6,4,10,11.06,0.3877,0.0039
Metridia Longa,1,0,3,7,10,4.0,0.3156,0.0027
Bradyidius Similis,1,0,14,7,21,61.48,0.3215,0.0043
Microcalanus Pusillus,1,0,3,6,9,9.61,0.3161,0.002
Copepoda Nauplii,1,0,0,8,8,0.0,0.3338,0.0015
Pseudocalanus,1,0,0,7,7,0.0,0.3333,0.0015
Clione Limacina,1,0,0,6,6,0.0,0.3247,0.0015
Calanus Hyperboreus,1,0,1,7,8,0.0,0.3275,0.0016
Oithona Similis,1,0,0,7,7,0.0,0.3333,0.0015
Limacina Helicina,1,0,2,7,9,1.83,0.3324,0.0019
Gaidius Tenuispinus,1,0,0,2,2,0.0,0.3062,0.0015
Xanthocalanus,1,0,0,2,2,0.0,0.3062,0.0015
Fucus Distichus,1,0,0,14,14,0.0,0.3531,0.0015
Boreotrophon Truncatus,1,0,4,0,4,0.0,0.28,0.0018
Laminaria Digitata,1,0,0,20,20,0.0,0.3779,0.0015
Saccorhiza Dermatodea,1,0,0,13,13,0.0,0.3393,0.0015
Pleurosigma Stuxbergii,1,0,0,6,6,0.0,0.3201,0.0015
Globigerinita Bradyi,1,0,0,6,6,0.0,0.3201,0.0015
Thalassiosira Nordenskioeldii,1,0,0,6,6,0.0,0.3201,0.0015
Globoquadriana Pachyderma,1,0,0,6,6,0.0,0.3201,0.0015
Phaeocystis Pouchetii,1,0,0,7,7,0.0,0.3206,0.0015
Globigerina Quinqueloba,1,0,0,6,6,0.0,0.3201,0.0015
Thalassiosira Antarctica,1,0,0,6,6,0.0,0.3201,0.0015
Dinobryon Balticum,1,0,0,6,6,0.0,0.3201,0.0015
Coccolithus Pelagicus,1,0,0,6,6,0.0,0.3201,0.0015
Nitzschia Frigida,1,0,0,6,6,0.0,0.3201,0.0015
Cylindrotheca Closterium,1,0,0,7,7,0.0,0.3206,0.0015
Chaetoceros Socialis,1,0,0,6,6,0.0,0.3201,0.0015
Navicula Pelagica,1,0,0,7,7,0.0,0.3206,0.0015
Dinophysis Acuta,1,0,0,6,6,0.0,0.3201,0.0015
Urticina Eques,1,0,0,10,10,0.0,0.3466,0.0015
Palmaria Palmata,1,0,0,12,12,0.0,0.3383,0.0015
Desmarestia Viridis,1,0,0,12,12,0.0,0.3383,0.0015
Phycodrys Rubens,1,0,0,12,12,0.0,0.3383,0.0015
Hormathia Nodosa,1,0,0,10,10,0.0,0.3466,0.0015
Ptilota Gunneri,1,0,0,12,12,0.0,0.3383,0.0015
Pylaiella Littoralis,1,0,0,12,12,0.0,0.3383,0.0015
Devaleraea Ramentacea,1,0,0,12,12,0.0,0.3383,0.0015
Alaria Esculenta,1,0,0,12,12,0.0,0.3383,0.0015
Fimbrifolium Dichotomum,1,0,0,12,12,0.0,0.3383,0.0015
Turnerella Pennyi,1,0,0,12,12,0.0,0.3383,0.0015
Chordaria Flagelliformis,1,0,0,12,12,0.0,0.3383,0.0015
Desmarestia Aculeata,1,0,0,12,12,0.0,0.3383,0.0015
Calidris Maritima,1,0,3,0,3,0.0,0.3038,0.0024
Cepphus Grylle,1,0,1,0,1,0.0,0.2966,0.0019
Harmothoe Imbricata,1,0,3,8,11,5.76,0.3773,0.0019
Tonicella Marmorea,1,0,16,1,17,3.25,0.3152,0.003
Gattyana Cirrhosa,1,0,6,3,9,11.19,0.3565,0.0027
Tonicella Rubra,1,0,16,1,17,3.25,0.3152,0.003
Cossura Longocirrata,1,0,0,3,3,0.0,0.3482,0.0015
Thelepus Cincinnatus,1,0,0,2,2,0.0,0.3461,0.0015
Boreacola Maltzani,1,0,0,2,2,0.0,0.3504,0.0015
Terebellides Stroemi,1,0,0,3,3,0.0,0.3482,0.0015
Halicryptus Spinulosus,1,0,0,3,3,0.0,0.2931,0.0015
Glycera Capitata,1,0,2,6,8,3.17,0.3883,0.0017
Scoletoma Fragilis,1,0,0,3,3,0.0,0.3482,0.0015
Diplocirrus Hirsutus,1,0,0,3,3,0.0,0.3482,0.0015
Diplodonta Torelli,1,0,0,2,2,0.0,0.3504,0.0015
Prionospio Cirrifera,1,0,0,3,3,0.0,0.3482,0.0015
Sabellides Octocirrata,1,0,0,3,3,0.0,0.3482,0.0015
Samytha Sexcirrata,1,0,0,3,3,0.0,0.3482,0.0015
Scoloplos Armiger,1,0,0,3,3,0.0,0.3482,0.0015
Axinopsida Orbiculata,1,0,0,2,2,0.0,0.3504,0.0015
Ciliatocardium Ciliatum,1,0,0,2,2,0.0,0.3504,0.0015
Bylgides Elegans,1,0,0,3,3,0.0,0.3482,0.0015
Brada Inhabilis,1,0,0,2,2,0.0,0.3461,0.0015
Bylgides Groenlandica,1,0,0,3,3,0.0,0.3482,0.0015
Brada Villosa,1,0,0,2,2,0.0,0.3461,0.0015
Capitella Capitata,1,0,0,3,3,0.0,0.3482,0.0015
Dephinapterus Leucas,1,0,3,0,3,0.0,0.3038,0.0024
Erginus Rubellus,1,0,16,1,17,4.98,0.344,0.003
Erignathus Barbatus,1,0,5,1,6,3.65,0.317,0.0032
Mya Truncata,1,0,0,4,4,0.0,0.2659,0.0015
