Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Bryopsis Plumosa,1,0,0,10,10,0.0,0.5,0.0047
Eulithidium Affine,1,0,30,6,36,34.38,0.6702,0.0131
Tegula Viridula,1,0,29,2,31,6.06,0.6238,0.0127
Eriphia Gonagra,1,0,36,3,39,37.82,0.6923,0.066
Pomacanthus Paru,1,0,18,0,18,0.0,0.4846,0.0123
Abudefduf Saxatilis,1,0,21,0,21,0.0,0.5081,0.0095
Pachygrapsus Transversus,1,0,32,3,35,13.23,0.6495,0.0424
Ischnochiton Striolatus,1,0,26,2,28,14.9,0.5943,0.0108
Menippe Nodifrons,1,0,31,3,34,76.42,0.6562,0.0887
Engina Turbinella,1,0,26,4,30,39.83,0.6117,0.0107
Clibanarius Antillensis,1,0,31,2,33,34.66,0.6495,0.0281
Caulerpa Racemosa,1,0,0,24,24,0.0,0.6058,0.0047
Caulerpa Prolifera,1,0,0,23,23,0.0,0.6,0.0047
Caulerpa Scalpelliformis,1,0,0,24,24,0.0,0.6058,0.0047
Codium Decorticatum,1,0,0,10,10,0.0,0.5,0.0047
Valonia Aegagropila,1,0,0,18,18,0.0,0.5676,0.0047
Ulva Lactuca,1,0,0,24,24,0.0,0.6058,0.0047
Dictyopteris Delicatula,1,0,0,17,17,0.0,0.5478,0.0047
Lobophora Variegata,1,0,0,21,21,0.0,0.5833,0.0047
Padina Gymnospora,1,0,0,22,22,0.0,0.5888,0.0047
Sargassum Vulgare,1,0,0,19,19,0.0,0.5625,0.0047
Sphacelaria Sp.,1,0,0,22,22,0.0,0.5943,0.0047
Hypnea Musciformis,1,0,0,24,24,0.0,0.6117,0.0047
Gracilaria Domingensis,1,0,0,10,10,0.0,0.5,0.0047
Cryptonemia Crenulata,1,0,0,20,20,0.0,0.578,0.0047
Plocamium Brasiliense,1,0,0,20,20,0.0,0.578,0.0047
Cinachyrella Alloclada,1,0,0,2,2,0.0,0.3913,0.0047
Protopalythoa Variabilis,1,0,0,2,2,0.0,0.4091,0.0047
Stramonita Haemastoma,1,0,2,4,6,20.0,0.4599,0.011
Columbella Mercatoria,1,0,22,1,23,0.0,0.5478,0.0093
Bathygobius Soporator,1,0,34,5,39,106.57,0.6774,0.0799
Scartella Cristata,1,0,22,4,26,0.0,0.5833,0.0114
Ischnoplax Pectinata,1,0,15,1,16,0.0,0.5164,0.0077
Hippolyte Obliquimanus,1,0,24,2,26,12.83,0.578,0.0115
Dictyota Menstrualis,1,0,0,17,17,0.0,0.5385,0.0047
Sargassum Cymosum,1,0,0,10,10,0.0,0.5,0.0047
Lithophyllum Sp.,1,0,0,22,22,0.0,0.5888,0.0047
Anemonia Sargassensis,1,0,5,0,5,0.0,0.4468,0.0325
Bryopsis Pennata,1,0,0,18,18,0.0,0.5625,0.0047
Fissurella Rosea,1,0,24,7,31,38.32,0.63,0.0106
Epialtus Brasiliensis,1,0,22,1,23,4.5,0.525,0.0093
Spatoglossum Schroederi,1,0,0,21,21,0.0,0.5833,0.0047
Cerithium Atratum,1,0,19,1,20,19.0,0.5081,0.0088
Bittiolum Varium,1,0,6,0,6,0.0,0.4065,0.0058
Acanthophora Spicifera,1,0,0,21,21,0.0,0.5833,0.0047
Gracilaria Sp.,1,0,0,22,22,0.0,0.5943,0.0047
Chthamalus Bisinuatus,1,0,0,1,1,0.0,0.3166,0.0047
Centroceras Clavulatum,1,0,0,19,19,0.0,0.5526,0.0047
Chondria Curvilineata,1,0,0,8,8,0.0,0.4667,0.0047
Aplysia Dactylomela,1,0,24,2,26,4.43,0.5888,0.0103
Dictyota Mertensii,1,0,0,12,12,0.0,0.504,0.0047
Gracilaria Birdiae,1,0,0,19,19,0.0,0.5625,0.0047
Aurantilaria Aurantiaca,1,0,3,1,4,0.0,0.3795,0.0966
Panopeus Herbstii,1,0,3,4,7,8.67,0.4737,0.0134
Neogonodactylus Sp.,1,0,9,0,9,0.0,0.4809,0.0549
Lithopoma Phoebium,1,0,19,1,20,2.71,0.5122,0.0085
Caulerpa Cupressoides,1,0,0,12,12,0.0,0.5164,0.0047
Palaemon Northropi,1,0,15,1,16,0.0,0.5294,0.0668
Haemulon Parra,1,0,19,0,19,0.0,0.5676,0.0544
Callinectes Ornatus,1,0,8,2,10,0.67,0.4846,0.0357
Gelidium Pusillum,1,0,0,4,4,0.0,0.4468,0.0047
Lysmata Sp.,1,0,0,1,1,0.0,0.4065,0.0047
Astyris Lunata,1,0,13,0,13,0.0,0.45,0.0076
Chaetomorpha Gracilaris,1,0,0,7,7,0.0,0.4701,0.0047
