Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Bathygobius Soporator,3,2,11,4,15,49.09,0.5467,0.056
Ulva Lactuca,1,0,0,16,16,0.0,0.5616,0.0097
Lottia Subrugosa,1,0,8,1,9,1.42,0.5,0.0164
Nodilittorina Lineolata,1,0,7,2,9,4.9,0.4659,0.0187
Tetraclita Stalactifera,1,0,0,2,2,0.0,0.3203,0.0097
Stramonita Haemastoma,1,0,3,1,4,4.0,0.3832,0.0238
Eriphia Gonagra,1,0,9,1,10,5.2,0.5125,0.0515
Mytilaster Solisianus,1,0,0,5,5,0.0,0.4607,0.0097
Morula Nodulosa,1,0,2,1,3,1.0,0.3942,0.0155
Pachygrapsus Transversus,1,0,14,4,18,28.69,0.5616,0.0552
Clibanarius Vittatus,1,0,5,2,7,1.11,0.4713,0.0142
Bunodosoma Caissarum,1,0,9,0,9,0.0,0.4457,0.1002
Scartella Cristata,1,0,8,2,10,2.07,0.4767,0.0173
Alpheus Formosus,1,0,4,2,6,1.11,0.4659,0.0121
Palaemon Northropi,1,0,5,3,8,1.11,0.4659,0.0169
Odontesthes Argentinensis,1,0,0,4,4,0.0,0.4607,0.0097
Callinectes Sapidus,1,0,1,2,3,0.0,0.4184,0.0216
Ischnochiton Striolatus,1,0,5,2,7,5.59,0.4767,0.0128
Tegula Viridula,1,0,5,1,6,0.59,0.4659,0.0128
Microphrys Bicornutus,1,0,8,0,8,0.0,0.4227,0.0244
Sargassum Cymosum,1,0,0,12,12,0.0,0.5062,0.0097
Hypnea Musciformis,1,0,0,14,14,0.0,0.5325,0.0097
Hymeniacidon Heliophila,1,0,0,1,1,0.0,0.2993,0.0097
Rhizoclonium Riparium,1,0,0,2,2,0.0,0.3796,0.0097
Asteronema Breviarticulatum,1,0,0,8,8,0.0,0.4505,0.0097
Acanthophora Spicifera,1,0,0,12,12,0.0,0.4881,0.0097
Jania Rubens,1,0,0,6,6,0.0,0.4141,0.0097
Fissurella Clenchi,1,0,8,2,10,3.81,0.5256,0.0173
Caulerpa Racemosa,1,0,0,14,14,0.0,0.5125,0.0097
Colpomenia Peregrina,1,0,0,5,5,0.0,0.4227,0.0097
Bunodosoma Cangicum,1,0,18,0,18,0.0,0.5694,0.1552
Litopenaeus Schmitti,1,0,3,1,4,0.31,0.4457,0.0115
Eurypanopeus Abreviatus,1,0,4,3,7,16.0,0.4362,0.0384
Crassostrea Virginica,1,0,0,1,1,0.0,0.306,0.0097
Barbatia Candida,1,0,0,2,2,0.0,0.3727,0.0097
Cronius Ruber,1,0,1,2,3,0.0,0.4184,0.0216
Chaetomorpha Gracilis,1,0,0,7,7,0.0,0.4505,0.0097
Echinometra Lucunter,1,0,7,0,7,0.0,0.41,0.0242
Megabalanus Tintinnabulum,1,0,0,1,1,0.0,0.2789,0.0097
Cerithium Atratum,1,0,2,0,2,0.0,0.3727,0.011
Ophiactis Savignyiã¡,1,0,1,1,2,0.0,,0.0648
Holothuria Grisea,1,0,0,1,1,0.0,0.3661,0.0097
Malacoctenus Delalandii,1,0,3,1,4,0.0,0.3942,0.0115
