Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Ulvaria Obscura,1,0,0,11,11,0.0,0.569,0.0057
Littorina Littorea,1,0,17,1,18,2.83,0.5789,0.0165
Littorina Obtusata,1,0,18,2,20,7.92,0.6226,0.0177
Littorina Saxatilis,1,0,18,1,19,4.58,0.6111,0.0177
Testudinalia Testudinalis,1,0,17,2,19,7.08,0.6,0.0165
Gammarus Oceanicus,1,0,19,3,22,25.08,0.7021,0.0255
Cancer Irroratus,1,0,14,1,15,0.0,0.55,0.322
Strongylocentrotus Droebachiensis,1,0,9,1,10,0.0,0.4521,0.0107
Dictyosiphon Foeniculaceus,1,0,0,10,10,0.0,0.55,0.0057
Alaria Esculenta,1,0,0,7,7,0.0,0.4925,0.0057
Ralfsia Verrucosa,1,0,0,11,11,0.0,0.569,0.0057
Saccharina Latissima,1,0,0,7,7,0.0,0.4925,0.0057
Rhodomela Lycopodioides,1,0,0,9,9,0.0,0.55,0.0057
Clathromorphum Circumscriptum,1,0,0,11,11,0.0,0.569,0.0057
Hildenbrandia Rubra,1,0,0,8,8,0.0,0.5323,0.0057
Wildemania Miniata,1,0,0,7,7,0.0,0.4925,0.0057
Pholoe Minuta,1,0,2,2,4,0.0,0.3113,0.0141
Eteone Longa,1,0,6,1,7,0.0,0.44,0.2956
Fabricia Stellaris,1,0,0,2,2,0.0,0.3113,0.0057
Aulactinia Stella,1,0,4,0,4,0.0,0.4583,0.0424
Petalonia Fascia,1,0,0,8,8,0.0,0.5323,0.0057
Alitta Virens,1,0,13,3,16,8.5,0.6226,0.0439
Hediste Diversicolor,1,0,16,3,19,13.0,0.66,0.0458
Monostroma Grevillei,1,0,0,7,7,0.0,0.5156,0.0057
Coilodesme Bulligera,1,0,0,8,8,0.0,0.5238,0.0057
Jaera Albifrons,1,0,7,1,8,0.0,0.5077,0.0092
Chordaria Flagelliformis,1,0,0,9,9,0.0,0.541,0.0057
Ralfsia Fungiformis,1,0,0,8,8,0.0,0.5238,0.0057
Rhodomela Confervoides,1,0,0,6,6,0.0,0.5077,0.0057
Gayralia Oxysperma,1,0,0,4,4,0.0,0.4583,0.0057
Ascophyllum Nodosum,1,0,0,7,7,0.0,0.5156,0.0057
Skeneopsis Planorbis,1,0,6,0,6,0.0,0.4125,0.0087
Devaleraea Ramentacea,1,0,0,4,4,0.0,0.4583,0.0057
Polydora Websteri,1,0,0,1,1,0.0,0.3084,0.0057
