Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Amphidinium Hadai,1,0,2,33,35,0.0,0.477,0.0006
Bodo Saltans,1,0,2,30,32,0.0,0.477,0.0006
Gyrodinium Lachryama,1,0,2,33,35,0.0,0.477,0.0006
Actinocyclus Actinochilus,1,0,0,81,81,0.0,0.5248,0.0005
Parvicorbucula Socialis,1,0,59,30,89,0.0,0.5096,0.0009
Actinocyclus Spiritus,1,0,0,81,81,0.0,0.5248,0.0005
Actinocyclus Utricularis,1,0,0,81,81,0.0,0.5248,0.0005
Azpeitia Tabularis,1,0,0,81,81,0.0,0.5248,0.0005
Banquisia Belgicae,1,0,0,81,81,0.0,0.5248,0.0005
Chaetoceros Bulbosum,1,0,0,81,81,0.0,0.5248,0.0005
Chaetoceros Concavicornis,1,0,0,81,81,0.0,0.5248,0.0005
Chaetoceros Criophilum,1,0,0,81,81,0.0,0.5248,0.0005
Chaetoceros Dichaeta,1,0,0,81,81,0.0,0.5248,0.0005
Chaetoceros Flexuosum,1,0,0,81,81,0.0,0.5248,0.0005
Chaetoceros Neglectum,1,0,0,81,81,0.0,0.5248,0.0005
Chaetoceros Pelagicus,1,0,0,81,81,0.0,0.5248,0.0005
Chaetoceros Socialis,1,0,0,81,81,0.0,0.5248,0.0005
Corethron Criophilum,1,0,0,81,81,0.0,0.5248,0.0005
Coscinodiscus Oculoides,1,0,0,81,81,0.0,0.5248,0.0005
Cylindrotheca Closterium,1,0,0,81,81,0.0,0.5248,0.0005
Eucampia Antarctica,1,0,0,81,81,0.0,0.5248,0.0005
Fragilariopsis Curta,1,0,0,81,81,0.0,0.5248,0.0005
Fragilariopsis Cylindrus,1,0,0,81,81,0.0,0.5248,0.0005
Fragilariopsis Kerguelensis,1,0,0,81,81,0.0,0.5248,0.0005
Fragilariopsis Linearis,1,0,0,81,81,0.0,0.5248,0.0005
Fragilariopsis Nana,1,0,0,81,81,0.0,0.5248,0.0005
Fragilariopsis Obliquecostata,1,0,0,81,81,0.0,0.5248,0.0005
Fragilariopsis Pseudonana,1,0,0,81,81,0.0,0.5248,0.0005
Fragilariopsis Rhombica,1,0,0,81,81,0.0,0.5248,0.0005
Fragilariopsis Ritscheri,1,0,0,81,81,0.0,0.5248,0.0005
Fragilariopsis Separanda,1,0,0,81,81,0.0,0.5248,0.0005
Fragilariopsis Sublinearis,1,0,0,81,81,0.0,0.5248,0.0005
Fragilariopsis Vanheurckii,1,0,0,81,81,0.0,0.5248,0.0005
Manguinea Fusiformis,1,0,0,81,81,0.0,0.5248,0.0005
Manguinea Rigida,1,0,0,81,81,0.0,0.5248,0.0005
Navicula Glaciei,1,0,0,81,81,0.0,0.5248,0.0005
Navicula Schefterae,1,0,0,81,81,0.0,0.5248,0.0005
Nitzschia Kerguelensis,1,0,0,81,81,0.0,0.5248,0.0005
Nitzschia Lecointei,1,0,0,81,81,0.0,0.5248,0.0005
Nitzschia Neglecta,1,0,0,81,81,0.0,0.5248,0.0005
Odontella Weissflogii,1,0,0,81,81,0.0,0.5248,0.0005
Porosira Glacialis,1,0,0,81,81,0.0,0.5248,0.0005
Porosira Pseudodenticulata,1,0,0,81,81,0.0,0.5248,0.0005
Proboscia Alata,1,0,0,81,81,0.0,0.5248,0.0005
Proboscia Inermi,1,0,0,81,81,0.0,0.5248,0.0005
Proboscia Truncata,1,0,0,81,81,0.0,0.5248,0.0005
Pseudo-Nitzschia Heimii,1,0,0,81,81,0.0,0.5248,0.0005
Pseudo-Nitzschia Liniola,1,0,0,81,81,0.0,0.5248,0.0005
Pseudo-Nitzschia Prolongatoides,1,0,0,81,81,0.0,0.5248,0.0005
Pseudo-Nitzschia Subcurvata,1,0,0,81,81,0.0,0.5248,0.0005
Rhizosolenia Antennata,1,0,0,81,81,0.0,0.5248,0.0005
Stellarima Microtrias,1,0,0,81,81,0.0,0.5248,0.0005
Thalassiosira Antarctica,1,0,0,81,81,0.0,0.5248,0.0005
Thalassiosira Australis,1,0,0,81,81,0.0,0.5248,0.0005
Thalassiosira Frenguelliopsis,1,0,0,81,81,0.0,0.5248,0.0005
Thalassiosira Gracilis,1,0,0,81,81,0.0,0.5248,0.0005
Thalassiosira Gracilis Expecta,1,0,0,81,81,0.0,0.5248,0.0005
Thalassiosira Gravida,1,0,0,81,81,0.0,0.5248,0.0005
Thalassiosira Lentiginosa,1,0,0,81,81,0.0,0.5248,0.0005
Thalassiosira Ritscheri,1,0,0,81,81,0.0,0.5248,0.0005
Thalassiosira Trifulta,1,0,0,81,81,0.0,0.5248,0.0005
Thalassiosira Tumida,1,0,0,81,81,0.0,0.5248,0.0005
Trichotoxon Reinboldii,1,0,0,81,81,0.0,0.5248,0.0005
Cassidulinoides Parkerianus,1,0,59,25,84,84.98,0.5085,0.0009
Cibicides Refulgens,1,0,59,28,87,84.98,0.5102,0.0009
Globocassidulina Crassa,1,0,59,28,87,84.98,0.5102,0.0009
Lenticulina Antarctica,1,0,59,29,88,84.98,0.5151,0.0009
Neogloboquadriana Pachyderma,1,0,59,32,91,84.98,0.5236,0.0009
Euphausia Crystallorophias,1,0,65,66,131,505.08,0.5521,0.001
Dictyocha Speculum,1,0,0,30,30,0.0,0.476,0.0005
Phaeocystis Antarctica,1,0,0,30,30,0.0,0.476,0.0005
Euphausia Frigida,1,0,75,61,136,500.65,0.5605,0.0011
Rhincalanus Gigas,1,0,70,93,163,390.78,0.581,0.001
Calanus Propinquus,1,0,70,92,162,398.42,0.5803,0.001
Calanoides Acutus,1,0,71,92,163,433.39,0.581,0.001
Metridia Gerlachei,1,0,70,93,163,432.42,0.581,0.001
Paraeuchaeta Antarctica,1,0,73,95,168,651.16,0.5838,0.001
Clione Limacina,1,0,2,48,50,0.0,0.4958,0.0005
Clione Antarctica,1,0,2,53,55,0.12,0.4974,0.0005
Clio Pyramidata,1,0,6,51,57,13.57,0.5016,0.0006
Limacina Helicina Antarctica,1,0,6,55,61,174.51,0.5118,0.0006
Thysanoessa Macrura,1,0,79,64,143,1177.56,0.5652,0.0019
Rhodalia Miranda,1,0,16,3,19,9.87,0.4133,0.0007
Atolla Wyvillei,1,0,16,3,19,9.87,0.4133,0.0007
Dimophyes Arctica,1,0,16,3,19,9.87,0.4133,0.0007
Diphyes Antarctica,1,0,16,3,19,9.87,0.4133,0.0007
Euphausia Superba,1,0,75,87,162,1173.15,0.5896,0.0011
Ampelisca Richardsoni,1,0,59,48,107,79.37,0.5312,0.0009
Abyssorchomene Rossi,1,0,115,48,163,297.19,0.5754,0.0025
Pelagobia Longicirrata,1,0,65,71,136,579.75,0.5638,0.0009
Rhynchonereella Bongraini,1,0,65,19,84,140.36,0.5074,0.0009
Laetmonice Producta,1,0,69,66,135,393.54,0.5476,0.0058
Harmothoe Spinosa,1,0,146,64,210,1598.27,0.6015,0.0127
Harmothoe Crosetensis,1,0,104,64,168,768.2,0.5665,0.0075
Harmotoe Hartmanae,1,0,104,64,168,768.2,0.5665,0.0075
Polyeunoa Laevis,1,0,50,59,109,328.46,0.542,0.0026
Barrukia Cristata,1,0,33,65,98,239.65,0.5174,0.0041
Eulagisca Gigantea,1,0,76,65,141,629.73,0.5566,0.0091
Eunoe Spica,1,0,144,68,212,3667.47,0.6038,0.0162
Eunoe Hartmanae,1,0,87,64,151,503.01,0.5599,0.0061
Eunoe Spica Spicoides,1,0,183,64,247,4024.2,0.6343,0.0173
Vanadis Antarctica,1,0,75,64,139,639.85,0.5592,0.001
Pista Spinifera,1,0,0,64,64,0.0,0.5069,0.0005
