Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Colpomenia Peregrina,1,0,0,20,20,0.0,0.5876,0.0028
Procerodes Littoralis,1,0,5,0,5,0.0,0.4161,0.0034
Tonicella Rubra,1,0,5,1,6,0.0,0.5,0.0034
Littorina Saxatilis,1,0,8,2,10,0.45,0.5182,0.0039
Littorina Littorea,1,0,18,2,20,2.45,0.57,0.0066
Patella Vulgata,1,0,18,5,23,12.17,0.6264,0.0066
Patella Depressa,1,0,5,2,7,0.0,0.5044,0.0034
Patella Ulyssiponensis,1,0,5,2,7,0.0,0.5044,0.0034
Gibbula Umbilicalis,1,0,22,1,23,0.4,0.5938,0.0078
Gibbula Cineraria,1,0,21,4,25,12.32,0.6333,0.0071
Phorcus Lineatus,1,0,13,6,19,7.32,0.5938,0.0047
Palaemon Serratus,1,0,28,3,31,17.62,0.6628,0.024
Pagurus Bernhardus,1,0,20,5,25,19.48,0.6404,0.0238
Carcinus Maenas,1,0,45,6,51,116.7,0.8261,0.1122
Membranipora Membranaceae,1,0,21,4,25,26.02,0.6196,0.0071
Oshurkovia Littoralis,1,0,6,1,7,0.0,0.4914,0.0049
Fucus Serratus,1,0,0,22,22,0.0,0.6129,0.0028
Fucus Vesiculosus,1,0,0,20,20,0.0,0.5938,0.0028
Rhodomela Confervoides,1,0,0,18,18,0.0,0.5758,0.0028
Corallina Officinalis,1,0,0,22,22,0.0,0.6129,0.0028
Austrominius Modestus,1,0,0,1,1,0.0,0.456,0.0028
Spirorbis Spirorbis,1,0,0,5,5,0.0,0.5044,0.0028
Omalogyra Atomus,1,0,24,7,31,41.82,0.6867,0.0086
Ascophyllum Nodosum,1,0,0,4,4,0.0,0.4872,0.0028
Ectocarpus Siliculosus,1,0,0,9,9,0.0,0.5229,0.0028
Ulva Lactuca,1,0,0,17,17,0.0,0.57,0.0028
Palaemon Elegans,1,0,17,3,20,2.0,0.5876,0.0107
Nymphon Gracile,1,0,13,0,13,0.0,0.475,0.0054
Ulva Linza,1,0,0,16,16,0.0,0.5644,0.0028
Ulva Intestinalis,1,0,0,9,9,0.0,0.5229,0.0028
Saccharina Latissima,1,0,0,9,9,0.0,0.5229,0.0028
Dictyota Dichotoma,1,0,0,9,9,0.0,0.5229,0.0028
Lomentaria Articulata,1,0,0,16,16,0.0,0.57,0.0028
Chondrus Crispus,1,0,0,9,9,0.0,0.5229,0.0028
Mastocarpus Stellatus,1,0,0,9,9,0.0,0.5229,0.0028
Furcellaria Lumbricalis,1,0,0,17,17,0.0,0.57,0.0028
Palmaria Palmata,1,0,0,17,17,0.0,0.5816,0.0028
Lineus Ruber,1,0,6,0,6,0.0,0.4161,0.0037
Ophiocomina Nigra,1,0,6,0,6,0.0,0.4161,0.0037
Nucella Lapillus,1,0,19,7,26,25.87,0.6477,0.0085
Pomatoschistus Minutus,1,0,8,2,10,0.0,0.5044,0.0341
Lithophyllum Incrustans,1,0,0,10,10,0.0,0.5229,0.0028
Actinia Equina,1,0,28,1,29,0.0,0.6552,0.4854
Desmarestia Aculeata,1,0,0,7,7,0.0,0.475,0.0028
Chorda Filum,1,0,0,7,7,0.0,0.475,0.0028
Sargassum Muticum,1,0,0,7,7,0.0,0.475,0.0028
Halurus Equisetifolius,1,0,0,13,13,0.0,0.5429,0.0028
Jania Rubens,1,0,0,13,13,0.0,0.5429,0.0028
Anemonia Viridis,1,0,6,1,7,0.0,0.4711,0.0088
Solecurtus Strigilatus,1,0,0,3,3,0.0,0.4872,0.0028
Amphipholis Squamata,1,0,0,3,3,0.0,0.4043,0.0028
Acanthochitona Crinita,1,0,4,1,5,0.4,0.4831,0.0039
Phymatolithon Calcareum,1,0,0,5,5,0.0,0.456,0.0028
Nemalion Helminthoides,1,0,0,7,7,0.0,0.5089,0.0028
Symphodus Melops,1,0,12,3,15,0.0,0.5588,0.0316
Gobius Paganellus,1,0,15,3,18,4.0,0.5644,0.0578
Cancer Pagurus,1,0,6,5,11,0.0,0.5135,0.0307
Mytilus Galloprovincialis,1,0,0,3,3,0.0,0.4872,0.0028
