Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Rhizophora Mangle,49,48,0,44,44,0.0,0.6294,0.0024
Littorina Angulifera,2,1,1,4,5,2.2,0.512,0.0024
Ornitnonyssus Bursa,1,0,0,4,4,0.0,0.5071,0.0024
Agelaius Phoeniceus,1,0,105,0,105,0.0,0.9817,0.117
Carthasis Decoratus,1,0,19,12,31,78.58,0.5753,0.0092
Metatropiphorus Belfragei,1,0,19,12,31,78.58,0.5753,0.0092
Cheyletia Wellsi,1,0,10,3,13,22.67,0.5323,0.0058
Carpoglyphus Lactis,1,0,1,4,5,0.33,0.512,0.0024
Tyrophagus Putrescentiae,1,0,0,4,4,0.0,0.5071,0.0024
Rhizoglyphus Callae,1,0,0,4,4,0.0,0.5071,0.0024
Ooencyrtus Submetallicus,1,0,34,7,41,23.99,0.6185,0.0082
Tapinoma Littorale,1,0,1,10,11,0.51,0.5245,0.0024
Monomorium Floricola,1,0,1,10,11,0.51,0.5245,0.0024
Anurida Maritima,1,0,0,3,3,0.0,0.5071,0.0024
Nephila Clavipes,1,0,50,8,58,47.43,0.6772,0.0426
Melittobia Chalybii,1,0,15,7,22,15.0,0.5515,0.0083
Axelsonia Littoralis,1,0,0,3,3,0.0,0.5071,0.0024
Cryptorhynchus Minutissimus,1,0,0,22,22,0.0,0.5515,0.0024
Xenomyrmex Floridanus,1,0,3,10,13,28.51,0.5297,0.0044
Dufouriellus Afer,1,0,0,11,11,0.0,0.5245,0.0024
Butorides Virescens,1,0,10,0,10,0.0,0.4131,0.0061
Actinopteryx Fucicola,1,0,0,23,23,0.0,0.5602,0.0024
Hypoponera Opacior,1,0,0,10,10,0.0,0.5194,0.0024
Paratrechina Bourbonica,1,0,1,10,11,0.51,0.5245,0.0024
Crematogaster Ashmeadi,1,0,1,10,11,0.51,0.5245,0.0024
Apanteles Hemileucae,1,0,4,7,11,0.97,0.522,0.0027
Callihormius Bifasciatus,1,0,34,7,41,31.04,0.6185,0.0086
Iphiaulax Epicus,1,0,34,7,41,31.04,0.6185,0.0086
Metepeira Labyrinthea,1,0,62,8,70,44.21,0.7431,0.0196
Neurothrips Magnafemoraus,1,0,0,5,5,0.0,0.5095,0.0024
Pseudothrips Inequalis,1,0,1,5,6,0.27,0.5144,0.0024
Cephalonomia Waterstoni,1,0,22,8,30,9.68,0.5753,0.0044
Metapelma Schwarzi,1,0,0,7,7,0.0,0.512,0.0024
Nesepyris Floridanus,1,0,22,8,30,9.68,0.5753,0.0044
Scleroderma Macrogaster,1,0,22,8,30,9.68,0.5753,0.0044
Stoidis Aurata,1,0,60,9,69,110.51,0.7086,0.0557
Trischidias Atoma,1,0,1,22,23,1.04,0.5573,0.0024
Haplothrips Flavipes,1,0,1,5,6,0.27,0.5144,0.0024
Argas Radiatus,1,0,0,4,4,0.0,0.5071,0.0024
Archipsocus Panama,1,0,0,2,2,0.0,0.5,0.0024
Belaphotroctes Okalensis,1,0,0,2,2,0.0,0.5,0.0024
Echmepteryx Hageni,1,0,0,2,2,0.0,0.5,0.0024
Ectopsocopsis Cryptomeriae,1,0,0,2,2,0.0,0.5,0.0024
Embidopsocus Laticeps,1,0,0,2,2,0.0,0.5,0.0024
Liposcelis Bostrychophilus,1,0,0,2,2,0.0,0.5,0.0024
Psocidus Texanus,1,0,0,3,3,0.0,0.5023,0.0024
Aedes Taeniorhynchus,1,0,0,19,19,0.0,0.5487,0.0024
Lophoproctinus Bartachi,1,0,1,1,2,0.0,0.5023,0.0024
Tachys Occulator,1,0,6,23,29,10.44,0.5784,0.0029
Camponotus Planatus,1,0,1,10,11,0.51,0.5245,0.0024
Urolepis Rufipes,1,0,0,7,7,0.0,0.512,0.0024
Trochopus Plumbeus,1,0,10,12,22,66.42,0.5544,0.0078
Argiope Argentata,1,0,50,8,58,47.43,0.6772,0.0426
Bembidion Contractum,1,0,6,23,29,10.44,0.5784,0.0029
Paraphidippus Flavus,1,0,49,8,57,5.09,0.6564,0.0527
Diradius Caribbeana,1,0,0,1,1,0.0,0.4977,0.0024
Olfersia Sordida,1,0,0,17,17,0.0,0.5377,0.0024
Gasteracantha Ellipsoides,1,0,22,8,30,0.0,0.5753,0.0044
Maevia Vittata,1,0,50,8,58,10.26,0.6605,0.0534
Aysha Velox,1,0,11,8,19,12.67,0.5431,0.0053
Styloleptus Biustus,1,0,1,22,23,1.04,0.5573,0.0024
Neotermes Castaneus,1,0,1,2,3,0.0,0.5047,0.0024
Leucauge Venusta,1,0,10,8,18,0.2,0.5404,0.0033
Hentzia Palmarum,1,0,47,9,56,74.14,0.6524,0.0525
Pentacora Sphacelata,1,0,5,12,17,26.09,0.5404,0.005
Paracryptocerus Varians,1,0,1,10,11,0.51,0.5245,0.0024
Argyrodes Nephilae,1,0,50,8,58,47.43,0.6772,0.0426
Brachymeria Psyche,1,0,24,7,31,2.02,0.5784,0.0046
Kalotermes Jouteli,1,0,1,2,3,0.0,0.5047,0.0024
Chauliognathus Marginatus,1,0,1,22,23,1.04,0.5573,0.0024
Ariadna Arthuri,1,0,8,8,16,0.0,0.535,0.003
Actenodes Auronotata,1,0,1,22,23,1.04,0.5573,0.0024
Flatoidinus Punctatus,1,0,1,11,12,0.57,0.5271,0.0024
Metacyrba Undata,1,0,49,8,57,5.09,0.6564,0.0527
Micronaspis Floridana,1,0,1,22,23,18.0,0.5573,0.0029
Camponotus Floridanus,1,0,1,10,11,0.51,0.5245,0.0024
Camponotus Tortuganus,1,0,1,10,11,0.51,0.5245,0.0024
Pseudomyrmex Elongatus,1,0,7,10,17,91.83,0.5377,0.009
Orocharis Gryllodes,1,0,1,8,9,0.9,0.522,0.0024
Tafaliscu Lurida,1,0,1,8,9,0.9,0.522,0.0024
Labidura Riparia,1,0,17,1,18,0.0,0.5431,0.004
Trypoxylon Collinum,1,0,2,7,9,69.0,0.5169,0.0126
Pachodynerus Nasidens,1,0,21,7,28,2.02,0.5691,0.0043
Alarodia Slossoniae,1,0,1,24,25,1.67,0.5661,0.0024
Oiketicus Abbottii,1,0,1,24,25,1.67,0.5661,0.0024
Calliephialtes Ferrugineus,1,0,62,5,67,19.02,0.6993,0.0735
Casinaria Texana,1,0,62,5,67,19.02,0.6993,0.0735
Bema Ydda,1,0,1,24,25,1.67,0.5661,0.0024
Orphnaeus Brasilianus,1,0,2,1,3,0.0,0.5047,0.0029
Acanalonia Latifrons,1,0,1,11,12,0.57,0.5271,0.0024
Oebalus Pugnax,1,0,1,11,12,0.64,0.5297,0.0024
Turpilia Rostrata,1,0,1,6,7,0.2,0.5144,0.0024
Neurotmeta Breviceps,1,0,1,11,12,0.57,0.5271,0.0024
Copidita Suturalis,1,0,1,22,23,1.04,0.5573,0.0024
Vacusus Vicinus,1,0,1,22,23,1.04,0.5573,0.0024
Ascia Monuste,1,0,1,25,26,1.92,0.5691,0.0024
Psallus Conspurcatus,1,0,1,11,12,0.64,0.5297,0.0024
Phoebis Agarithe,1,0,1,25,26,1.92,0.5691,0.0024
Tholeria Reversalis,1,0,1,22,23,1.34,0.5602,0.0024
Cryptorama Minutum,1,0,1,22,23,1.04,0.5573,0.0024
Arunta Interclusa,1,0,1,12,13,0.57,0.5297,0.0024
Blissus Insularis,1,0,1,13,14,0.74,0.535,0.0024
Automeris Io,1,0,1,23,24,1.59,0.5632,0.0024
Ligia Exotica,1,0,0,3,3,0.0,0.5071,0.0024
Phocides Batabano,1,0,1,25,26,1.92,0.5691,0.0024
Melanophthalma Floridana,1,0,0,22,22,0.0,0.5515,0.0024
Aratus Pisonii,1,0,2,1,3,4.33,0.4263,0.0026
Sapintus Fulvipes,1,0,0,21,21,0.0,0.5487,0.0024
