Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Cochlodina Laminata,2,1,0,5,5,0.0,0.316,0.0003
Achipteria Coleoptrata,1,0,0,21,21,0.0,0.4805,0.0003
Geophilus Ribauti,1,0,214,64,278,4125.05,0.6343,0.0115
Lithobius Aeruginosus,1,0,239,81,320,9697.9,0.658,0.0101
Adoristes Ovatus,1,0,0,7,7,0.0,0.462,0.0003
Schendyla Nemorensis,1,0,205,54,259,4350.89,0.6209,0.0158
Allacma Fusca,1,0,0,41,41,0.0,0.4981,0.0003
Atheta Fungi,1,0,64,60,124,496.48,0.5533,0.0014
Lysigamasus Lapponicus,1,0,85,65,150,713.15,0.561,0.0015
Uroseius Cylindricus,1,0,92,70,162,1275.3,0.561,0.0018
Veigaia Nemorensis,1,0,151,136,287,7168.69,0.6397,0.0033
Lysigamasus Jugincola,1,0,39,48,87,274.8,0.5217,0.0007
Robertus Lividus,1,0,170,89,259,5318.69,0.629,0.0087
Rhodacarus Agrestis,1,0,34,37,71,480.12,0.5005,0.0008
Allaiulus Nitidus,1,0,0,46,46,0.0,0.5048,0.0003
Asthenargus Paganus,1,0,42,24,66,33.15,0.5191,0.001
Pterostichus Strenuus,1,0,47,15,62,114.25,0.5048,0.0041
Micrargus Herbigradus,1,0,79,47,126,297.84,0.5574,0.0023
Microneta Viaria,1,0,108,95,203,1676.4,0.6039,0.0034
Erigonella Hiemalis,1,0,73,42,115,297.41,0.5505,0.0019
Robertus Scoticus,1,0,24,7,31,0.95,0.4907,0.001
Monocephalus Fuscipes,1,0,76,51,127,591.83,0.5528,0.0017
Athous Subfuscus,1,0,210,126,336,8961.56,0.6835,0.0063
Ceratinella Brevis,1,0,57,37,94,269.87,0.5387,0.0017
Tenuiphantes Tenuis,1,0,74,48,122,482.24,0.5551,0.0024
Athous Zebei,1,0,0,60,60,0.0,0.5101,0.0003
Carabodes Labyrinthicus,1,0,0,6,6,0.0,0.4498,0.0003
Ceratophysella Denticulata,1,0,0,47,47,0.0,0.4986,0.0003
Chamobates Borealis,1,0,0,5,5,0.0,0.4347,0.0003
Chamobates Voigtsi,1,0,0,7,7,0.0,0.4491,0.0003
Cornodendrolaelaps Cf Cornutulus,1,0,6,8,14,0.17,0.4616,0.0004
Dalopius Marginatus,1,0,0,89,89,0.0,0.5327,0.0003
Damaeobelba Minutissima,1,0,0,1,1,0.0,0.3971,0.0003
Dicyrtomina Ornata,1,0,0,34,34,0.0,0.484,0.0003
Dissorhina Ornata,1,0,0,7,7,0.0,0.4491,0.0003
Edwarzetes Edwardsii,1,0,0,9,9,0.0,0.46,0.0003
Folsomia Quadrioculata,1,0,0,73,73,0.0,0.5111,0.0003
Folsomia Spinosa,1,0,0,44,44,0.0,0.4944,0.0003
Geholaspis Mandibularis,1,0,0,67,67,0.0,0.5171,0.0003
Isotomiella Minor,1,0,0,74,74,0.0,0.5072,0.0003
Liacarus Coracinus,1,0,0,6,6,0.0,0.4498,0.0003
Liacarus Subterraneus,1,0,0,6,6,0.0,0.4427,0.0003
Megalothorax Minimus,1,0,0,96,96,0.0,0.5311,0.0003
Mesaphorura Macrochaeta,1,0,0,58,58,0.0,0.4953,0.0003
Mesaphorura Sp.,1,0,0,89,89,0.0,0.5264,0.0003
Nanhermannia Elegantula,1,0,0,5,5,0.0,0.4479,0.0003
Nanhermannia Nana,1,0,0,13,13,0.0,0.4761,0.0003
Nargus Anisotomoides,1,0,0,64,64,0.0,0.5101,0.0003
Nothrus Silvestris,1,0,0,23,23,0.0,0.4822,0.0003
Oppiella Falcata,1,0,0,5,5,0.0,0.4368,0.0003
Oppiella Nova,1,0,0,5,5,0.0,0.4449,0.0003
Oppiella Subpectinata,1,0,0,10,10,0.0,0.456,0.0003
Pachylaelaps Cf. Vexillifer,1,0,0,30,30,0.0,0.4898,0.0003
Parisotoma Notabilis,1,0,0,68,68,0.0,0.5009,0.0003
Phthiracarus Borosetosus,1,0,0,10,10,0.0,0.4608,0.0003
Phthiracarus Compressus,1,0,0,28,28,0.0,0.4844,0.0003
Phthiracarus Longulus,1,0,0,19,19,0.0,0.4805,0.0003
Platynothrus Peltifer,1,0,0,21,21,0.0,0.4813,0.0003
Proisotoma Minima,1,0,0,16,16,0.0,0.4766,0.0003
Protaphorura Armata,1,0,0,47,47,0.0,0.4215,0.0003
Pseudanurophorus Binoculatus,1,0,0,7,7,0.0,0.4263,0.0003
Rhysotritia Duplicata,1,0,0,14,14,0.0,0.4766,0.0003
Scutigerella Immaculata,1,0,0,117,117,0.0,0.5528,0.0003
