Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Oikopleura Dioica,3,2,4,4,8,198.9,0.3596,0.0013
Electra Pilosa,3,2,0,5,5,0.0,0.4017,0.0011
Escharella Variolosa,3,2,0,6,6,0.0,0.4036,0.0011
Lepidonotos Squamatus,3,2,0,40,40,0.0,0.4948,0.0011
Fish Eggs/Larvae,2,1,0,52,52,0.0,0.5362,0.0011
Menmbraiporella Nitida,2,1,0,4,4,0.0,0.4007,0.0011
Nitzschia Closterium,1,0,0,15,15,0.0,0.4199,0.0011
Skeletonema Costatum,1,0,0,15,15,0.0,0.4199,0.0011
Podosira Stelliger,1,0,0,15,15,0.0,0.4199,0.0011
Phaeocystis Pouchetii,1,0,0,15,15,0.0,0.4199,0.0011
Calanus Helgolandicus,1,0,10,51,61,5.0,0.4985,0.0012
Evadne Nordmanni,1,0,10,43,53,35.73,0.5171,0.0012
Metridia Lucens,1,0,1,52,53,147.46,0.497,0.0013
Pseudocalanus Elongatus,1,0,1,53,54,152.46,0.4978,0.0013
Microcalanus Pusillis,1,0,0,53,53,0.0,0.497,0.0011
Paracalanus Parvus,1,0,5,53,58,0.33,0.4985,0.0011
Temora Longicornis,1,0,0,52,52,0.0,0.4963,0.0011
Eutemora Hirundoides,1,0,0,52,52,0.0,0.4963,0.0011
Acartia Clausi,1,0,0,52,52,0.0,0.4963,0.0011
Centropages Typicus,1,0,0,52,52,0.0,0.4963,0.0011
Calanus Elongatus,1,0,0,53,53,0.0,0.497,0.0011
Podon Intermedius,1,0,10,42,52,35.73,0.5155,0.0012
Oithona Nana,1,0,10,2,12,0.0,0.3558,0.0012
Oithona Helgolandica,1,0,4,2,6,4.3,0.3447,0.0013
Codium Fragile,1,0,0,27,27,0.0,0.4876,0.0011
Apherusa Jurinei,1,0,30,15,45,65.78,0.4798,0.0021
Codium Vermilara,1,0,0,27,27,0.0,0.4876,0.0011
Enteromorpha Compressa,1,0,0,27,27,0.0,0.4876,0.0011
Ectocarpus Confervoides,1,0,0,27,27,0.0,0.4876,0.0011
Fucus Vesiculosus,1,0,0,27,27,0.0,0.4876,0.0011
Asparagopsis Armata,1,0,0,27,27,0.0,0.4876,0.0011
Bonnemaisonia Hamifera,1,0,0,27,27,0.0,0.4876,0.0011
Jania Rubens,1,0,0,27,27,0.0,0.4876,0.0011
Ceramium Diaphanum,1,0,0,27,27,0.0,0.4876,0.0011
Ceramium Rubrum,1,0,0,27,27,0.0,0.4876,0.0011
Laurencia Platycephala,1,0,0,27,27,0.0,0.4876,0.0011
Polysiphonia Fruticulosa,1,0,0,27,27,0.0,0.4876,0.0011
Polysiphonia Urceolata,1,0,0,27,27,0.0,0.4876,0.0011
Ectocarpus Siliculosus,1,0,0,27,27,0.0,0.4876,0.0011
Feldmannia Globifera,1,0,0,27,27,0.0,0.4876,0.0011
Stilophora Rhizodes,1,0,0,27,27,0.0,0.4876,0.0011
Sphacelaria Cirrosa,1,0,0,27,27,0.0,0.4876,0.0011
Dictyota Dichotoma,1,0,0,27,27,0.0,0.4876,0.0011
Fucus Serratus,1,0,0,27,27,0.0,0.4876,0.0011
Himanthalia Lorea,1,0,0,27,27,0.0,0.4876,0.0011
Enteromorpha Clathrata,1,0,0,27,27,0.0,0.4876,0.0011
Enteromorpha Intestinalis,1,0,0,27,27,0.0,0.4876,0.0011
Ulva Lactuca,1,0,0,28,28,0.0,0.5053,0.0011
Phaeophila Leptochaete,1,0,0,27,27,0.0,0.4876,0.0011
Chondrus Crispus,1,0,0,27,27,0.0,0.4876,0.0011
Chaetomorpha Linum,1,0,0,27,27,0.0,0.4876,0.0011
Cladophora Albida,1,0,0,27,27,0.0,0.4876,0.0011
Cladophora Dalmatica,1,0,0,27,27,0.0,0.4876,0.0011
Cladophora Rupestris,1,0,0,27,27,0.0,0.4876,0.0011
Cladophora Sericea,1,0,0,27,27,0.0,0.4876,0.0011
Plakortis Simplex,1,0,0,10,10,0.0,0.3908,0.0011
Colomastix Pusilla,1,0,21,15,36,112.35,0.4861,0.0029
Haliclona Rosea,1,0,0,10,10,0.0,0.3908,0.0011
Halichondria Bowerbanki,1,0,0,10,10,0.0,0.3908,0.0011
Leucosolenia Complicata,1,0,0,10,10,0.0,0.3908,0.0011
Phorbas Dives,1,0,0,10,10,0.0,0.3908,0.0011
Hymedesmia Paupertas,1,0,0,11,11,0.0,0.3918,0.0011
Mycale Contareni,1,0,0,10,10,0.0,0.3908,0.0011
Dercitus Bucklandi,1,0,0,10,10,0.0,0.3908,0.0011
Dysidea Pallescens,1,0,0,10,10,0.0,0.3908,0.0011
Haliclona Simulans,1,0,0,10,10,0.0,0.3908,0.0011
Haliclona Cinerea,1,0,0,11,11,0.0,0.3918,0.0011
Mycale Macilenta,1,0,0,10,10,0.0,0.3908,0.0011
Prosuberites Epiphytum,1,0,0,10,10,0.0,0.3908,0.0011
Phorbas Plumosum,1,0,0,10,10,0.0,0.3908,0.0011
Cliona Celata,1,0,0,10,10,0.0,0.3908,0.0011
Myxilla Rosacea,1,0,0,10,10,0.0,0.3908,0.0011
Pachymatisma Johnstonia,1,0,0,10,10,0.0,0.3908,0.0011
Mycale Rotalis,1,0,0,10,10,0.0,0.3908,0.0011
Antho Involvens,1,0,0,10,10,0.0,0.3908,0.0011
Haliclona Angulata,1,0,0,10,10,0.0,0.3908,0.0011
