Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Padina Pavonica,3,2,0,16,16,0.0,0.6818,0.0052
Omalogyra Atomus,2,1,11,4,15,14.35,0.6667,0.0113
Caulerpa Webbiana,1,0,0,12,12,0.0,0.625,0.0052
Liza Ramada,1,0,9,1,10,0.2,0.566,0.0105
Lipophrys Pholis,1,0,21,4,25,12.05,0.7692,0.1034
Coryphoblennius Galerita,1,0,21,4,25,12.6,0.7692,0.1024
Parablennius Parvicornis,1,0,8,3,11,0.2,0.6122,0.0094
Palaemon Elegans,1,0,10,6,16,3.22,0.6522,0.0111
Cladophora Prolifera,1,0,0,12,12,0.0,0.625,0.0052
Halopteris Filicina,1,0,0,7,7,0.0,0.5172,0.0052
Sargassum Vulgare,1,0,0,13,13,0.0,0.6383,0.0052
Tricleocarpa Cylindrica,1,0,0,6,6,0.0,0.5085,0.0052
Pachygrapsus Transversus,1,0,20,1,21,0.0,0.7317,0.5084
Anemonia Sargassensis,1,0,6,2,8,6.0,0.5263,0.0658
Amphipholis Squamata,1,0,0,2,2,0.0,0.4688,0.0052
Cystoseira Abies-Marina,1,0,0,8,8,0.0,0.5357,0.0052
Dictyota Bartayresiana,1,0,0,5,5,0.0,0.5,0.0052
Dictyopteris Polypodioides,1,0,0,1,1,0.0,0.4412,0.0052
Paracentrotus Lividus,1,0,6,0,6,0.0,0.4762,0.0079
Eriphia Verrucosa,1,0,6,1,7,0.0,0.4615,0.0468
Grapsus Adscensionis,1,0,5,0,5,0.0,0.4615,0.007
Pirimela Denticulata,1,0,5,1,6,0.87,0.4762,0.007
Acanthonyx Lunulatus,1,0,7,1,8,1.27,0.5085,0.0081
Cladostephus Spongiosus,1,0,0,11,11,0.0,0.6,0.0052
Acanthochitona Crinita,1,0,3,2,5,0.0,0.5357,0.0068
Patella Ulyssiponensis,1,0,1,2,3,0.0,0.5172,0.0055
Codium Adhaerens,1,0,0,8,8,0.0,0.5357,0.0052
Gibbula Pennanti,1,0,4,3,7,0.25,0.566,0.007
Gibbula Umbilicalis,1,0,1,3,4,0.0,0.5357,0.0055
Stypocaulon Scoparium,1,0,0,5,5,0.0,0.5085,0.0052
Lepadogaster Zebrina,1,0,1,1,2,0.0,0.4545,0.0076
