Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Chthamalus Dentatus,4,3,0,5,5,0.0,0.2525,0.0031
Perna Perna,2,1,0,5,5,0.0,0.4096,0.0031
Caulerpa Racemosa V. Uvifera,1,0,0,12,12,0.0,0.4753,0.0031
Bathygobius Fuscus,1,0,18,1,19,0.0,0.385,0.0584
Parvulastra Exigua,1,0,36,0,36,0.0,0.4753,0.0152
Antennablennius Bifilum,1,0,41,2,43,27.32,0.5746,0.0209
Clibanarius Virescens,1,0,37,2,39,17.32,0.5423,0.0156
Metopograpsus Messor,1,0,29,2,31,17.08,0.5033,0.0123
Caulerpa Zeyheri,1,0,0,7,7,0.0,0.3929,0.0031
Morula Uva,1,0,1,0,1,0.0,0.2021,0.0036
Tenguella Granulata,1,0,1,0,1,0.0,0.2021,0.0036
Cladophora Herpestica,1,0,0,5,5,0.0,0.385,0.0031
Neomeris Vanbosseae,1,0,0,11,11,0.0,0.4639,0.0031
Valonia Macrophysa,1,0,0,13,13,0.0,0.4813,0.0031
Aplidium Lubricum,1,0,0,1,1,0.0,0.3105,0.0031
Anemonia Natalensis,1,0,7,0,7,0.0,0.4477,0.0628
Laurencia Flexuosa,1,0,0,7,7,0.0,0.3929,0.0031
Laurencia Pumila,1,0,0,6,6,0.0,0.4053,0.0031
Jania Intermedia,1,0,0,12,12,0.0,0.4753,0.0031
Gelidiella Acerosa,1,0,0,7,7,0.0,0.3929,0.0031
Canistrocarpus Cervicornis,1,0,0,7,7,0.0,0.3929,0.0031
Dictyopteris Delicatula,1,0,0,9,9,0.0,0.4529,0.0031
Lobophora Variegata,1,0,0,5,5,0.0,0.385,0.0031
Padina Boryana,1,0,0,12,12,0.0,0.4753,0.0031
Sargassum Elegans,1,0,0,14,14,0.0,0.4873,0.0031
Colpomenia Sinuosa,1,0,0,5,5,0.0,0.385,0.0031
Hydroclathrus Clathratus,1,0,0,11,11,0.0,0.4639,0.0031
Valoniopsis Pachynema,1,0,0,10,10,0.0,0.4583,0.0031
Istiblennius Edentulus,1,0,12,0,12,0.0,0.3667,0.007
Orthoprotella Mayeri,1,0,13,2,15,4.83,0.3909,0.0122
Halimeda Cuneata,1,0,0,11,11,0.0,0.4375,0.0031
Thalessa Savignyi,1,0,4,1,5,7.33,0.3249,0.0074
Dichotomaria Marginata,1,0,0,6,6,0.0,0.3889,0.0031
Hormophysa Cuneiformis,1,0,0,13,13,0.0,0.4813,0.0031
Polycladia Myrica,1,0,0,6,6,0.0,0.3889,0.0031
Sargassum Aquifolium,1,0,0,14,14,0.0,0.4873,0.0031
Chnoospora Minima,1,0,0,6,6,0.0,0.3889,0.0031
Septifer Bilocularis,1,0,0,5,5,0.0,0.4096,0.0031
Calcinus Laevimanus,1,0,14,1,15,2.43,0.3969,0.0065
Acanthonyx Quadridentatus,1,0,31,1,32,8.07,0.4813,0.0178
Menaethius Monoceros,1,0,28,3,31,24.15,0.4873,0.0121
Mitridae,1,0,0,2,2,0.0,0.3117,0.0031
Helcogramma Obtusirostris,1,0,5,2,7,23.0,0.4278,0.0191
Charybdis Natator,1,0,8,1,9,0.0,0.4556,0.3908
Chamaedoris Delphinii,1,0,0,6,6,0.0,0.4053,0.0031
Dictyosphaeria Cavernosa,1,0,0,11,11,0.0,0.4724,0.0031
Chondria Armata,1,0,0,11,11,0.0,0.4724,0.0031
Osmundaria Melvillii,1,0,0,12,12,0.0,0.4753,0.0031
Gracilaria Corticata,1,0,0,12,12,0.0,0.4753,0.0031
Gracilaria Salicornia,1,0,0,11,11,0.0,0.4695,0.0031
Dictyopteris Longifolia,1,0,0,9,9,0.0,0.4556,0.0031
