Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Ulva Lactuca,1,0,0,40,40,0.0,0.6232,0.0022
Asterina Gibbosa,1,0,18,0,18,0.0,0.5059,0.0061
Paracentrotus Lividus,1,0,23,3,26,12.24,0.5409,0.0039
Liza Ramada,1,0,10,2,12,0.33,0.4914,0.0037
Diplodus Sargus Sargus,1,0,19,3,22,65.14,0.5342,0.0058
Lipophrys Pholis,1,0,41,9,50,66.42,0.6466,0.0358
Coryphoblennius Galerita,1,0,35,9,44,263.05,0.6187,0.1319
Gobius Paganellus,1,0,42,9,51,147.37,0.6515,0.0385
Lepadogaster Lepadogaster,1,0,19,0,19,0.0,0.5059,0.0233
Actinia Equina,1,0,32,1,33,2.62,0.5772,0.0079
Actinia Fragacea,1,0,29,1,30,2.02,0.5658,0.0069
Acanthochitona Crinita,1,0,25,14,39,47.68,0.5772,0.0053
Lepidochitona Cinerea,1,0,24,13,37,34.43,0.5695,0.0051
Leptochiton Algesirensis,1,0,18,12,30,13.26,0.5409,0.0037
Patella Vulgata,1,0,9,8,17,3.41,0.5375,0.0026
Gibbula Umbilicalis,1,0,23,15,38,46.29,0.589,0.0039
Omalogyra Atomus,1,0,23,5,28,3.62,0.5513,0.0039
Aplysia Punctata,1,0,20,1,21,1.26,0.5119,0.0035
Palaemon Longirostris,1,0,25,14,39,64.67,0.5772,0.0069
Palaemon Elegans,1,0,28,14,42,121.79,0.5811,0.0123
Lophozozymus Incisus,1,0,18,2,20,2.16,0.5212,0.0038
Pirimela Denticulata,1,0,21,4,25,4.3,0.5309,0.0036
Carcinus Maenas,1,0,30,7,37,66.56,0.5972,0.0153
Leathesia Marina,1,0,0,28,28,0.0,0.5621,0.0022
Colpomenia Peregrina,1,0,0,40,40,0.0,0.6232,0.0022
Bifurcaria Bifurcata,1,0,0,40,40,0.0,0.6232,0.0022
Anemonia Sulcata,1,0,36,2,38,242.48,0.6056,0.2066
Sphacelaria Cirrosa,1,0,0,40,40,0.0,0.6232,0.0022
Asparagopsis Armata,1,0,0,40,40,0.0,0.6232,0.0022
Lithophyllum Sp.,1,0,0,4,4,0.0,0.3772,0.0022
Actinothoe Sphyrodeta,1,0,0,3,3,0.0,0.3909,0.0022
Aeolidia Papillosa,1,0,3,1,4,1.67,0.4322,0.0052
Marthasterias Glacialis,1,0,11,0,11,0.0,0.43,0.0096
Phorcus Lineatus,1,0,0,4,4,0.0,0.4479,0.0022
Atherina Boyeri,1,0,1,3,4,0.0,0.3874,0.003
Musculus Costulatus,1,0,0,12,12,0.0,0.5059,0.0022
Mytilus Galloprovincialis,1,0,0,13,13,0.0,0.5119,0.0022
Ellisolandia Elongata,1,0,0,40,40,0.0,0.6232,0.0022
Lipophrys Trigloides,1,0,34,2,36,3.36,0.5972,0.0556
Aulactinia Verrucosa,1,0,22,3,25,73.24,0.5342,0.0053
Patella Depressa,1,0,11,6,17,4.38,0.5119,0.0028
Patella Ulyssiponensis,1,0,22,11,33,26.44,0.6014,0.0038
Fucus Vesiculosus,1,0,0,21,21,0.0,0.5342,0.0022
Gobius Niger,1,0,10,7,17,40.79,0.5059,0.028
Sagartia Elegans,1,0,0,2,2,0.0,0.3874,0.0022
Botryllus Schlosseri,1,0,0,2,2,0.0,0.3613,0.0022
Chondrus Crispus,1,0,0,27,27,0.0,0.5548,0.0022
Octopus Vulgaris,1,0,5,1,6,0.0,0.4038,0.0214
Eriphia Verrucosa,1,0,26,2,28,2.81,0.5548,0.015
