Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Sipunculid Worms,15,14,0,21,21,0.0,0.4568,0.0016
Jenkinsia Lamprotaenia,8,7,0,33,33,0.0,0.5421,0.0016
Hypoatherina Harringtonensis,3,2,0,25,25,0.0,0.5323,0.0016
Haemulon Carbonarium,2,1,5,19,24,31.89,0.5309,0.0021
Holacanthus Tricolor,2,1,0,5,5,0.0,0.5049,0.0016
Haemulon Aurolineatum,2,1,0,24,24,0.0,0.5309,0.0016
Sphoeroides Spengleri,2,1,0,11,11,0.0,0.5099,0.0016
Scorpaena Inermis,2,1,0,3,3,0.0,0.4952,0.0016
Coryphopterus Glaucofraenum,2,1,0,7,7,0.0,0.5012,0.0016
Acanthurus Chirugus,1,0,0,19,19,0.0,0.5242,0.0016
Aulostomus Maculatus,1,0,28,16,44,146.21,0.5598,0.0053
Sargocentron Vexillarium,1,0,3,14,17,4.35,0.5215,0.0018
Cephalopholis Fulva,1,0,19,15,34,70.59,0.545,0.0038
Acanthurus Coeruleus,1,0,0,18,18,0.0,0.5228,0.0016
Aetobatus Narinari,1,0,99,4,103,20.81,0.6603,0.0137
Negaprion Brevirostris,1,0,102,5,107,35.71,0.6732,0.0168
Carangoides Bartholomaei,1,0,7,8,15,28.99,0.5176,0.0023
Tylosurus Acus Acus,1,0,11,7,18,21.5,0.5176,0.0042
Synodus Intermedius,1,0,24,7,31,197.91,0.5393,0.0048
Carangoides Latus,1,0,5,8,13,8.56,0.5137,0.0019
Carangoides Ruber,1,0,25,11,36,128.69,0.5464,0.0036
Chilomycterus Antennatus,1,0,0,4,4,0.0,0.5037,0.0016
Lutjanus Synagris,1,0,10,5,15,11.4,0.5176,0.0029
Dasyatis Americana,1,0,10,7,17,38.31,0.5112,0.0033
Carcharhinus Limbatus,1,0,19,4,23,3.73,0.4964,0.0037
Diodon Holocanthus,1,0,0,8,8,0.0,0.5086,0.0016
Lutjanus Analis,1,0,18,5,23,26.77,0.5296,0.0048
Diodon Hysterix,1,0,0,8,8,0.0,0.5086,0.0016
Epinephelus Itajara,1,0,4,3,7,15.6,0.4813,0.0025
Carcharhinus Falciformis,1,0,152,2,154,30.93,0.7984,0.0748
Mycteroperca Venenosa,1,0,52,5,57,39.36,0.577,0.0154
Epinephelus Striatus,1,0,57,5,62,62.42,0.5886,0.012
Fistularia Tabacaria,1,0,2,5,7,3.0,0.5074,0.0018
Gymnothorax Vicinus,1,0,5,5,10,0.0,0.5099,0.002
Epinephelus Guttatus,1,0,16,5,21,7.29,0.5269,0.0034
Haemulon Album,1,0,2,10,12,6.27,0.515,0.0017
Lutjanus Apodus,1,0,41,5,46,40.11,0.5628,0.0073
Cephalopholis Cruentata,1,0,17,14,31,71.03,0.5407,0.0036
Antennarius Multiocellatus,1,0,1,8,9,0.0,0.5074,0.0017
Haemulon Macrostomum,1,0,0,10,10,0.0,0.5112,0.0016
Haemulon Parrai,1,0,0,10,10,0.0,0.5112,0.0016
Haemulon Plumieri,1,0,1,11,12,1.72,0.515,0.0017
Haemulon Sciurus,1,0,1,11,12,2.52,0.515,0.0017
Halichoeres Radiatus,1,0,0,12,12,0.0,0.515,0.0016
Malacanthus Plumieri,1,0,7,4,11,9.63,0.5124,0.0024
Scorpaenodes Caribbaeus,1,0,1,10,11,9.0,0.5099,0.0019
Lachnolaimus Maximus,1,0,0,4,4,0.0,0.5024,0.0016
Scomberomorus Regalis,1,0,28,7,35,47.81,0.5464,0.0056
Lutjanus Cyanopterus,1,0,18,5,23,4.98,0.5296,0.0032
Scomberomorus Cavalla,1,0,38,7,45,104.79,0.5583,0.0186
Lutjanus Griseus,1,0,2,6,8,10.83,0.5086,0.0018
Gymnothorax Moringa,1,0,2,14,16,18.5,0.5202,0.0019
Mycteroperca Bonaci,1,0,2,4,6,1.0,0.5061,0.002
Mycteroperca Tigris,1,0,30,5,35,10.43,0.5464,0.0042
Carcharhinus Perezi,1,0,193,4,197,141.61,0.9581,0.0653
Scarus Coelestinus,1,0,0,15,15,0.0,0.5176,0.0016
Scarus Guacamaia,1,0,0,15,15,0.0,0.5176,0.0016
Lutjanus Jocu,1,0,41,5,46,32.0,0.5628,0.0063
Mustelus Canis,1,0,101,5,106,35.63,0.6732,0.0137
Scarus Taeniopterus,1,0,0,18,18,0.0,0.5215,0.0016
Scarus Vetula,1,0,0,16,16,0.0,0.5189,0.0016
Scorpaena Plumieri,1,0,5,6,11,9.96,0.5124,0.0019
Selar Crumenophthalmus,1,0,0,11,11,0.0,0.5124,0.0016
Seriola Dumerili,1,0,9,8,17,112.89,0.5215,0.0042
Sphyraena Barracuda,1,0,46,4,50,5.9,0.5675,0.0084
Sparisoma Chrysopterum,1,0,0,16,16,0.0,0.5189,0.0016
Sparisoma Rubripinne,1,0,0,15,15,0.0,0.5176,0.0016
Epinephelus Adscensionis,1,0,6,5,11,0.84,0.5124,0.0021
Sparisoma Viride,1,0,0,15,15,0.0,0.5176,0.0016
Synodus Foetens,1,0,2,11,13,2.7,0.515,0.0017
Lutjanus Mahagoni,1,0,11,12,23,115.68,0.5296,0.0031
Trachinotus Falcatus,1,0,0,8,8,0.0,0.5074,0.0016
Trachinotus Goodei,1,0,3,7,10,3.01,0.5099,0.0018
Acanthurus Bahianus,1,0,0,23,23,0.0,0.5296,0.0016
Abudefduf Saxatilis,1,0,1,12,13,1.26,0.5163,0.0016
Alphestes Afer,1,0,4,6,10,3.68,0.5112,0.0019
Sphyrna Lewini,1,0,41,1,42,0.21,0.5568,0.0893
Carcharhinus Acronotus,1,0,100,5,105,32.71,0.6688,0.0135
Galeocerdo Cuvier,1,0,163,0,163,0.0,0.8273,0.2123
Carcharhinus Leucas,1,0,12,2,14,0.25,0.5176,0.0322
Carcharhinus Longimanus,1,0,12,2,14,0.0,0.487,0.0067
Ginglymostoma Cirratum,1,0,101,1,102,3.26,0.6603,0.0141
Haemulon Flavolineatum,1,0,1,23,24,5.89,0.5309,0.0017
Holocentrus Ascensionis,1,0,0,15,15,0.0,0.5189,0.0016
Holocentrus Rufus,1,0,0,15,15,0.0,0.5189,0.0016
Monacanthus Ciliatus,1,0,0,16,16,0.0,0.5202,0.0016
Mugil Curema,1,0,0,12,12,0.0,0.515,0.0016
Tylosurus Crocodilus Crocodilus,1,0,5,7,12,6.38,0.5124,0.002
Myripristis Jacobus,1,0,0,16,16,0.0,0.5202,0.0016
Ophioblennius Atlanticus,1,0,0,16,16,0.0,0.5176,0.0016
