Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Polydora Nuchalis,2,1,9,27,36,365.69,0.5739,0.012
Traskorchestia Traskiana,2,1,0,10,10,0.0,0.428,0.0017
Gillichthys Mirabilis,2,1,11,19,30,168.06,0.5401,0.0067
Hemigrapsus Oregonensis,2,1,14,32,46,223.93,0.6121,0.0069
Procyon Locator,2,1,7,5,12,171.16,0.5101,0.0087
Carinoma Mutabilis,1,0,2,14,16,0.0,0.5,0.0022
Limosa Fedoa,1,0,14,10,24,37.68,0.5459,0.0064
Recurvirostra Americana,1,0,8,12,20,257.8,0.5206,0.0161
Culex Tarsalis,1,0,43,10,53,986.04,0.6235,0.0737
Catoptrophorus Semipalmatus,1,0,23,11,34,282.25,0.5706,0.0212
Capitella Capitata,1,0,0,25,25,0.0,0.5372,0.0017
Aedes Taeniorhynchus,1,0,43,10,53,986.04,0.6235,0.0737
Pluvialis Squatarola,1,0,16,11,27,45.28,0.5549,0.0064
Tringa Melanoleuca,1,0,7,9,16,157.07,0.505,0.0153
Pygidiopsoides Spindalis,1,0,30,9,39,310.73,0.5642,0.0191
Acteocina Inculta,1,0,0,13,13,0.0,0.5,0.0017
Bucephala Albeola,1,0,11,6,17,13.49,0.5153,0.0053
Limnodromus Scilopaceus,1,0,18,13,31,107.05,0.5642,0.0092
Assiminea Californica,1,0,0,2,2,0.0,0.4008,0.0017
Renicola Cerithidicola,1,0,13,10,23,140.67,0.5127,0.0084
Calidris Alpina,1,0,12,13,25,79.76,0.543,0.0061
Charadrius Vociferus,1,0,1,3,4,3.86,0.4156,0.0019
Actitis Macularia,1,0,10,3,13,23.35,0.4975,0.0043
Calidris Mauri,1,0,10,8,18,33.71,0.5179,0.0043
Phocitremoides Ovale,1,0,28,9,37,264.76,0.558,0.0181
Calidris Minutilla,1,0,10,13,23,62.24,0.5372,0.0049
Euhaplorchis Californiensis,1,0,14,10,24,143.29,0.5127,0.0093
Clevelandia Ios,1,0,19,31,50,362.2,0.6012,0.0145
Ardea Herodius,1,0,9,9,18,15.11,0.5179,0.006
Phalacrocorax Penicillatus,1,0,9,9,18,15.11,0.5179,0.006
Mesostephanus Appendiculatus,1,0,27,9,36,312.63,0.5611,0.0185
Stictodora Hancocki,1,0,31,9,40,454.17,0.5976,0.0209
Fundulus Parvipinnis,1,0,22,30,52,1110.08,0.6392,0.0265
Pachygrapsus Crassipes,1,0,19,27,46,220.29,0.6048,0.0077
Triakis Semifasciata,1,0,21,0,21,0.0,0.5153,0.011
Aechmophorus Occidentalis,1,0,9,2,11,10.13,0.5,0.006
Uca Crenulata,1,0,0,21,21,0.0,0.505,0.0017
Mergus Serrator,1,0,9,2,11,10.13,0.5,0.006
Egretta Alba,1,0,9,9,18,15.11,0.5179,0.006
Nycticorax Nycticorax,1,0,12,12,24,36.59,0.5459,0.0065
Renicola Buchanani,1,0,16,12,28,190.29,0.5316,0.0091
Atherinops Affinis,1,0,12,25,37,101.07,0.5489,0.0066
Numenius Americanus,1,0,10,10,20,26.05,0.5288,0.005
Cryptomya Californica,1,0,0,17,17,0.0,0.505,0.0017
Sterna Caspia,1,0,4,2,6,2.96,0.4698,0.0032
Melampus Olivaceus,1,0,0,5,5,0.0,0.4226,0.0017
Numenius Phaeopus,1,0,4,5,9,5.47,0.4698,0.0025
Larus Californicus,1,0,13,11,24,30.98,0.543,0.0075
Urolophus Halleri,1,0,14,0,14,0.0,0.481,0.0077
Podilymbus Podiceps,1,0,12,12,24,36.59,0.5459,0.0065
Catatropis Johnstoni,1,0,9,11,20,147.54,0.505,0.0086
Egretta Thula,1,0,12,10,22,31.26,0.5401,0.0065
Egretta Caerulea,1,0,12,2,14,11.97,0.5179,0.0065
Melanitta Perspicillata,1,0,15,7,22,32.51,0.5288,0.0074
Cerithidea Californica,1,0,0,19,19,0.0,0.4975,0.0017
Butorides Virescens,1,0,4,9,13,3.73,0.4856,0.0032
Cymatogaster Aggregata,1,0,0,24,24,0.0,0.4856,0.0017
Larus Delawarensis,1,0,12,10,22,23.81,0.5344,0.0068
Larus Canus,1,0,12,10,22,23.81,0.5344,0.0068
Corvus Brachyrhynchos,1,0,11,2,13,11.25,0.505,0.0067
Ceryle Alcyon,1,0,3,9,12,2.62,0.481,0.0028
Neotrypaea Californiensis,1,0,0,11,11,0.0,0.4612,0.0017
Tagelus Affinis,1,0,22,26,48,169.4,0.5805,0.0177
Macoma Nasuta,1,0,10,35,45,281.93,0.6084,0.0128
Larus Philadelphia,1,0,12,10,22,23.81,0.5344,0.0068
Upogebia Macginitieorum,1,0,12,9,21,13.47,0.4951,0.0066
Tagelus Subteres,1,0,9,27,36,164.65,0.558,0.012
Paralichthys Californicus,1,0,14,14,28,77.15,0.526,0.012
Fulica Americana,1,0,9,7,16,363.66,0.5206,0.0064
Hypsopsetta Guttulata,1,0,23,16,39,143.7,0.5739,0.0153
Acanthogobius Flavimanus,1,0,10,13,23,74.63,0.5153,0.0096
Leptocottus Armatus,1,0,11,14,25,48.38,0.5233,0.0067
Protothaca Staminea,1,0,12,27,39,232.91,0.5706,0.0162
Tagelus Californianus,1,0,22,26,48,169.4,0.5805,0.0177
Macoma Secta,1,0,25,32,57,427.33,0.6352,0.0226
Nuttallia Nuttallii,1,0,25,31,56,410.29,0.6312,0.0226
Accipiter Cooperi,1,0,4,2,6,0.0,0.4449,0.0041
Saxidomus Nuttalli,1,0,25,26,51,259.73,0.5941,0.0226
Charadrius Semipalmatus,1,0,6,5,11,6.86,0.4927,0.0038
Anas Platyrhynchos,1,0,10,3,13,139.34,0.441,0.0176
Acanthoparyphium Spinulosum,1,0,27,10,37,302.95,0.5805,0.0175
Spirocamallanus Pereirae,1,0,7,0,7,0.0,0.4449,0.0052
Baylisascaris Procyonis,1,0,1,0,1,0.0,0.3389,0.0032
Himasthla Rhigedana,1,0,24,14,38,376.57,0.5706,0.0138
Parorchis Acanthus,1,0,31,9,40,310.26,0.5941,0.019
Carcinonemertes Sp.,1,0,1,0,1,0.0,0.3811,0.0019
Hysterolecitha Trilocalis,1,0,1,9,10,7.7,0.443,0.002
Cloacitrema Michiganiensis,1,0,29,9,38,274.81,0.5872,0.0164
Anas Crecca,1,0,4,2,6,1.61,0.4008,0.0146
Anas Cyanoptera,1,0,4,2,6,1.61,0.4008,0.0146
Anas Discors,1,0,4,2,6,1.61,0.4008,0.0146
Oxyura Jamaicensis,1,0,12,2,14,26.31,0.4927,0.0174
Anas Americana,1,0,4,2,6,1.61,0.4008,0.0146
Catjartes Aura,1,0,0,2,2,0.0,0.3885,0.0017
Mytilus Galloprovincialis,1,0,0,19,19,0.0,0.5075,0.0017
Salicornia Virginica,1,0,0,8,8,0.0,0.4316,0.0017
Distichlis Spicata,1,0,0,3,3,0.0,0.3569,0.0017
Frankenia Salina,1,0,0,3,3,0.0,0.3569,0.0017
Jaumea Carnosa,1,0,0,3,3,0.0,0.3569,0.0017
Limonium Californicum,1,0,0,2,2,0.0,0.3495,0.0017
Cordylanthus Maritimus,1,0,0,2,2,0.0,0.3495,0.0017
Polydora Cilliata,1,0,1,0,1,0.0,0.3659,0.0021
