Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Fungal Mycelium,16,15,0,18,18,0.0,0.7143,0.0195
Achaeta Abulba,1,0,1,0,1,0.0,0.4225,0.0205
Acrobeles Ciliatus,1,0,0,4,4,0.0,0.4545,0.0195
Achipteria Coleoptrata,1,0,9,1,10,1.0,0.5882,0.0551
Aglenchus Agricola,1,0,0,4,4,0.0,0.4545,0.0195
Heterocephalobus Elongatus,1,0,0,3,3,0.0,0.4054,0.0195
Meloidogyne Naasi,1,0,0,4,4,0.0,0.4545,0.0195
Metateratocephalus Crassidens,1,0,0,4,4,0.0,0.4545,0.0195
Paratrichodorus Teres,1,0,0,4,4,0.0,0.4545,0.0195
Pratylenchus Crenatus,1,0,0,4,4,0.0,0.4545,0.0195
Tylenchorhynchus Dubius,1,0,0,4,4,0.0,0.4545,0.0195
Alliphis Siculus,1,0,9,0,9,0.0,0.4412,0.1151
Aporcelaimellus Obtusicaudatus,1,0,10,1,11,2.0,0.5882,0.0717
Ceratophysella Denticulata,1,0,1,1,2,0.0,0.4918,0.0205
Fridericia Alata,1,0,1,0,1,0.0,0.4225,0.0205
Fridericia Bulboides,1,0,1,0,1,0.0,0.4225,0.0205
Fridericia Cylindrica,1,0,1,0,1,0.0,0.4225,0.0205
Fridericia Paroniana,1,0,1,0,1,0.0,0.4225,0.0205
Friesea Truncata,1,0,1,1,2,0.0,0.4918,0.0205
Isotomiella Minor,1,0,1,1,2,0.0,0.4918,0.0205
Liebstadia Similis,1,0,1,1,2,0.0,0.4918,0.0205
Parisotoma Notabilis,1,0,1,1,2,0.0,0.4918,0.0205
Uropoda Orbicularis,1,0,16,0,16,0.0,0.6667,0.2166
Sminthurinus Elegans,1,0,0,1,1,0.0,0.4054,0.0195
Sphaeridia Pumilis,1,0,0,1,1,0.0,0.4054,0.0195
Anaplectus Grandepapillatus,1,0,0,1,1,0.0,0.375,0.0195
Brachystomella Parvula,1,0,1,0,1,0.0,0.4225,0.0205
Fridericia Bisetosa,1,0,1,0,1,0.0,0.4225,0.0205
Fridericia Perrieri,1,0,1,0,1,0.0,0.4225,0.0205
Fridericia Hegemon,1,0,1,0,1,0.0,0.4225,0.0205
Pseudisotoma Sensibilis,1,0,1,0,1,0.0,0.4225,0.0205
