Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Acari Phyto,9,8,0,8,8,0.0,0.369,0.0015
Edaphus Blÿhweissi,4,3,4,21,25,332.02,0.3912,0.0029
Asellus Aquaticus,4,3,0,7,7,0.0,0.3849,0.0015
Chrysotus Cilipes,3,2,0,14,14,0.0,0.3815,0.0015
Euconnus Hirticollis,3,2,2,11,13,12.83,0.3549,0.0018
Trogophloeus Corticinus,2,1,0,10,10,0.0,0.4449,0.0015
Thripomorpha Verralli,2,1,0,5,5,0.0,0.3402,0.0015
Cepaea Hortensis,2,1,0,8,8,0.0,0.4412,0.0015
Capreolus Capreolus,2,1,0,1,1,0.0,0.307,0.0015
Stilicus Rufipes,1,0,43,16,59,1134.48,0.5323,0.0158
Emberiza Schoeniclus,1,0,97,1,98,136.9,0.6331,0.0908
Aphtona Lutescens,1,0,0,6,6,0.0,0.4196,0.0015
Pisaura Mirabilis,1,0,50,8,58,639.29,0.5059,0.0229
Cloeon Simile,1,0,0,16,16,0.0,0.4505,0.0015
Platystethus Nodifrons,1,0,0,10,10,0.0,0.4449,0.0015
Anacaena Limbata,1,0,0,13,13,0.0,0.4592,0.0015
Gabrius Fermoralis,1,0,29,4,33,37.77,0.4798,0.0091
Marpissa Radiata,1,0,22,6,28,328.21,0.4809,0.0081
Chaetocnema Confusa,1,0,0,11,11,0.0,0.4477,0.0015
Lesteva Sicula,1,0,40,13,53,312.71,0.5258,0.0128
Pelochares Versicolor,1,0,0,12,12,0.0,0.4642,0.0015
Diplocampa Assimile,1,0,6,9,15,27.6,0.4534,0.002
Tetartopeus Terminatum,1,0,30,2,32,2.97,0.4809,0.011
Argiope Bruennichi,1,0,31,2,33,62.76,0.4766,0.0113
Ilione Lineata,1,0,0,19,19,0.0,0.4458,0.0015
Trypoxylon Attenuatum,1,0,0,11,11,0.0,0.4254,0.0015
Pteronemobius Heydenii,1,0,0,10,10,0.0,0.4496,0.0015
Propylaea Quatuordecimpunctata,1,0,2,13,15,31.09,0.4662,0.0018
Ligidium Hypnorum,1,0,0,21,21,0.0,0.4931,0.0015
Chartoscirta Cincta,1,0,0,28,28,0.0,0.5157,0.0015
Dryops Auriculatus,1,0,0,10,10,0.0,0.4592,0.0015
Limnia Paludicola,1,0,0,20,20,0.0,0.4449,0.0015
Pachybrachius Sp,1,0,0,21,21,0.0,0.4864,0.0015
Paederus Riparius,1,0,65,9,74,1390.14,0.5661,0.0346
Zora Spinimana,1,0,1,7,8,0.33,0.4385,0.0016
Conocephalus Dorsalis,1,0,25,9,34,177.83,0.482,0.0045
Falco Subbuteo,1,0,14,0,14,0.0,0.4297,0.088
Pirata Latitans,1,0,6,6,12,2.03,0.4315,0.0021
