Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Deroceras Reticulatum,6,5,6,8,14,48.0,0.6667,0.1306
Porcellio Scaber,3,2,3,6,9,10.0,0.4583,0.0674
Fraxinus Excelsior,2,1,0,1,1,0.0,1.0,0.0214
Carabus Granulatus,1,0,2,1,3,0.0,0.5,0.0448
Abax Parallelepipedus,1,0,4,0,4,0.0,0.5116,0.1093
Carabus Nemoralis,1,0,1,1,2,0.0,0.3929,0.031
Bembidion Lampros,1,0,1,2,3,0.0,0.3667,0.0372
Anemone Nemorosa,1,0,0,1,1,0.0,0.4074,0.0214
Osmunda Regalis,1,0,0,1,1,0.0,0.4074,0.0214
Ranunculus Ficaria,1,0,0,1,1,0.0,0.4074,0.0214
Ranunculus Repens,1,0,0,1,1,0.0,0.4074,0.0214
Urtica Dioica,1,0,0,1,1,0.0,0.4074,0.0214
Veronica Montana,1,0,0,1,1,0.0,0.4074,0.0214
Glomeris Marginata,1,0,1,0,1,0.0,1.0,0.0396
Loricera Pilicornis,1,0,1,0,1,0.0,0.4074,0.0353
Nebria Brevicollis,1,0,1,0,1,0.0,0.4074,0.0353
Platynus Assimile,1,0,1,0,1,0.0,0.3188,0.031
Platynus Dorsale,1,0,1,0,1,0.0,0.4074,0.0353
Alnus Glutinosa,1,0,0,1,1,0.0,0.3188,0.0214
Quercus Robur,1,0,0,1,1,0.0,0.3188,0.0214
Arion Distinctus,1,0,0,1,1,0.0,0.3667,0.0214
Pterostichus Melanarius,1,0,5,0,5,0.0,0.5641,0.0971
Arion Subfuscus,1,0,0,1,1,0.0,0.3667,0.0214
Pterostichus Nigrita,1,0,1,0,1,0.0,0.4074,0.0353
Pterostichus Strenuus,1,0,1,0,1,0.0,0.4074,0.0353
