Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Achnanthes Lanceoloata,1,0,0,18,18,0.0,0.5122,0.0037
Aphrophila Noevaezelandiae,1,0,46,4,50,75.32,0.6034,0.0261
Cymbella Kappii,1,0,0,21,21,0.0,0.5122,0.0037
Cymbella Minuta,1,0,0,27,27,0.0,0.5526,0.0037
Fragilaria Vaucheriae,1,0,0,26,26,0.0,0.544,0.0037
Frustulia Rhomboides,1,0,0,18,18,0.0,0.5,0.0037
Gomphonema Cf. Olivaceum,1,0,0,20,20,0.0,0.5224,0.0037
Gomphonema Parvulum,1,0,0,26,26,0.0,0.5469,0.0037
Meridion Circulare,1,0,0,14,14,0.0,0.4817,0.0037
Navicula Avenacea,1,0,0,28,28,0.0,0.5526,0.0037
Navicula Cryptocephala,1,0,0,17,17,0.0,0.5024,0.0037
Austroperla Cyrene,1,0,20,0,20,0.0,0.4268,0.0073
Cymbella Aspera,1,0,0,20,20,0.0,0.5198,0.0037
Tabellaria Flocculosa,1,0,0,27,27,0.0,0.5497,0.0037
Austrosimulium Australense,1,0,35,12,47,172.68,0.6034,0.0145
Achnanthes Saxonica,1,0,0,9,9,0.0,0.4506,0.0037
Navicula Rhynchocephala,1,0,0,16,16,0.0,0.493,0.0037
Synedra Ulna,1,0,0,28,28,0.0,0.5556,0.0037
Coloburiscus Humeralis,1,0,35,7,42,108.31,0.5556,0.0156
Achnanthes Linearis,1,0,0,21,21,0.0,0.5224,0.0037
Gomphonema Subclavatum,1,0,0,24,24,0.0,0.5385,0.0037
Helicopsyche Albescens,1,0,32,5,37,71.68,0.5385,0.0122
Hudsonema Amabilis,1,0,27,4,31,25.96,0.5048,0.0087
Hydora Nitida Adult,1,0,16,2,18,5.66,0.4412,0.0064
Hydora Nitida Larva,1,0,13,1,14,0.83,0.4268,0.0058
Gomphoneis Herculeana,1,0,0,23,23,0.0,0.5303,0.0037
Philorheithrus Agilis,1,0,4,2,6,8.04,0.4339,0.0084
Polyplectropus Puerilis,1,0,7,4,11,24.53,0.4751,0.0161
Pycnocentrodes Evecta,1,0,21,2,23,18.76,0.4626,0.0102
Potamopyrgus Antipodarum,1,0,41,3,44,37.05,0.5707,0.0225
Psilochorema Bidens,1,0,5,2,7,10.83,0.42,0.016
Rhoicosphenia Curvata,1,0,0,21,21,0.0,0.5198,0.0037
Rhopalodia Novae Zelandicae,1,0,0,14,14,0.0,0.4861,0.0037
Salmo Trutta,1,0,30,0,30,0.0,0.5615,0.1091
Costachorema Xanthoptera,1,0,4,5,9,48.37,0.4709,0.0114
Psilachorema Bidens,1,0,0,7,7,0.0,0.3804,0.0037
Diatoma Heimale,1,0,0,23,23,0.0,0.533,0.0037
Gomphonema Truncatum,1,0,0,11,11,0.0,0.4751,0.0037
Synedra Rumpens,1,0,0,9,9,0.0,0.4667,0.0037
Epithemia Sorex,1,0,0,25,25,0.0,0.5357,0.0037
Navicula Cf. Radiosa,1,0,0,5,5,0.0,0.4375,0.0037
Surirella Tenera ??,1,0,0,6,6,0.0,0.4487,0.0037
Hudsonema Aliena,1,0,14,2,16,9.09,0.4321,0.0063
Cymbella Cuspidata,1,0,0,6,6,0.0,0.4268,0.0037
Hydora Nitida Larvae,1,0,28,0,28,0.0,0.4565,0.0125
Hydraena Homalaena Sp.,1,0,6,0,6,0.0,0.3818,0.0044
Olinga Feredayi,1,0,31,6,37,77.69,0.5276,0.0124
Oxyethira Albiceps,1,0,24,8,32,48.95,0.5,0.008
Archichauliodes Diversus,1,0,12,1,13,1.5,0.4839,0.0261
Austroclima Jollyae,1,0,36,3,39,65.71,0.5645,0.0185
Melosira Varians,1,0,0,11,11,0.0,0.4709,0.0037
Megaleptoperla Diminuta,1,0,0,2,2,0.0,0.3333,0.0037
Hydrobiosis Parumbripennis,1,0,11,8,19,150.13,0.4907,0.0286
Stenoperla Prasinia,1,0,8,7,15,59.87,0.4817,0.0186
Nesameletus Ornatus,1,0,28,6,34,85.8,0.5676,0.0119
Paralimnophora Skusei,1,0,3,0,3,0.0,0.3697,0.0041
Paranephrops Zealandicus,1,0,10,1,11,0.0,0.473,0.1144
Potamopurgus Antipodarum,1,0,12,0,12,0.0,0.3992,0.006
Zealolessica Cheira,1,0,15,1,16,0.96,0.4339,0.0061
Amelotopsis Perscitus,1,0,3,3,6,6.34,0.4487,0.0092
Acnanthidium Lanceolata,1,0,0,10,10,0.0,0.4667,0.0037
Acnanthidium Linearis,1,0,0,13,13,0.0,0.4795,0.0037
Epithemia Zebra,1,0,0,15,15,0.0,0.4884,0.0037
Gomphonema Angustatum,1,0,0,18,18,0.0,0.5,0.0037
Pinnularia Mesoleptus,1,0,0,8,8,0.0,0.443,0.0037
Atalophlebioides Cromwelli,1,0,10,3,13,22.23,0.4357,0.008
Baraeoptera Roria,1,0,19,4,23,18.9,0.4626,0.0077
